4a3a6a5a85c8d4ff76f0b1461827bf26aff204e5648857b3171a3d55699e0871,08049b289264afb91c0da0d888489f702b802f7ae27a9e877f06da7b31d4b991,509bd7be27919cbd03b66c40d1097d57caa4ccdca3b06bf01d91076f6594ac89,59341e0ff420d7097a388c50c4d4616150bd66fcf6ac2c65cd2a02a321eb9478,cfd58f69172f23fb866814da74757fcf773a1084e662348d4835ef840d116b16,9ca6f322bfc9aafa18bcfa5caa6a465070db1ef1f390256772748c964e786bc0,bce080c82283b6326f73acbe6ad0c091ec9b88d87e17f735af7ab5d43dd8cc7e,187b6abd4200cf6e511e71a00a952a49c3fb05287c56ab126a320481b6245837,62440523bb03768ff2f25562590cf75c251af5eef07987a0c1a8265db01a225a,0cb8d44ef3b8a449dd398573e703e0dce79d37a607c647d0ea4f5b382ad1b233
"20023105","11","5038600","1","0","1","","0","1",""
"20023105","12","0","1","0","2","理應繼承至次世代的新語言","0","0","高中部1年級　琪愛兒"
"20023107","13","0","1","0","3","我超級不會寫作文","0","0","高中部2年級　克蘿依"
"20023109","14","0","1","0","4","直至飛翔為止","0","0","高中部3年級　優妮"
"20023111","21","5038601","2","0","5","","0","2",""
"20023111","22","0","2","0","6","靈光一閃了呢！","0","0","紀錄人　秋乃"
"20023112","23","0","2","0","7","組合喵！","0","0","紀錄人　珠希"
"20023113","24","0","2","0","8","我寫過這種東西嗎…？","0","0","紀錄人　優花梨"
"20023114","25","0","2","0","9","不能放任繼續這樣下去了","0","0","紀錄人　美冬"
"20023115","26","0","2","0","10","特別講座結束了","0","0","總結"
"20023115","31","5038602","3","0","11","","1","2",""
"20023115","32","0","3","0","12","開發記—考察","1","0","浪漫繼承計畫"
"20023115","33","0","3","0","13","開發記—試作機完成","2","0","彌補不足計畫"
"20023115","34","0","3","0","14","開發記—最終工程","3","0","畫龍點睛計畫"
"20023115","35","5038603","3","2022/05/25 16:00:00","15","","3","3",""
