5f270074b71853b09c362adf8266494e0e676cae23296418ca3d75c87318c4d5,f85238f13d9952e5f3997d3acef19918c6607904bc1b737c126364dd55bbcf17,8e1923c0c161a99ce85af2c60867580221b2270ce893c649f273ad16f73349a7,5b880581871a06c0e2b42d30d79bc02a3b45289b9c0c14aec929d84996671601,87eb61eea8109802dbc2d6a0df4c21bcb28f4d99cc81d79dae92a62c5d1ccb4e,825e77134f0d5aac5291294930d74999b1c2e080fcde3eb13ae3a472f6ad4d83,1e45e1ff3a22dc44e0925a1f840a7f9f8201f5d5518ee362e44f6b1d352a1863,ec43ac3f80fb0efb286791c50c6188680b33835b36d52165fa8cc6d3a07a1f7d,04f6e9bff9df7676c4af38db1df7356151031c830aca7d9657b02520d2b2d190,25d047fba0d084100083ab24ed2a1c95b1796c47b5aae8d82766711a59ced56d
"10000","30000","90001","0","10","1","0","1","90043","12000"
"10000","30000","90002","0","20","2","0","2","90047","24000"
"10000","30000","90002","0","20","3","0","3","90047","24000"
"10000","30000","90002","0","20","4","0","4","90047","24000"
"10000","30000","90002","0","20","5","0","5","90047","24000"
"10000","30000","90002","0","20","6","0","6","90047","24000"
"10000","30000","90002","0","20","7","0","7","90047","24000"
"10000","30000","90002","0","20","8","0","8","90047","24000"
"10000","30000","90002","0","20","9","0","9","90047","24000"
"10000","30000","90002","1","20","10","0","10","90047","24000"
"10000","30000","90003","2","40","11","90011","11","90051","48000"
"10000","30000","90003","3","40","12","90011","12","90051","48000"
"10000","30000","90003","4","40","13","90011","13","90051","48000"
"10000","30000","90003","5","40","14","90011","14","90051","48000"
"10000","30000","90003","6","40","15","90011","15","90051","48000"
"10000","30000","90003","7","40","16","90011","16","90051","48000"
"10000","30000","90003","8","40","17","90011","17","90051","48000"
"10000","30000","90003","9","40","18","90011","18","90051","48000"
"10000","30000","90003","10","40","19","90011","19","90051","48000"
"10000","30000","90003","11","40","20","90011","20","90051","48000"
"10000","30000","90004","12","60","21","90015","21","90055","72000"
"10000","30000","90004","13","60","22","90015","22","90055","72000"
"10000","30000","90004","14","60","23","90015","23","90055","72000"
"10000","30000","90004","15","60","24","90015","24","90055","72000"
"10000","30000","90004","16","60","25","90015","25","90055","72000"
"10000","30000","90004","17","60","26","90015","26","90055","72000"
"10000","30000","90004","18","60","27","90015","27","90055","72000"
"10000","30000","90004","19","60","28","90015","28","90055","72000"
"10000","30000","90004","20","60","29","90015","29","90055","72000"
"10000","30000","90004","21","60","30","90015","30","90055","72000"
"10000","30000","90005","22","80","31","90015","31","90059","96000"
"10000","30000","90005","23","80","32","90015","32","90059","96000"
"10000","30000","90005","24","80","33","90015","33","90059","96000"
"10000","30000","90005","25","80","34","90015","34","90059","96000"
"10000","30000","90005","26","80","35","90015","35","90059","96000"
"10000","30000","90005","27","80","36","90015","36","90059","96000"
"10000","30000","90005","28","80","37","90015","37","90059","96000"
"10000","30000","90005","29","80","38","90015","38","90059","96000"
"10000","30000","90005","30","80","39","90015","39","90059","96000"
"10000","30000","90005","31","80","40","90015","40","90059","96000"
"10000","30000","90005","33","120","41","90017","41","90063","144000"
"10000","30000","90005","35","120","42","90017","42","90063","144000"
"10000","30000","90005","37","120","43","90017","43","90063","144000"
"10000","30000","90005","39","120","44","90017","44","90063","144000"
"10000","30000","90005","41","120","45","90017","45","90063","144000"
"10000","30000","90005","43","120","46","90017","46","90063","144000"
"10000","30000","90005","45","120","47","90017","47","90063","144000"
"10000","30000","90005","47","120","48","90017","48","90063","144000"
"10000","30000","90005","49","120","49","90017","49","90063","144000"
"10000","30000","90005","51","120","50","90017","50","90063","144000"
"10000","30000","90006","53","150","51","90019","51","90067","180000"
"10000","30000","90006","55","150","52","90019","52","90067","180000"
"10000","30000","90006","57","150","53","90019","53","90067","180000"
"10000","30000","90006","59","150","54","90019","54","90067","180000"
"10000","30000","90006","61","150","55","90019","55","90067","180000"
"10000","30000","90006","63","150","56","90019","56","90067","180000"
"10000","30000","90006","65","150","57","90019","57","90067","180000"
"10000","30000","90006","67","150","58","90019","58","90067","180000"
"10000","30000","90006","69","150","59","90019","59","90067","180000"
"10000","30000","90006","71","150","60","90019","60","90067","180000"
"10000","30000","90007","74","180","61","90021","61","90071","216000"
"10000","30000","90007","77","180","62","90021","62","90071","216000"
"10000","30000","90007","80","180","63","90021","63","90071","216000"
"10000","30000","90007","83","180","64","90021","64","90071","216000"
"10000","30000","90007","86","180","65","90021","65","90071","216000"
"10000","30000","90007","89","180","66","90021","66","90071","216000"
"10000","30000","90007","92","180","67","90021","67","90071","216000"
"10000","30000","90007","95","180","68","90021","68","90071","216000"
"10000","30000","90007","98","180","69","90021","69","90071","216000"
"10000","30000","90007","101","180","70","90021","70","90071","216000"
