4dd7e0555a62cc48254fe21cfa5e8b0f65feb462eb7345cc5474149314dc76ab,eb85126965cdecf3b33ccdb320401d3b6e3a736eeb3a55617894e0df6d2b5cf5,13fed5be5535e1168e550c7fea0041810786d9d74b43afa81e20bd3dcc3b360f,56fd084d0b67372cfcdda1b7bffb7501b1063b10affc2c4bca69f7b4222419ca
"1","HP","1","10000"
"2","物理攻擊力","1","10000"
"3","物理防禦力","1","10000"
"4","魔法攻擊力","1","10000"
"5","魔法防禦力","1","10000"
"6","物理暴擊率","1","10000"
"7","魔法暴擊率","1","10000"
"8","迴避率","0","1"
"9","HP吸收","0","1"
"10","HP自動恢復","0","1"
"11","TP自動恢復","0","1"
"12","物理貫通傷害","0","1"
"13","魔法貫通傷害","0","1"
"14","TP上升","0","1"
"15","回復量上升","0","1"
"16","TP消耗減輕","0","1"
"17","命中","0","1"
"100","物理暴擊傷害","1","100"
"101","魔法暴擊傷害","1","100"
"102","物理造成的傷害","1","100"
"103","魔法造成的傷害","1","100"
"104","屬性獎勵","1","10000"
