6208fcd645742620537a878d8ef9a1bd5bfb7b8d09dd856163dff8feaae322a7,982f24bd6b9de822b8937ebe55e8d249ceea924c054ed88b124c6649201139ca,91a2c561c90351ffa498920205cde3316df6e43f0bb9a9e437757f246508deb8
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
