d79892f46c7cc5597f358b346a159b99ecd91acadf49bcf958d59527b20764c0,dc3a63845b85f41c0f33cc812929aad247384b4ae7b1f9e63c4c66ccd3a671de,e50e1e2915e0e22e164efd26dd965d529dfea5c66d49dd324a91358fc5d6174f,1d8f3dc49af4c9514530df59335de71ab4a22d66693029cbd752a955c6fe8312,ba4b389f4b236419d6158c37646ff2faacf1a73a66b7b3b54dbfe3aad90fd4a5
"1","1","97501","1","97501"
"3","2","97502","2","97502"
"1","1","97503","3","97503"
"1","1","97504","4","97504"
"1","1","97505","5","97505"
"3","2","97506","6","97506"
"3","2","97507","7","97507"
"3","2","97508","8","97508"
"1","1","97509","9","97509"
"1","1","97510","10","97510"
"3","2","97511","11","97511"
"3","2","97512","12","97512"
"3","2","97513","13","97513"
"3","2","97514","14","97514"
"1","1","97515","15","97515"
"3","2","97516","16","97516"
"3","2","97517","17","97517"
"3","2","97518","18","97518"
"3","2","97519","19","97519"
"3","2","97520","20","97520"
"1","1","97521","21","99657"
"1","1","97522","22","99668"
"1","1","97523","23","99686"
"1","1","97524","24","99696"
