b0ae6c60010e4bcc340aee8d7f02cda8bd871ebb39b425300263e5d2c7282940,ce14e801e6381efc4ddee5e9249ceff5f0b01d5056514882f409da4049a3639c,f86a1cbf68b68001902035ec0f4bb96d1d4a07639230e0de62a49068bed6d13d
"0","0","1"
"40","5","2"
"60","14","3"
"80","24","4"
"100","39","5"
"120","59","6"
"140","84","7"
"160","114","8"
"180","149","9"
"200","188","10"
"220","233","11"
"240","283","12"
"260","338","13"
"280","397","14"
"300","462","15"
"320","532","16"
"340","606","17"
"360","686","18"
"380","770","19"
"400","860","20"
"420","954","21"
"440","1054","22"
"460","1158","23"
"480","1267","24"
"500","1382","25"
"520","1501","26"
"540","1626","27"
"560","1755","28"
"580","1889","29"
"600","2028","30"
"620","2172","31"
"640","2322","32"
"660","2476","33"
"680","2635","34"
"700","2799","35"
"720","2968","36"
"740","3142","37"
"760","3321","38"
"780","3505","39"
"800","3694","40"
"820","3888","41"
"840","4087","42"
"860","4291","43"
"880","4500","44"
"900","4713","45"
"920","4932","46"
"940","5156","47"
"960","5385","48"
"980","5618","49"
"1000","5857","50"
"1020","6101","51"
"1040","6349","52"
"1060","6603","53"
"1080","6862","54"
"1100","7125","55"
"1120","7394","56"
"1140","7667","57"
"1160","7946","58"
"1180","8229","59"
"1200","8517","60"
"1220","8811","61"
"1240","9109","62"
"1260","9412","63"
"1280","9721","64"
"1300","10034","65"
"1320","10352","66"
"1340","10675","67"
"1360","11004","68"
"1380","11337","69"
"1400","11675","70"
"1420","12018","71"
"1440","12366","72"
"1460","12719","73"
"1480","13077","74"
"1500","13440","75"
"1520","13808","76"
"1540","14181","77"
"1560","14559","78"
"1580","14942","79"
"1600","15330","80"
"1620","15723","81"
"1640","16120","82"
"1660","16523","83"
"1680","16931","84"
"1700","17344","85"
"1720","17761","86"
"1740","18184","87"
"1760","18612","88"
"1780","19044","89"
"1800","19482","90"
"1820","19924","91"
"1840","20372","92"
"1860","20824","93"
"1880","21282","94"
"1900","21744","95"
"1920","22212","96"
"1940","22684","97"
"1960","23161","98"
"1980","23644","99"
"2000","24131","100"
"2020","24623","101"
"2040","25121","102"
"2060","25623","103"
"2080","26130","104"
"2100","26642","105"
"2120","27159","106"
"2140","27681","107"
"2160","28208","108"
"2180","28741","109"
"2200","29278","110"
"2220","29820","111"
"2240","30367","112"
"2260","30919","113"
"2280","31475","114"
"2300","32037","115"
"2320","32604","116"
"2340","33176","117"
"2360","33753","118"
"2380","34335","119"
"2400","34921","120"
"2420","35513","121"
"2440","36110","122"
"2460","36711","123"
"2480","37318","124"
"2500","37930","125"
"2520","38546","126"
"2540","39168","127"
"2560","39794","128"
"2580","40426","129"
"2600","41062","130"
"2620","41704","131"
"2640","42350","132"
"2660","43002","133"
"2680","43658","134"
"2700","44319","135"
"2720","44986","136"
"2740","45657","137"
"2760","46333","138"
"2780","47014","139"
"2800","47701","140"
"2820","48392","141"
"2840","49088","142"
"2860","49789","143"
"2880","50495","144"
"2900","51206","145"
"2920","51922","146"
"2940","52643","147"
"2960","53369","148"
"2980","54100","149"
"3000","54836","150"
"3020","55577","151"
"3040","56323","152"
"3060","57074","153"
"3080","57830","154"
"3100","58590","155"
"3120","59356","156"
"3140","60127","157"
"3160","60903","158"
"3180","61683","159"
"3200","62469","160"
"3220","63260","161"
"3240","64055","162"
"3260","64856","163"
"3280","65661","164"
"3300","66472","165"
"3320","67287","166"
"3340","68108","167"
"3360","68933","168"
"3380","69764","169"
"3400","70599","170"
"3420","71439","171"
"3440","72285","172"
"3460","73135","173"
"3480","73990","174"
"3500","74851","175"
"3520","75716","176"
"3540","76586","177"
"3560","77461","178"
"3580","78341","179"
"3600","79226","180"
"3620","80116","181"
"3640","81011","182"
"3660","81911","183"
"3680","82816","184"
"3700","83726","185"
"3720","84641","186"
"3740","85561","187"
"3760","86486","188"
"3780","87416","189"
"3800","88351","190"
"3820","89291","191"
"3840","90235","192"
"3860","91185","193"
"3880","92140","194"
"3900","93100","195"
"3920","94064","196"
"3940","95034","197"
"3960","96009","198"
"3980","96988","199"
"4000","97973","200"
"4020","98962","201"
"4040","99957","202"
"4060","100956","203"
"4080","101961","204"
"4100","102970","205"
"4120","103984","206"
"4140","105004","207"
"4160","106028","208"
"4180","107057","209"
"4200","108092","210"
"4220","109131","211"
"4240","110175","212"
"4260","111224","213"
"4280","112279","214"
"4300","113338","215"
"4320","114402","216"
"4340","115471","217"
"4360","116545","218"
"4380","117624","219"
"4400","118708","220"
"4420","119797","221"
"4440","120891","222"
"4460","121990","223"
"4480","123094","224"
"4500","124203","225"
"4520","125316","226"
"4540","126435","227"
"4560","127559","228"
"4580","128688","229"
"4600","129822","230"
"4620","130960","231"
"4640","132104","232"
"4660","133253","233"
"4680","134406","234"
"4700","135565","235"
"4720","136728","236"
"4740","137897","237"
"4760","139070","238"
"4780","140249","239"
"4800","141432","240"
"4820","142621","241"
"4840","143814","242"
"4860","145013","243"
"4880","146216","244"
"4900","147424","245"
"4920","148637","246"
"4940","149856","247"
"4960","151079","248"
"4980","152307","249"
"5000","153540","250"
"5020","154779","251"
"5040","156022","252"
"5060","157270","253"
"5080","158523","254"
"5100","159781","255"
"5120","161044","256"
"5140","162312","257"
"5160","163585","258"
"5180","164863","259"
"5200","166146","260"
"5220","167434","261"
"5240","168726","262"
"5260","170024","263"
"5280","171327","264"
"5300","172635","265"
"5320","173947","266"
"5340","175265","267"
"5360","176588","268"
"5380","177916","269"
"5400","179248","270"
"5420","180586","271"
"5440","181928","272"
"5460","183276","273"
"5480","184628","274"
"5500","185986","275"
"5520","187348","276"
"5540","188716","277"
"5560","190088","278"
"5580","191466","279"
"5600","192848","280"
"5620","194235","281"
"5640","195628","282"
"5660","197025","283"
"5680","198427","284"
"5700","199834","285"
"5720","201247","286"
"5740","202664","287"
"5760","204086","288"
"5780","205513","289"
"5800","206945","290"
"5820","208382","291"
"5840","209824","292"
"5860","211271","293"
"5880","212723","294"
"5900","214180","295"
