de231f4cc02f343f825ad9a8ed42f8b1a8d88a4ed58edae90ae9416360932b25,71a36fd2c0ee304c45a44a71376a0b8ede3cfe689a9967bae7237b0b00641ec2,7f850fda5c37b0ec1fbc256c0e4e2a4118277542fce0c9ceb3d96ec4bf56c5f4,111ccc64a36cc2d34b7dc0ac7842cfefbe7ad97be571852bf551855aeec4da16,77790f09bccddd83b97c6f5f5e04c9dede3d9fc2edbe58b9c0e4a75ae8d4bee6,f7f11779672f6249093add859b75de8dcb7a5849a85038a45fec8fd62fe767de,4747049d74dbab17e79906b05709ea0d9678d9965c43420bfd22a1e5a1158caf,9ceb0780b31698961952e533be5a0288abbd56386999547c69e549b15584532c,9331930ff7a02d4c00155e1f04577e3e53e884554bd89e62bc2a9c1fa02da4b1,c53d423dce7c0fa348c7331e29f4cd4bb121b7b6d6566bdae6036763884d8005,4ff6f43071c0ded304daaed3f16ea699e4d4b5011088dc45828f6198f5a5d35f,67b814e99716b2a7be230241c3580d17f3e47da355a6dda144a5dec2074263d8
"0","515406201","0.8","0","0","0","0","5154062","4","1","0","1"
"0","515406202","0","0","vo_abd_0101","0","0","5154062","2","2","vo_abd","0"
"300","515406203","0","2","0","1","0","5154062","1","3","0","0"
"0","515406204","2.1","0","0","0","0","5154062","4","4","0","1"
"0","515406205","0","0","vo_abd_0102","0","0","5154062","2","5","vo_abd","0"
"400","515406206","0","2.05","0","2","0","5154062","1","6","0","0"
"0","515406207","3.2","0","0","0","0","5154062","4","7","0","1"
"0","515406208","0","0","vo_abd_0103","0","0","5154062","2","8","vo_abd","0"
"60","515406209","0","1","0","3","0","5154062","1","9","0","0"
"0","515406210","1.4","0","0","0","0","5154062","4","10","0","1"
"430","515406211","0","2.5","0","3","60","5154062","1","11","0","0"
"0","515406212","3.3","0","0","0","0","5154062","4","12","0","1"
"0","515406213","0","0","vo_abd_0104","0","0","5154062","2","13","vo_abd","0"
"39","515406214","0","0.2","0","4","0","5154062","1","14","0","0"
"0","515406215","0.5","0","0","0","0","5154062","4","15","0","1"
"77","515406216","0","0.2","0","4","39","5154062","1","16","0","0"
"0","515406217","0.6","0","0","0","0","5154062","4","17","0","1"
"205","515406218","0","0.8","0","4","77","5154062","1","18","0","0"
"0","515406219","1.2","0","0","0","0","5154062","4","19","0","1"
"410","515406220","0","1.8","0","4","205","5154062","1","20","0","0"
"0","515406221","2.2","0","0","0","0","5154062","4","21","0","1"
"0","515406222","0","0","vo_abd_0105","0","0","5154062","2","22","vo_abd","0"
"69","515406223","0","0.6","0","5","0","5154062","1","23","0","0"
"0","515406224","1","0","0","0","0","5154062","4","24","0","1"
"195","515406225","0","0.7","0","5","69","5154062","1","25","0","0"
"0","515406226","1.5","0","0","0","0","5154062","4","26","0","1"
"315","515406227","0","0.8","0","5","195","5154062","1","27","0","0"
"0","515406228","1","0","0","0","0","5154062","4","28","0","1"
"415","515406229","0","0.7","0","5","315","5154062","1","29","0","0"
"0","515406230","2","0","0","0","0","5154062","4","30","0","1"
"0","515406231","0","0","vo_abd_0106","0","0","5154062","2","31","vo_abd","0"
"190","515406232","0","1","0","6","0","5154062","1","32","0","0"
"0","515406233","1.3","0","0","0","0","5154062","4","33","0","1"
"415","515406234","0","1","0","6","190","5154062","1","34","0","0"
"0","515406235","2.3","0","0","0","0","5154062","4","35","0","1"
"0","515406236","0","0","vo_abd_0107","0","0","5154062","2","36","vo_abd","0"
"47","515406237","0","0.7","0","7","0","5154062","1","37","0","0"
"0","515406238","0.8","0","0","0","0","5154062","4","38","0","1"
"360","515406239","0","0.8","0","7","47","5154062","1","39","0","0"
"0","515406240","2","0","0","0","0","5154062","4","40","0","1"
"0","515406241","0","0","vo_abd_0108","0","0","5154062","2","41","vo_abd","0"
"415","515406242","0","2.63","0","8","0","5154062","1","42","0","0"
"0","515406243","2.63","0","0","0","0","5154062","4","43","0","1"
"0","515406244","0","0","vo_abd_0109","0","0","5154062","2","44","vo_abd","0"
"0","515406245","0","1","0","9","0","5154062","1","45","0","0"
"0","515406246","2","0","0","0","0","5154062","4","46","0","1"
"61","515406247","0","0.5","0","9","0","5154062","1","47","0","0"
"0","515406248","1.2","0","0","0","0","5154062","4","48","0","1"
"415","515406249","0","1.5","0","9","61","5154062","1","49","0","0"
"0","515406250","2.5","0","0","0","0","5154062","4","50","0","1"
"0","515406251","0","0","vo_abd_0110","0","0","5154062","2","51","vo_abd","0"
"28","515406252","0","0.2","0","10","0","5154062","1","52","0","0"
"0","515406253","0.6","0","0","0","0","5154062","4","53","0","1"
"400","515406254","0","1.3","0","10","28","5154062","1","54","0","0"
"0","515406255","2.3","0","0","0","0","5154062","4","55","0","1"
"0","515406256","0","0","vo_abd_0111","0","0","5154062","2","56","vo_abd","0"
"60","515406257","0","0.3","0","11","0","5154062","1","57","0","0"
"0","515406258","1.2","0","0","0","0","5154062","4","58","0","1"
"315","515406259","0","1","0","11","60","5154062","1","59","0","0"
"0","515406301","0.8","0","0","0","0","5154063","4","1","0","1"
"0","515406302","0","0","vo_abd_0201","0","0","5154063","2","2","vo_abd","0"
"350","515406303","0","1.5","0","1","0","5154063","1","3","0","0"
"0","515406304","2.25","0","0","0","0","5154063","4","4","0","1"
"0","515406305","0","0","vo_abd_0202","0","0","5154063","2","5","vo_abd","0"
"390","515406306","0","1.8","0","2","0","5154063","1","6","0","0"
"0","515406307","3","0","0","0","0","5154063","4","7","0","1"
"0","515406308","0","0","vo_abd_0203","0","0","5154063","2","8","vo_abd","0"
"330","515406309","0","1.5","0","3","0","5154063","1","9","0","0"
"0","515406310","1.8","0","0","0","0","5154063","4","10","0","1"
"0","515406311","0","0","vo_abd_0204","0","0","5154063","2","11","vo_abd","0"
"300","515406312","0","1.3","0","4","0","5154063","1","12","0","0"
"0","515406313","2.5","0","0","0","0","5154063","4","13","0","1"
"0","515406314","0","0","vo_abd_0205","0","0","5154063","2","14","vo_abd","0"
"360","515406315","0","1.5","0","5","0","5154063","1","15","0","0"
"0","515406316","2","0","0","0","0","5154063","4","16","0","1"
"0","515406317","0","0","vo_abd_0206","0","0","5154063","2","17","vo_abd","0"
"310","515406318","0","1.8","0","6","0","5154063","1","18","0","0"
"0","515406319","3","0","0","0","0","5154063","4","19","0","1"
"0","515406320","0","0","vo_abd_0207","0","0","5154063","2","20","vo_abd","0"
"138","515406321","0","1.2","0","8","0","5154063","1","21","0","0"
"0","515406322","1.6","0","0","0","0","5154063","4","22","0","1"
"400","515406323","0","0.45","0","8","138","5154063","1","23","0","0"
"0","515406324","0.45","0","0","0","0","5154063","4","24","0","1"
"0","515406325","0","0","vo_abd_0208","0","0","5154063","2","25","vo_abd","0"
"360","515406326","0","1.1","0","9","0","5154063","1","26","0","0"
"0","515406327","1.6","0","0","0","0","5154063","4","27","0","1"
"0","515406328","0","0","vo_abd_0209","0","0","5154063","2","28","vo_abd","0"
"280","515406329","0","0.5","0","10","0","5154063","1","29","0","0"
"0","515406330","0.5","0","0","0","0","5154063","4","30","0","1"
"0","515406331","0","0","vo_abd_0210","0","0","5154063","2","31","vo_abd","0"
"360","515406332","0","1","0","11","0","5154063","1","32","0","0"
"0","515406401","0.8","0","0","0","0","5154064","4","1","0","1"
"0","515406402","0","0","vo_abd_0301","0","0","5154064","2","2","vo_abd","0"
"400","515406403","0","2","0","1","0","5154064","1","3","0","0"
"0","515406404","2.8","0","0","0","0","5154064","4","4","0","1"
