a0c440acad8292f5b78fbf6860276031e8c0d8b09d056363e709316e17c19b5b,26487edfd223916104b7d9c2296b31f94b0834af24e806495da6b1430ba6b648,1583aea0890c8ee673e0844fe78f835488690b86206b2c6952eef6b99dc11c9f,f057d66c7dd9897facdbd3b59b661cfebe4b503fca1658fa449f62d717c84755,434729ae3ba73e739b06f872d03530dc9b89a6cd36fb05f1fe29aa764d4e6bb9,af892aac10650802a89009cb697585f7e07e8cad33e580158686e779f0835a63
"10036","0","5035004","5035005","0","0"
"10059","0","5058004","5058005","0","0"
"10063","10062","0","0","10062115","1006201"
"10085","10084","0","0","10084115","1008401"
"10087","10086","0","0","10086115","1008601"
"10111","10110","0","0","10110115","1011001"
"10113","10112","0","0","10112115","1011201"
"10137","10136","0","0","10136110","1013601"
"10139","10138","0","0","10138115","1013801"
"20034","20033","0","0","20033115","2003301"
"20047","20046","0","0","20046115","2004601"
