593edcb45bc4b1f3d082ecc3ce380416b31c837b414280e8b0755730c30d3444,dacdce92708d4b0e9b6c3dbb00b04357f030b6bddd41794c207000838dbaf094,38688e860a4dd600a97b15e36a5a943c18b43bc8f9d29eb14a830990156caeea,7a19b9c870e6f7a12c9cd3b11bebc06faee07079c10dacb9061a5708862470da
"-354","100101","1.6","938"
"-499","100201","1.6","952"
"-523","100301","1.6","1014"
"-488","100401","1.6","894"
"-628","100601","1.6","980"
"-573","100701","1.6","983"
"-544","100801","1.6","1019"
"-510","100901","1.6","985"
"-660","101001","1.6","1115"
"-415","101101","1.6","1128"
"-589","101201","1.6","1042"
"-501","101601","1.6","1050"
"-598","101701","1.6","1038"
"-356","101801","1.6","985"
"-494","102001","1.6","1114"
"-392","102101","1.6","1003"
"-407","102201","1.6","1057"
"-388","102501","1.6","997"
"-490","102701","1.6","1090"
"-554","102801","1.6","987"
"-526","102901","1.6","976"
"-879","103001","1.6","994"
"-560","103101","1.6","1056"
"-453","103301","1.6","1018"
"-345","103401","1.6","1017"
"-674","103801","1.6","961"
"-499","104001","1.6","1095"
"-521","104201","1.6","955"
"-581","104301","1.6","1079"
"-538","104501","1.6","980"
"-364","104601","1.6","954"
"-777","104801","1.6","1107"
"-795","104901","1.6","973"
"-492","105001","1.6","1122"
"-607","105201","1.6","1035"
"-490","105301","1.6","885"
