8b4135ec9804855999f99d4bff565830eea52c187a587069e120d9bda6a6ba37,3df8dcfaa0ace26d32ce9d8aedc8e55821d190034c09770884a82c74178ab453,3f8a97a2824ff5451fff5c2e2480d261d14e7990e212afd10894e0859b25847d,214110869ff6641816593ea4b8e481866e530f0539200236bfcda13ca68ac762,335175be901370ced3e2217e5bee5a16cfd8afb5dced0105a8ace8f1c3d7e83b,d6e41fe6a65f25f91dcd248836645737c205a080998f52dea4c4bab8fdb7d88e,59eeec46dfdbaa0f38d3f14cd682c6253c8fd3ab2310b63ebda930ae0a53dadb,b5d176739b2bbfd824ff11e205e3e292d2504db06d826cb244f24c71dd884591,cf62836b727ec6490b7a90ced36c0835c8237c418e6be1a25521edf512d5ffa6,e8183599e65fdde8faae4fb4ae85c9e1561324d669fd5da28f36c2f34143d089,0ea9c66130a149d40b5ebeda838571e7cdc494533f279fe4ac39a90220c27463,8ce9c1f6fc15dd4bc8c0170388e2112e0d296a0632db98c8c6b920091a2cd88b,d451ef462c6ef016d0e5859fed71cf3f9f593bfa8290e0e5d91009a3d8c08015,967d3750a21d746896bbcba755f98a6daf04bb2dfaec17eea3d27a44ad614a85,f1dd560deec416e41fdaff5d6753fa21391f0d94e49e22d609abfb7c400cbe56,e2fe3b129fefa125f8d8744945eea23610311bcc5de23bc665bb424d90cebb22,a0a8a1320479f14f42404051215ef8843391e937d37ef6095b3c86ddb27d9ad5,2af8c8e0d4cbf2796493cf52af1c7875ecd1dc914e7c6b6be668eb754b998abd,8f04c11fa58a9429c053f2de1cbe1b52408940405bce87d23cbb26f08b5a7b18,22ba98566bce7f380ea7ec68a12faf431f05bdf81d3c532d13c101982b3aa305,ac8ea62aa81e57e3a1e56a3a1a182c9d646ca09dfb866b093bae0390f931a341,11858e6520d50d1e34c31ae3499793460fa3a078829de08fe7352020b0981a56,bc2f8a51f61c2878e72e920119c952b4117af0e541d89e3844ec25a1cef6fc77,c53a688a8f119d301a757433096866df4a105b3f74719c485d1842cec407a18c,ca59677492227ffe25c57a1a47f30daa95bb1bfe40d3aba707dc8fc9b0d8db73,84ea1d5470668074625a91d68eebd50d59c89e9be35652fd5ec891231bb4b412,d173722cc85f714d64bcc4fd3613d0184ea90ce21041d3290bd968964338e179
"0","0","2010100","0","1","0","0","101","0","0","3010100","201010","1010101","0","0","0","1","0","0","0","公主突襲車１號","0","0","0","2010100","1","0"
"0","0","2020100","0","2","0","0","405","0","0","3050101","201020","1040101","0","0","0","2","0","0","0","深淵戰車Mk－１","0","0","0","2010100","1","0"
"0","0","2040100","0","3","0","0","315","0","0","3040100","201030","1030101","0","0","0","3","0","0","0","第一可可蘿丸","0","0","0","2040100","1","0"
"0","0","2020100","0","4","0","0","211","0","0","3020101","201040","1020101","0","0","0","4","0","0","0","冰龍加速‧一重","0","0","0","2020100","1","0"
"0","0","2040100","0","5","0","0","106","0","0","3030101","201050","1010101","0","0","0","5","0","0","0","勇往直前號‧壹式","0","0","0","2040100","1","0"
"0","0","2020100","0","6","0","0","506","0","0","0","201060","1050101","0","0","0","6","0","0","0","小槌子亂揮１號","3040101","0","0","2020100","1","0"
"0","0","2010100","0","7","0","0","315","0","0","3010101","201070","1030101","0","0","0","7","0","0","0","大章魚燒丸‧阿爾法","0","0","0","2020100","1","0"
"0","4030102","0","0","8","0","0","310","0","0","3010102","201080","1030101","0","2040100","4030102","8","0","0","0","火箭戰車α","0","0","0","2040100","1","0"
"0","0","0","0","9","0","0","501","0","0","3010100","201090","1050101","0","0","0","9","0","0","0","創雷夜轉‧第一位階","3010100","10501100","0","0","1","0"
"0","4020102","2030100","0","10","0","0","102","0","20301010","3030101","201100","1010101","0","0","0","10","0","0","0","真摯維拉１","0","0","0","2030100","1","0"
"0","0","2030100","0","11","0","0","103","0","20301010","3010101","201110","1010101","0","0","0","11","0","0","0","垃圾維拉１","0","0","0","0","1","0"
"0","4030102","2020100","0","12","0","0","313","0","20201010","3040101","201120","1030101","0","0","0","12","0","0","0","青銅翻滾","0","0","0","2020100","1","0"
"30202015","0","2030100","0","13","20401030","0","210","0","20301030","3020102","201130","1020101","0","0","0","13","0","0","0","耕耘機α","0","10201050","0","2040100","1","0"
"30502015","0","2020100","0","14","20201010","0","406","0","20201010","3050102","201140","1040101","20201010","2020100","0","14","0","0","0","萬化黑鐵‧壹式","0","10401075","0","2020100","1","0"
"0","0","2020200","0","15","0","0","101","0","0","3010201","201150","1010201","0","0","0","15","0","0","0","公主突襲車２號","0","0","0","2040200","2","0"
"0","0","2020200","0","16","0","0","405","0","0","3050201","201160","1040201","0","0","0","16","0","0","0","深淵戰車Mk－２","0","0","0","2010200","2","0"
"0","0","2040200","0","17","0","0","315","0","0","3040201","201170","1030201","0","0","0","17","0","0","0","第二可可蘿丸","0","0","0","2040200","2","0"
"0","0","2020200","0","18","0","0","211","0","0","3020201","201180","1020201","0","0","0","18","0","0","0","冰龍加速‧二重","0","0","0","2020200","2","0"
"0","0","2040200","0","19","0","0","106","0","0","3030201","201190","1010201","0","0","0","19","0","0","0","勇往直前號‧貳式","0","0","0","2040200","2","0"
"0","0","2020200","0","20","0","0","506","0","0","0","201200","1050201","0","0","0","20","0","0","0","小槌子亂揮２號","3040201","30102100","0","2020200","2","0"
"0","0","2010200","0","21","0","0","315","0","0","3010201","201210","1030201","0","0","0","21","0","0","0","大章魚燒丸‧貝塔","0","0","0","2020200","2","0"
"0","4030202","2010200","0","22","0","0","202","0","0","3010202","201220","1020201","0","0","0","22","0","0","0","火箭戰車β","0","0","0","2010200","2","0"
"0","0","0","0","23","0","0","501","0","0","3010200","201230","1050201","0","0","0","23","0","0","0","創雷夜轉‧第二位階","3010200","10501100","0","0","2","0"
"0","4020202","2030200","0","24","0","0","102","0","20301010","3030201","201240","1010201","0","0","0","24","0","0","0","真摯維拉２","0","0","0","2030200","2","0"
"0","0","2030200","0","25","0","0","103","0","20301010","3010201","201250","1010201","0","0","0","25","0","0","0","垃圾維拉２","0","0","0","0","2","0"
"0","4030202","2020200","0","26","0","0","313","0","20201010","3040201","201260","1030201","0","0","0","26","0","0","0","白銀翻滾","0","0","0","2020200","2","0"
"30202025","0","2030200","0","27","20401050","0","210","0","20301050","3020201","201270","1020201","0","0","0","27","0","0","0","耕耘機β","0","10201075","0","2040200","2","0"
"30502025","0","2020200","0","28","20201025","0","406","0","20201025","3050201","201280","1040201","20201025","2020200","0","28","0","0","0","萬化黑鐵‧貳式","0","10401100","0","2020200","2","0"
"30402030","0","2010200","30302030","29","20101050","100009","301","0","20101050","3040202","201290","1030200","0","0","0","29","0","100010","0","少女戰車Mk－１","3030202","10301100","0","2010200","2","0"
"0","0","2030200","30302030","30","20301100","100014","113","0","20301100","3010202","201300","1010200","0","0","0","30","0","0","0","雙胞胎維拉","3030202","10101100","0","2030200","2","0"
"0","0","2020300","0","31","0","0","101","0","0","3010301","201310","1010301","0","0","0","31","0","0","0","公主突襲車３號","0","0","0","2040300","3","0"
"0","0","2020300","0","32","0","0","405","0","0","3050301","201320","1040301","0","0","0","32","0","0","0","深淵戰車Mk－３","0","0","0","2010300","3","0"
"0","0","2040300","0","33","0","0","315","0","0","3040301","201330","1030301","0","0","0","33","0","0","0","第三可可蘿丸","0","0","0","2040300","3","0"
"0","0","2020300","0","34","0","0","211","0","0","3020301","201340","1020301","0","0","0","34","0","0","0","冰龍加速‧三重","0","0","0","2020300","3","0"
