a42730ef6d1d60dbfa4042bcabdb67e364686a1c3ac324c290570fdeb4ef6580,63bbb8c65136f09b4c2de9fa19002d9a409c0e2bde56ea8ecf8ba3bcb806a1a0,621a048bc071ab6766fe3ea7a226ef4f88e9a1355e0a050e90df11748b5dce8d,3d9078d974cd2ef2dcbc96115633be8e72d31dd803ba17db870dfdc8d24d0e1f
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","1","1","10001"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","2","1","10001"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","3","1","10001"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","4","1","10002"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","5","1","10002"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","6","1","10002"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","7","1","10003"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","8","1","10003"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","9","1","10003"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","10","1","10004"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","11","1","10004"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","12","1","10004"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","13","1","10004"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","14","1","10005"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","15","1","10005"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","16","1","10005"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","17","1","10005"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","18","1","10006"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","19","1","10006"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","20","1","10006"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","21","1","10007"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","22","1","10007"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","23","1","10007"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","24","1","10007"
"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。","25","1","10008"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","26","1","10008"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","27","1","10008"
"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。","28","1","10009"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","29","1","10009"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","30","1","10009"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","31","1","10009"
"可透過活動，體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。","32","1","10010"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","33","1","10010"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","34","1","10010"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","35","1","10010"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","36","3","10010"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","37","1","10011"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","38","1","10011"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","39","1","10011"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","40","1","10011"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","41","3","10011"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","42","1","10012"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","43","1","10012"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","44","1","10012"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","45","3","10012"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","46","1","10013"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","47","1","10013"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","48","1","10013"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","49","1","10013"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","50","3","10013"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","51","1","10014"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","52","1","10014"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","53","1","10014"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","54","1","10014"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","55","1","10015"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","56","1","10015"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","57","1","10015"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","58","3","10015"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","59","1","10016"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","60","1","10016"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","61","1","10016"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","62","1","10016"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","63","1","10017"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","64","1","10017"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","65","1","10017"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","66","1","10017"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","67","3","10017"
"在EXHIBITION模式中，可以重複和特別戰鬥的BOSS對戰。\n另外，將戰鬥的記錄存檔後就可以回顧戰鬥內容，\n可以用來找尋您專屬的攻略法或嘗試各種編組不同的隊伍對戰。","68","3","10017"
"挑戰活動任務和BOSS時，有時候會出現信賴度故事。　　　　　　　　　信賴度將會按照對話的內容提升，　　　　　　　　　　　　　　　　　　達到特定的信賴度時可獲得禮物。","69","4","10017"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","70","1","10018"
"進入活動冒險後，BOSS將登場。\n使用BOSS挑戰券 ，即可挑戰BOSS。\n擊敗BOSS將獲得大量的討伐證，所以請盡量挑戰吧。","71","1","10018"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","72","1","10018"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","73","1","10018"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","1001901","1","10019"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","1001902","1","10019"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","1001903","1","10019"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","1001904","1","10019"
"特別戰鬥是有著 3 階段變化的戰鬥模式。\n去取得更豪華的獎勵與任務獎勵吧。\n由於期間中只能挑戰 1 隻，請多花點心思組成隊伍挑戰吧。","1001905","3","10019"
"挑戰活動任務和BOSS時，有時候會出現信賴度故事。　　　　　　　　　信賴度將會按照對話的內容提升，　　　　　　　　　　　　　　　　　　達到特定的信賴度時可獲得禮物。","1001906","4","10019"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","1002001","1","10020"
"達成活動限定的任務後，可解放的角色\n即會登場。在活動期間內\n以完成任務為目標吧。","1002002","1","10020"
"強大的VERY HARD Boss登場。\nVERY HARD Boss１天能夠討伐１隻。\n做好萬全準備後，小心地進行挑戰吧。","1002003","1","10020"
"交換討伐證將是得到獎勵的契機。\n獎勵之中，也包含在活動中登場之角色的記憶碎片。\n多多蒐集，將角色變成夥伴吧。","1002004","1","10020"
"可透過活動，體驗特別的劇情。\n活動劇情將於進入活動冒險後解放。","1002201","1","10022"
