c1784a7b389db23ee00672d82098a4ac193d350c0a7dfd7ef3db8422231c7d1d,e9e7a152727154bda0a939c72a00833525aeaa43f12834c3e811ae050a5913bb,4067005a9401a9147917ab69a3462a0e3bb5ba79a0021c9f2ec34b317cbae6ad,82dbb068c7cd8b47f26841c46251863a722beb28341317271573ac10b6074862,1c980c817d2d6cf5a8e19769af3cf13a172b209f6cd2f9dca928cd1c0c301fa3,2f81538559ebad1b986bf281ed3ddfd31f4c53a707caf0371259f4fe31317c88,c57d791810457fcf20c0f2b71a37c9aa4b3aa57b490ceb7ba865e72c864c0049
"0","10064","0","開幕式","20036104","4","1006401"
"0","10064","0","開幕式","20036104","3","1006402"
"1006402","10064","0","賽跑","20036104","1","1006403"
"1006402","10064","0","賽跑","20036104","4","1006404"
"1006402","10064","0","賽跑","20036104","2","1006405"
"1006405","10064","0","騎馬戰","20036104","2","1006406"
"1006405","10064","0","騎馬戰","20036104","4","1006407"
"1006406","10064","0","午休時間","20036106","3","1006408"
"1006406","10064","0","午休時間","20036106","4","1006409"
"1006408","10064","0","各種學術文化展覽","20036106","3","1006410"
"1006408","10064","0","各種學術文化展覽","20036106","4","1006411"
"1006408","10064","0","各種學術文化展覽","20036106","1","1006412"
"1006410","10064","0","女僕咖啡廳","20036108","4","1006413"
"1006410","10064","0","女僕咖啡廳","20036108","3","1006414"
"1006414","10064","0","綜合接力賽","20036113","3","1006415"
"1006414","10064","0","綜合接力賽","20036113","4","1006416"
"1006415","10064","2003601","頒獎典禮","0","1","1006417"
"1006415","10064","2003601","頒獎典禮","0","4","1006418"
"1006415","10064","2003601","頒獎典禮","0","2","1006419"
"1006419","10064","2003601","閉幕式","0","3","1006420"
"1006419","10064","2003601","閉幕式","0","4","1006421"
"1006420","10064","2003601","達成動畫","0","4","1006422"
