c1654e28e3f4944c01bb3d588523213a3eb3c96947722c7958e2715cbf72f631,d12bbff886227b83eb4c41de81dfa06d6ae6b78d17525c76a60fede87c039316,afabd234a7b82f75a7b505d3410c99b37495b21df50d462e5298e9104a4f3664,3a513b33e31371cc54c3c85dc1a582eea566c729104a1ec52c57cf90ccdfd9b6,347c299ebd0246d2d3d1db73ef1ddb50686a07585933c7e39fed0056bd6efd88,056245e4753475fb585aee3b6c51a8110b7f3d532311d11103dad581c8454573,ce967781fffbde7a53d2014f7fbe2cc70938029d29e014a47e619260c8007f22,891e5248aecb85590674c34f3af1fb87cc1be5dbaade17c6aab1a4b65a1a43a5,4b6fd8f11009a812d1fbc119e19e2ebd8bce03e53ab528718fb002ca78feb83d,bd918a12986cbf6d12c1e9f69ebf1f1dd2da494ef5e3494a3636627b304b5f5f,c3a737a97be769a279b31b6aecaa7943ff13b60e421dda1f64b2a70d99f4e058,d54f2bee5d2956c10153ece864df9f0fc5584b4983cea126e71367983c12915b
"107601","1","107601","5004401","2018/12/20 15:59:59","0","0","10004","1004","0","0","2018/12/01 16:00:00"
"107601","2","1000403","5004402","2018/12/20 15:59:59","1","0","10004","1002","0","0","2018/12/01 16:00:00"
"107701","3","10","5004403","2018/12/20 15:59:59","0","0","10004","1001","0","0","2018/12/01 16:00:00"
"107501","4","20","5004404","2018/12/20 15:59:59","0","0","10004","1001","0","0","2018/12/01 16:00:00"
"107601","5","30","5004405","2018/12/20 15:59:59","0","0","10004","1001","0","0","2018/12/01 16:00:00"
"107501","6","2","5004406","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"107601","7","5","5004407","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"107801","8","8","5004408","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"107701","9","12","5004409","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"107501","10","16","5004410","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"107601","11","20","5004411","2018/12/20 15:59:59","0","0","10004","1003","0","0","2018/12/01 16:00:00"
"108001","12","108001","5005401","2019/01/22 15:59:59","0","0","10005","1004","0","0","2019/01/03 16:00:00"
"107901","13","1000503","5005402","2019/01/22 15:59:59","1","0","10005","1002","0","0","2019/01/03 16:00:00"
"108001","14","10","5005403","2019/01/22 15:59:59","0","0","10005","1001","0","0","2019/01/03 16:00:00"
"107901","15","20","5005404","2019/01/22 15:59:59","0","0","10005","1001","0","0","2019/01/03 16:00:00"
"108001","16","30","5005405","2019/01/22 15:59:59","0","0","10005","1001","0","0","2019/01/03 16:00:00"
"107901","17","2","5005406","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"108001","18","5","5005407","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"107901","19","8","5005408","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"108001","20","12","5005409","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"107901","21","16","5005410","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"108001","22","20","5005411","2019/01/22 15:59:59","0","0","10005","1003","0","0","2019/01/03 16:00:00"
"103701","23","1000603","5006402","2019/02/19 15:59:59","1","0","10006","1002","0","0","2019/02/01 12:00:00"
