20a3bf9939941af0adc7a50ca10b9af257bb0cf1973cc07a57edce26ff1f4423,90c46d751068f23964bcc6b1bac8ecc951381c4e2cf85f26bb77ca7de93c64ed,f535d12f8bad3c900e1ad1faee4aff163c9a2b474b7845d151ce2a25a4a05e76,e1c7f12a23107f6de259ceee86fcb55cac54a9fd0366263549d12e9c3039a055,aaeb975f91a08ce121d3e72d1d26096be7986833db693c418182a8bebe7e9eef
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407010","1"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407010","2"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407010","3"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407010","4"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407010","5"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407020","6"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407020","7"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407020","8"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407020","9"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407020","10"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407030","11"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407030","12"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407030","13"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407030","14"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407030","15"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407110","16"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407110","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407110","18"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407110","19"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407110","20"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407110","21"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407110","22"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407120","23"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407120","24"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407120","25"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407120","26"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407120","27"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407120","28"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407120","29"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407130","30"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407130","31"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407130","32"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407130","33"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407130","34"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407130","35"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407130","36"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407140","37"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407140","38"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407140","39"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407140","40"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407140","41"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407140","42"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407140","43"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407210","44"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407210","45"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407210","46"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","92407210","47"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","17","92407210","48"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低HP吸收","9","92407210","49"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","boss_tp_down_cut","92407210","50"
"戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。","TP恢復","energy_recover","92407210","51"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","92407220","52"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","92407220","53"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","92407220","54"
