fbdd628a2e3c0a2c32937f454bfc3030e20dcf35f0f1a6244cfe385a75754cd0,3b7e885770c29cbe0e32dc68264261e0693db3fee7525cee475d6d9310d27f66,cad68f718f7ebdaa0e4e5f869a0b6f624173444c57d2b67fb5f972159d5d920e,47101181c79898df9e362efb0ce2e64b89486172b5457d0031c5e0671308786d,8cf8e632c38238c777807c57b23d27f8715bfe01fa9dbc631837ec0646793c69,b2b9fc99b56b892890bfbef358480b37ae843cbce0276689bfea868085d7a1af,c46278ac8f9496f6c2472fc87c3217ad78b11ec547e65127aefde0282f73f409,9e18f7f6ed656125a3a76a39c698e70df36f4144896a72d30a155eb1b7a14b5d,719a6bf0527b81defb2455712e99b17de5e1d2d643314003cf27f690b3435e22,2c8318e7a11bfba2167fdcfdb2b0af5ba3d9bbd2379ef672f0aa5ce7ce617277,fcc1b10a6ecf0d7ec90c1d80853368520aca62fbcc3f8ce7effbc69d33247fc5,938bf5533ecef166bb3502218f867ce41756dd50565afbf8ce6a89734daca6b8,2735c48f02bd0ad8920c3bfd9c057a6b4dab9df91bce6fb8687cfbb3632c2ef7,d0056ab23faddf377fe7e0b71a0f6222f28edadb43702819c7f7919e747d0187,ec1f560a6008527561e399aa39ece2f56fc3256079e117e4373e11a2b2389991,fb749950348b88849f39bc216d7a7fe2f309791e8a5f4a3ae327a7500ad41673,1a34734bac10d5bd9b5fffe1630caff260b856d39da39f6c47f8e10e9695b791,fd0aea46603cc64dae0e18c4055d0d7061f7c99e00bc3b7b93f6971ee77980ab
"1","1","10","8","91002","500","0","0","0","0","0","0","0","0","0","0","0","0"
"2","11","100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"3","101","200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"4","201","500","8","91002","10","0","0","0","0","0","0","0","0","0","0","0","0"
"5","501","1000","8","91002","5","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1001","2000","8","91002","3","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2001","4000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"8","4001","7999","8","91002","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9","8000","8000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"10","8100","8100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"11","8200","8200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"12","8300","8300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"13","8400","8400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"14","8500","8500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"15","8600","8600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"16","8700","8700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"17","8800","8800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"18","8900","8900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"19","9000","9000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"20","9100","9100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"21","9200","9200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"22","9300","9300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"23","9400","9400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"24","9500","9500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"25","9600","9600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"26","9700","9700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"27","9800","9800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"28","9900","9900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"29","10000","10000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"30","10100","10100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"31","10200","10200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"32","10300","10300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"33","10400","10400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"34","10500","10500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"35","10600","10600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"36","10700","10700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"37","10800","10800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"38","10900","10900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"39","11000","11000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"40","11100","11100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"41","11200","11200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"42","11300","11300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"43","11400","11400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"44","11500","11500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"45","11600","11600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"46","11700","11700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"47","11800","11800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"48","11900","11900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"49","12000","12000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"50","12100","12100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"51","12200","12200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"52","12300","12300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"53","12400","12400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"54","12500","12500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"55","12600","12600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"56","12700","12700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"57","12800","12800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"58","12900","12900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"59","13000","13000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"60","13100","13100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"61","13200","13200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"62","13300","13300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"63","13400","13400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"64","13500","13500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"65","13600","13600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"66","13700","13700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"67","13800","13800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"68","13900","13900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"69","14000","14000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"70","14100","14100","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"71","14200","14200","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"72","14300","14300","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"73","14400","14400","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"74","14500","14500","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"75","14600","14600","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"76","14700","14700","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"77","14800","14800","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"78","14900","14900","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
"79","15000","15000","8","91002","30","0","0","0","0","0","0","0","0","0","0","0","0"
