5cf8bc9cd010fa6fcf3df35981a1c5a51db43f2f1afa592d80d517df4de692d4,48c8e014e26366c4df4606d1778c8b3c6aa20e1f01dacd16524e5e1da8188f8d,794c4067db8a7f1f390b15c784342068ef2957bdaf43c2d4b525ab795675eaef,c7956d826102c259d82f483bb3d13dd5e0ec6a5828489ae7f42385da7019a3dd,ad8e58201459da8addf8399eefbfe7f9e0138b2797f148610a2dd9ec0b3ab951,ec72b0a9ca985b96b85b578cbf4f0dbee042cd92c39ace10e08da2036e5229ea,2ab4077d864d066d091eeebd06b7d1184f5b078afa088a2284f941348089d328,c64e2412591d1eb7d121b6011273c10e29f07bcc386b2d6d0d67c29e0f3eecd3,f4490980b9b791b899e1a3a627ab6e02c3391cca8d5138695c4e20b0eb1bff05,cf6d4d371139573a5ddceae6f6c8ec720826731110b79944c19d6d857d3627dc
"訓練現在\n才要開始。","3000","vo_minigame_1013_icon_1_002_001","2","2","1000","1","狀態逐漸\n變好了呢。","2","vo_minigame_1013_icon_2_002_001"
"嘻嘻，局勢\n發展得不錯。","3000","vo_minigame_1013_icon_1_003_001","2","2","5000","2","喂喂，\n還能繼續的吧？","2","vo_minigame_1013_icon_2_003_001"
"這是出色的\n紀錄。","3000","vo_minigame_1013_icon_1_004_001","3","2","10000","3","嘿嘿，你們\n挺行的嘛！","2","vo_minigame_1013_icon_2_004_001"
"現在狀態\n絕佳呢。","3000","vo_minigame_1013_icon_1_005_001","3","2","10000","4","我們還不能\n止步於此！","3","vo_minigame_1013_icon_2_005_001"
"還能繼續前進。\n給我跟上。","3000","vo_minigame_1013_icon_1_005_002","3","2","10000","5","看著吧！\n真琴班過關斬將！","3","vo_minigame_1013_icon_2_005_002"
"惠理子班\n發揮真本事！","3000","vo_minigame_1013_icon_1_005_003","3","2","10000","6","唔哦哦哦！\n狀態絕佳！","3","vo_minigame_1013_icon_2_005_003"
"接下來是\n前無古人的領域！","3000","vo_minigame_1013_icon_1_006_001","3","2","0","7","能前進到什麼地方\n真讓人期待！","4","vo_minigame_1013_icon_2_006_001"
"真是棘手……","1000","vo_minigame_1013_icon_1_007_001","4","3","1","8","還不能放棄。","5","vo_minigame_1013_icon_2_007_001"
"不可輕敵。","1000","vo_minigame_1013_icon_1_007_002","4","3","1","9","捏了把冷汗啊……！","5","vo_minigame_1013_icon_2_007_002"
"真是可恨……","1000","vo_minigame_1013_icon_1_007_003","4","3","1","10","不准說喪氣話。","5","vo_minigame_1013_icon_2_007_003"
"人多勢眾呢。","1500","vo_minigame_1013_icon_1_008_001","3","4","99","11","真琴班集合！","6","vo_minigame_1013_icon_2_008_001"
"歡迎來到惠理子班。","1500","vo_minigame_1013_icon_1_008_002","3","4","99","12","齊心協力上吧！","6","vo_minigame_1013_icon_2_008_002"
"儘管包在\n小七七香身上。","3000","vo_minigame_1013_icon_1_020_001","6","1","0","13","賦予大家力量！","8","vo_minigame_1013_icon_2_020_001"
"哈哈哈！\n交給我吧！","3000","vo_minigame_1013_icon_1_022_001","7","1","0","14","包在我身上。","9","vo_minigame_1013_icon_2_022_001"
"繼續前進囉。","3000","vo_minigame_1013_icon_1_023_001","8","1","0","15","好哪，繼續前進吧。","10","vo_minigame_1013_icon_2_023_001"
