89022cb2e54d53696d040d2eede33d478f508e2f7c85e3d14297111bae477a34,edf05e41ff6451436107fed9a1f85c430e9751eaf53d934dd97887953763ed5b,8d9247113091eb2c8d7419d12f4198edbfd53490c3a13a0285e6b50ee2300c46,1d69c78b37f7824e57838bb7f78734c3190743ec5c30a01d10237b511dc7f570,1529625d4b3588b2bada4a89c17e68957e46a473e44547a83b58d5edba1387a6,447e3b2e0d330ab27f2265c775cc84fb7ca061748a93f1cf882882439e2d01d1,5f44b09d12c3c081b709fcadd8068e881a77d3953726a852b08a4aac00bc0ace,0b317f34de9664efa12717832a739d339cec45f54b4fbd4deb16c6728be55949,8b6cbd0e5910fffb241fd894ec414ce103807264f66f7b92c07b46de2abf6bae,7fdd77c2a1594ecf2ca1618a565d365561cc3c4cbc4900f7fb3cca249b56f654,1ea2f9db459f2042052110de122d296d0f22d9e1903eb5a9bbe1bb959a53f1a9
"","","","","101","","se_fpc_water_random","23","11010001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","101","-180","<unit_id>","1","11010002","1","23"
"cmn_swm_tread_pink","1.75","0","-850","101","-180","1","5","11010003","1","22"
"","1","","-180","101","1","3","31","11010004","3","-850"
"","","","","101","","0","91","11010005","0",""
"","","","10","101","","850","2","11010006","<unit_id>","-180"
"","","","10","101","","850","2","11010007","1","-180"
"","","","10","101","","850","33","11010008","3","-180"
"","","","","102","","se_fpc_water_random","23","11020001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","102","-180","<unit_id>","1","11020002","1","23"
"cmn_swm_tread_blue","1.75","0","-850","102","-180","1","5","11020003","1","22"
"","1","","-180","102","1","3","31","11020004","3","-850"
"","","","","102","","0","91","11020005","0",""
"","","","10","102","","850","2","11020006","<unit_id>","-180"
"","","","10","102","","850","2","11020007","1","-180"
"","","","10","102","","850","33","11020008","3","-180"
"","","","","103","","se_fpc_water_random","23","11030001","se_10053800",""
"cmn_swm_tread","1.75","0","-850","103","-180","<unit_id>","1","11030002","1","23"
"cmn_swm_tread","1.75","0","-850","103","-180","1","5","11030003","1","22"
"","1","","-180","103","1","3","31","11030004","3","-850"
"","","","","103","","0","91","11030005","0",""
"","","","10","103","","850","2","11030006","<unit_id>","-180"
"","","","10","103","","850","2","11030007","1","-180"
"","","","10","103","","850","33","11030008","3","-180"
"","","","","151","","se_fpc_water_random","23","11510001","se_10053800",""
"cmn_swm_flutterKick","1.75","0","-850","151","-180","<unit_id>","1","11510002","1","22"
"","1","","-180","151","1","1","31","11510003","1","-850"
"","","","","151","","0","91","11510004","0",""
"","","","10","151","","1050","2","11510005","<unit_id>","-180"
"","","","10","151","","1050","33","11510006","1","-180"
"","","","","201","","se_fpc_water_random","23","12010001","se_10053800",""
"cmn_swm_breastStroke","1.75","0","-850","201","-180","<unit_id>","1","12010002","1","22"
"","1","","-180","201","1","2","31","12010003","2","-850"
"","","","","201","","0","91","12010004","0",""
"","","","10","201","","850","2","12010005","<unit_id>","-180"
"","","","10","201","","850","33","12010006","2","-180"
"","","","","251","","se_fpc_water_random","23","12510001","se_10053800",""
"cmn_swm_diving","1.75","0","-850","251","-180","<unit_id>","1","12510002","1","22"
"","1","","-180","251","1","9","31","12510003","9","-850"
"","","","","251","","0","91","12510004","0",""
"","","","10","251","","850","2","12510005","<unit_id>","-180"
"","","","10","251","","850","33","12510006","9","-180"
"","","","","301","","se_fpc_water_random","23","13010001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","301","-180","<unit_id>","1","13010002","1","23"
"cmn_swm_flutterKick_floatRing_pink","1.75","0","-850","301","-180","1","5","13010003","1","22"
"","1","","-180","301","1","1","31","13010004","1","-850"
"","","","","301","","0","91","13010005","0",""
"","","","10","301","","1050","2","13010006","<unit_id>","-180"
"","","","10","301","","1050","2","13010007","1","-180"
"","","","10","301","","1050","33","13010008","1","-180"
"","","","","302","","se_fpc_water_random","23","13020001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","302","-180","<unit_id>","1","13020002","1","23"
"cmn_swm_flutterKick_floatRing_blue","1.75","0","-850","302","-180","1","5","13020003","1","22"
"","1","","-180","302","1","1","31","13020004","1","-850"
"","","","","302","","0","91","13020005","0",""
"","","","10","302","","1050","2","13020006","<unit_id>","-180"
"","","","10","302","","1050","2","13020007","1","-180"
"","","","10","302","","1050","33","13020008","1","-180"
"","","","","303","","se_fpc_water_random","23","13030001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","303","-180","<unit_id>","1","13030002","1","23"
"cmn_swm_flutterKick_floatRing","1.75","0","-850","303","-180","1","5","13030003","1","22"
"","1","","-180","303","1","1","31","13030004","1","-850"
"","","","","303","","0","91","13030005","0",""
"","","","10","303","","1050","2","13030006","<unit_id>","-180"
"","","","10","303","","1050","2","13030007","1","-180"
"","","","10","303","","1050","33","13030008","1","-180"
"","","","","351","","se_fpc_water_random","23","13510001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","351","-180","<unit_id>","1","13510002","1","23"
"cmn_swm_flutterKick_floatBoad","1.75","0","-850","351","-180","1","5","13510003","1","22"
"","1","","-180","351","1","1","31","13510004","1","-850"
"","","","","351","","0","91","13510005","0",""
"","","","10","351","","1050","2","13510006","<unit_id>","-180"
"","","","10","351","","1050","2","13510007","1","-180"
"","","","10","351","","1050","33","13510008","1","-180"
"","","","","352","","se_fpc_water_random","23","13520001","se_10053800",""
"cmn_swm_flutterKick_floatRing","1.75","0","-850","352","-180","<unit_id>","1","13520002","1","23"
"cmn_swm_flutterKick_floatBoad_blue","1.75","0","-850","352","-180","1","5","13520003","1","22"
"","1","","-180","352","1","1","31","13520004","1","-850"
"","","","","352","","0","91","13520005","0",""
"","","","10","352","","1050","2","13520006","<unit_id>","-180"
"","","","10","352","","1050","2","13520007","1","-180"
"","","","10","352","","1050","33","13520008","1","-180"
"","","","","401","","se_fpc_water_random","23","14010001","se_10053800",""
"cmn_float","1.75","0","-850","401","-180","<unit_id>","1","14010002","1","22"
"","1","","-180","401","1","6","31","14010003","6","-850"
"","","","","401","","0","91","14010004","0",""
"","","","10","401","","1050","2","14010005","<unit_id>","-180"
"","","","10","401","","1050","33","14010006","6","-180"
"","","","","402","","se_fpc_water_random","23","14020001","se_10053800",""
"cmn_float_4","1.75","0","-850","402","-180","<unit_id>","1","14020002","1","22"
"","1","","-180","402","1","6","31","14020003","6","-850"
"","","","","402","","0","91","14020004","0",""
"","","","10","402","","1050","2","14020005","<unit_id>","-180"
"","","","10","402","","1050","33","14020006","6","-180"
"","","","","451","","se_fpc_water_random","23","14510001","se_10053800",""
"cmn_crawl","1.75","0","-850","451","-180","<unit_id>","1","14510002","1","22"
"","1","","-180","451","1","1","31","14510003","1","-850"
"","","","","451","","0","91","14510004","0",""
"","","","10","451","","1050","2","14510005","<unit_id>","-180"
"","","","10","451","","1050","33","14510006","1","-180"
"","","","","501","","se_fpc_water_random","23","15010001","se_10053800",""
"cmn_surfing","1.75","0","-850","501","-250","<unit_id>","1","15010002","1","45"
"cmn_surfing","1.75","0","-850","501","-250","6","5","15010003","6","44"
