db1f3bffb11e37a832bac19912f183621ac605d3d9659fdcbb29694385f6cebb,2df0af373ab45128f2fdde60256d8d2f93565c7d121b5b40bef7e7fe70324171,ca7a3bc90f9ff077ce9fbdf4ec3c0507bfb2ba0e37ed0f76f17374cd6a55d324,ffd9980f9ee31cefefa616f816ccfbc8f0c44429de6d9b825ccefde6fc79430e
"1","52007","1","11511"
"2","52007","2","11512"
"1","52009","1","100901"
"2","52009","2","100902"
"1","52011","1","11521"
"2","52011","2","11522"
"1","52023","1","11512"
"2","52023","2","11511"
"1","52036","1","11531"
"2","52036","2","11532"
"3","52036","3","11532"
"1","52041","1","11522"
"2","52041","2","11521"
