15afea4ecb60287b93527e0e5cebf5ea996f22f211ee46764deed11b52183a44,2d65789341bdd0d0e22c1aa8d9c8e05f84d48cec3539cff7fc2c582a15bfaf3a,4d6a68862e1ce02f02b725652c9bbe6d39c9c858994d2599fddefaceb083a365,1c047cf354d743538ac7fffc0bc74cd62dfe9f8946f1ed184830f958ae1a8a2d,0a2b8e08fdc671dca64796fb29639e55f6355054e7512416a5d7fcb567367fc2,efa9a7dd98e613752ed241bc0227490957ea22a5a13123ee11c4945ea0766418,5ade7a8ad2945257f26649e5d4abc9e67efbf460af534e7178bdca49140f1cf0,a0102622c90425eb72865b3fcd95edb0ea7e0571a8fbeb4b5308e5ceee8648e4,e9c1621b7bfc226c569b4a3654ecb4812e17671732380843f1f324aee8fc75b0,6cb305d90e5a85758e7195fb309b317a1c2e60f316163e6680c8e981087dcd98,f6032ffc9c219a5ba5d9e437b2afaece0912cfda4fc2c77141066642a8e3e6be
"-224","1","1.65","1","1","1","167","1001","100","129811","drama_idle"
"-224","0","1.65","1","1","1","-49","1002","100","129911","drama_idle"
"","","0.2","1","129811","3","","1003","1","drama_idle",""
"1","0","0.2","1","129911","3","drama_talk_arm_crossed_loop","1004","0","drama_talk_arm_crossed_in",""
"","","","1","vo_minigame_1013","21","0","1005","0","vo_minigame_1013_top_talk_1_000",""
"0","0","0","1","129911","11","1","1006","5","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","0"
"","","","1","0","91","","1007","","",""
"","","0.2","1","129911","3","","1008","1","drama_idle_arm_crossed",""
"1","0","0.2","1","129811","3","drama_talk_doya_loop_smile","1009","0","drama_talk_doya_in_smile",""
"","","","1","vo_minigame_1013","21","0","1010","0","vo_minigame_1013_top_talk_1_001",""
"0","0","0","1","129811","11","1","1011","5","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","0.3"
"","","","1","0","91","","1012","","",""
"","","0.2","1","129811","3","","1013","1","drama_idle_arm_crossed",""
"1","0","0.2","1","129911","3","drama_talk_smile_loop","1014","0","drama_talk_smile_in",""
"","","","1","vo_minigame_1013","21","0","1015","0","vo_minigame_1013_top_talk_1_002",""
"0","0","0","1","129911","11","1","1016","4","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","0.5"
"","","","1","0","91","","1017","","",""
"","","0.2","1","129911","3","","1018","1","drama_idle",""
"","","0.2","1","129811","3","","1019","1","drama_idle",""
"-224","1","1.65","2","1","1","167","2001","100","129811","drama_idle"
"-224","0","1.65","2","1","1","-49","2002","100","129911","drama_idle"
"","","0.2","2","129911","3","","2003","1","drama_idle",""
"1","","0.2","2","129811","3","drama_talk_admire_loop","2004","0","drama_talk_admire_in",""
"","","","2","vo_minigame_1013","21","0","2005","0","vo_minigame_1013_top_talk_2_000",""
"0","0","0","2","129811","11","1","2006","6","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","0.5"
"","","","2","0","91","","2007","","",""
"","","0.2","2","129811","3","","2008","1","drama_idle_admire",""
"1","","0.2","2","129911","3","drama_talk_arm_crossed_loop","2009","0","drama_talk_arm_crossed_in",""
"","","","2","vo_minigame_1013","21","0","2010","0","vo_minigame_1013_top_talk_2_001",""
"0","0","0","2","129911","11","1","2011","4","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","0.3"
"","","","2","0","91","","2012","","",""
"","","0.2","2","129911","3","","2013","1","drama_idle_arm_crossed",""
"1","","0.2","2","129811","3","drama_talk_guts2_loop","2014","0","drama_talk_guts2_in",""
"","","","2","vo_minigame_1013","21","0","2015","0","vo_minigame_1013_top_talk_2_002",""
"0","0","0","2","129811","11","1","2016","5","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","0.3"
"","","","2","0","91","","2017","","",""
"","","0.2","2","129811","3","","2018","1","drama_idle",""
"","","0.2","2","129911","3","","2019","1","drama_idle",""
"-224","1","1.65","3","1","1","167","3001","100","129811","drama_idle"
"-224","0","1.65","3","1","1","-49","3002","100","129911","drama_idle"
"","","0.2","3","129811","3","","3003","1","drama_idle",""
"","","0.2","3","129911","3","","3004","1","drama_talk_thinking",""
"","","","3","vo_minigame_1013","21","0","3005","0","vo_minigame_1013_top_talk_3_000",""
"0","0","0","3","129911","11","1","3006","5","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","0.8"
"","","","3","0","91","","3007","","",""
"","","0.2","3","129911","3","","3008","1","drama_idle_thinking",""
"1","","0.2","3","129811","3","drama_talk_sad_loop","3009","0","drama_talk_sad_in",""
"","","","3","vo_minigame_1013","21","0","3010","0","vo_minigame_1013_top_talk_3_001",""
"0","0","0","3","129811","11","1","3011","6","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","0.5"
"","","","3","0","91","","3012","","",""
"","","0.2","3","129811","3","","3013","1","drama_idle_sad",""
"1","","0.2","3","129911","3","drama_talk_arm_crossed_loop","3014","0","drama_talk_arm_crossed_in",""
"","","","3","vo_minigame_1013","21","0","3015","0","vo_minigame_1013_top_talk_3_002",""
"0","0","0","3","129911","11","1","3016","4","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","0.3"
"","","","3","0","91","","3017","","",""
"","","0.2","3","129811","3","","3018","1","drama_idle",""
"","","0.2","3","129911","3","","3019","1","drama_idle",""
"-224","1","1.65","4","1","1","167","4001","100","129811","drama_idle"
"-224","0","1.65","4","1","1","-49","4002","100","129911","drama_idle"
"","","0.2","4","129911","3","","4003","1","drama_idle",""
"1","","0.2","4","129811","3","drama_talk_doya_loop_shy","4004","0","drama_talk_doya_in_shy",""
"","","","4","vo_minigame_1013","21","0","4005","0","vo_minigame_1013_top_talk_4_000",""
"0","0","0","4","129811","11","1","4006","5","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","0.3"
"","","","4","0","91","","4007","","",""
"","","0.2","4","129811","3","","4008","1","drama_idle_doya_shy",""
"1","","0.2","4","129911","3","drama_talk_wish_loop","4009","0","drama_talk_wish_in",""
"","","","4","vo_minigame_1013","21","0","4010","0","vo_minigame_1013_top_talk_4_001",""
"0","0","0","4","129911","11","1","4011","4","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","0.5"
"","","","4","0","91","","4012","","",""
"","","0.2","4","129911","3","","4013","1","drama_idle_wish",""
"0","","0.2","4","129811","3","","4014","1","drama_idle_thinking_shy",""
"","","","4","vo_minigame_1013","21","0","4015","0","vo_minigame_1013_top_talk_4_002",""
"0","0","0","4","129811","11","1","4016","7","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","0"
"","","","4","0","91","","4017","","",""
"","","0.2","4","129911","3","","4018","1","drama_idle",""
"","","0.2","4","129811","3","","4019","1","drama_idle",""
"-224","1","1.65","5","1","1","167","5001","100","129811","drama_idle"
"-224","0","1.65","5","1","1","-49","5002","100","129911","drama_idle"
"","","0.2","5","129811","3","","5003","1","drama_idle",""
"","","0.2","5","129911","3","","5004","1","drama_talk_thinking",""
"","","","5","vo_minigame_1013","21","0","5005","0","vo_minigame_1013_top_talk_5_000",""
"0","0","0","5","129911","11","1","5006","5","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","0.8"
"","","","5","0","91","","5007","","",""
"","","0.2","5","129911","3","","5008","1","drama_idle_thinking",""
"1","","0.2","5","129811","3","drama_talk_wonder_loop","5009","0","drama_talk_wonder_in",""
"","","","5","vo_minigame_1013","21","0","5010","0","vo_minigame_1013_top_talk_5_001",""
"0","0","0","5","129811","11","1","5011","5","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","0.3"
"","","","5","0","91","","5012","","",""
"","","0.2","5","129811","3","","5013","1","drama_idle_wonder",""
"","","0.2","5","129911","3","","5014","1","drama_talk_memory",""
"","","","5","vo_minigame_1013","21","0","5015","0","vo_minigame_1013_top_talk_5_002",""
"0","0","0","5","129911","11","1","5016","4","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","0.5"
"","","","5","0","91","","5017","","",""
"","","0.2","5","129811","3","","5018","1","drama_idle",""
"","","0.2","5","129911","3","","5019","1","drama_idle",""
"-224","1","1.65","6","1","1","167","6001","100","129811","drama_idle"
"-224","0","1.65","6","1","1","-49","6002","100","129911","drama_idle"
"","","0.2","6","129911","3","","6003","1","drama_idle",""
"","","0.2","6","129811","3","","6004","1","drama_talk_thinking_shy",""
"","","","6","vo_minigame_1013","21","0","6005","0","vo_minigame_1013_top_talk_6_000",""
"0","0","0","6","129811","11","1","6006","6","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","0.3"
"","","","6","0","91","","6007","","",""
"","","0.2","6","129811","3","","6008","1","drama_idle_thinking_shy",""
"1","","0.2","6","129911","3","drama_talk_doubt_loop","6009","0","drama_talk_doubt_in",""
"","","","6","vo_minigame_1013","21","0","6010","0","vo_minigame_1013_top_talk_6_001",""
"0","0","0","6","129911","11","1","6011","4","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","0.8"
"","","","6","0","91","","6012","","",""
"","","0.2","6","129911","3","","6013","1","drama_idle_doubt",""
"1","","0.2","6","129811","3","drama_talk_surprise_loop_shy","6014","0","drama_talk_surprise_in_shy",""
"","","","6","vo_minigame_1013","21","0","6015","0","vo_minigame_1013_top_talk_6_002",""
"0","0","0","6","129811","11","1","6016","7","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","0.3"
"","","","6","0","91","","6017","","",""
"","","0.2","6","129911","3","","6018","1","drama_idle",""
"","","0.2","6","129811","3","","6019","1","drama_idle",""
"-224","1","1.65","7","1","1","167","7001","100","129811","drama_idle"
"-224","0","1.65","7","1","1","-49","7002","100","129911","drama_idle"
"","","0.2","7","129811","3","","7003","1","drama_idle",""
"1","","0.2","7","129911","3","drama_talk_arm_crossed_loop","7004","0","drama_talk_arm_crossed_in",""
"","","","7","vo_minigame_1013","21","0","7005","0","vo_minigame_1013_top_talk_7_000",""
"0","0","0","7","129911","11","1","7006","5","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","0.3"
"","","","7","0","91","","7007","","",""
"","","0.2","7","129911","3","","7008","1","drama_idle_arm_crossed",""
"1","","0.2","7","129811","3","drama_talk_guts2_loop","7009","0","drama_talk_guts2_in",""
"","","","7","vo_minigame_1013","21","0","7010","0","vo_minigame_1013_top_talk_7_001",""
"0","0","0","7","129811","11","1","7011","5","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","0"
"","","","7","0","91","","7012","","",""
"","","0.2","7","129811","3","","7013","1","drama_idle_guts2",""
"","","0.2","7","129911","3","","7014","1","drama_talk_thinking",""
"","","","7","vo_minigame_1013","21","0","7015","0","vo_minigame_1013_top_talk_7_002",""
"0","0","0","7","129911","11","1","7016","5","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","0.5"
"","","","7","0","91","","7017","","",""
"","","0.2","7","129811","3","","7018","1","drama_idle",""
"","","0.2","7","129911","3","","7019","1","drama_idle",""
"-224","1","1.65","8","1","1","167","8001","100","129811","drama_idle"
"-224","0","1.65","8","1","1","-49","8002","100","129911","drama_idle"
"","","0.2","8","129911","3","","8003","1","drama_idle",""
"1","","0.2","8","129811","3","drama_talk_doya_loop_smile","8004","0","drama_talk_doya_in_smile",""
"","","","8","vo_minigame_1013","21","0","8005","0","vo_minigame_1013_top_talk_8_000",""
"0","0","0","8","129811","11","1","8006","6","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","0.3"
"","","","8","0","91","","8007","","",""
"","","0.2","8","129811","3","","8008","1","drama_idle_doya_smile",""
"1","","0.2","8","129911","3","drama_talk_arm_crossed_loop","8009","0","drama_talk_arm_crossed_in",""
"","","","8","vo_minigame_1013","21","0","8010","0","vo_minigame_1013_top_talk_8_001",""
"0","0","0","8","129911","11","1","8011","4","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","0.8"
"","","","8","0","91","","8012","","",""
"","","0.2","8","129911","3","","8013","1","drama_idle_arm_crossed",""
"","","0.2","8","129811","3","","8014","1","drama_talk_anger",""
"","","","8","vo_minigame_1013","21","0","8015","0","vo_minigame_1013_top_talk_8_002",""
"0","0","0","8","129811","11","1","8016","7","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","0.3"
"","","","8","0","91","","8017","","",""
"","","0.2","8","129811","3","","8018","1","drama_idle",""
"","","0.2","8","129911","3","","8019","1","drama_idle",""
"-224","1","1.65","30","1","1","167","30001","100","129811","drama_idle"
"-224","0","1.65","30","1","1","-49","30002","100","129911","drama_idle"
"","","0.2","30","129811","3","","30003","1","drama_idle",""
"","","0.2","30","129911","3","","30004","1","drama_idle",""
"","","","30","0.5","93","","30005","","0",""
"","","","30","2","26","","30006","","",""
"0.9","","3","30","-80","121","1.2","30007","1.2","10",""
"","0.2","0.2","30","129911","3","","30008","0","drama_joy_eriko",""
"","","","30","1","140","","30009","0","1",""
"-224","1","1.65","31","1","1","167","31001","100","129811","drama_idle"
"-224","0","1.65","31","1","1","-49","31002","100","129911","drama_idle"
"","","0.2","31","129811","3","","31003","1","drama_idle",""
"","","0.2","31","129911","3","","31004","1","drama_idle",""
"","","","31","0.5","93","","31005","","0",""
