2873f757bbfee16db703146fb00c2c6084cb3bbed8fe624237192dd70069f755,2e6a3f51484266ff012b338770fe87ad38c022fa915ab5d2032e5cd29a2f998a,26e4c086421008bab342811fdb4c64a4532526731f04f6fa52686edfefadff91,449303c77ac8a6f694e03421cfd13d9f53bb28fff2443cdf4dadd16ecac78b90,67fd53d49298d3b3c15570f1f67e674061040693482d1ed2cc2688a4df637ef4,6f3d7ddcb545afab5db7def5ad44998b4a3f78c55181e2ad932c767c86f2ead9,7d89049888a65f0d6ea4acc9c7017b35b0818ecc8d725918201a567ef67f1c7a
"103801001","初音＆栞","20001","0","0","101201001","0"
"104901001","靜流＆璃乃","20002","0","0","101101001","0"
"102501001","咲戀＆鈴莓","20003","0","0","102801001","0"
"102201001","依里＆茜里","20004","0","0","100601001","0"
"105901001","貪吃佩可&可可蘿","20005","0","0","105801001","0"
"106001001","貪吃佩可&凱留","20006","0","0","105801001","0"
"106001001","可可蘿&凱留","20007","0","0","105901001","0"
"100201001","日和&優衣","20008","0","0","100101001","0"
"100301001","日和&怜","20009","0","0","100101001","0"
"100301001","優衣&怜","20010","0","0","100201001","0"
"104201001","望&千歌","20013","0","0","102901001","0"
"105401001","望&紡希","20014","0","0","102901001","0"
"105401001","千歌&紡希","20015","0","0","104201001","0"
"100401001","美美&禊","20016","0","0","102001001","0"
"103601001","美美&鏡華","20017","0","0","102001001","0"
"103601001","禊&鏡華","20018","0","0","100401001","0"
"101201001","美里&初音","20019","0","0","101501001","0"
"104001001","美里&碧","20020","0","0","101501001","0"
"104001001","初音&碧","20021","0","0","101201001","0"
"102201001","伊莉亞&依里","20022","0","0","104401001","0"
"100601001","伊莉亞&茜里","20023","0","0","104401001","0"
"103101001","伊莉亞&忍","20024","0","0","104401001","0"
"100701001","伊莉亞&宮子","20025","0","0","104401001","0"
"103101001","依里＆忍","20026","0","0","102201001","0"
"100701001","依里＆宮子","20027","0","0","102201001","0"
"103101001","茜里＆忍","20028","0","0","100601001","0"
"100701001","茜里＆宮子","20029","0","0","100601001","0"
