212c4de2ff00a93abada932571234e825489111b8757b087b3f95b1ed7212524,f8a453fb96c7f186a9876eed5e1b5319f89888ab5fb289eff37f456e9a02d42f,7b71cfbe0ab84e0a57e4d5a1b1d4cd44a1ed04da7a413dbffdb10802f85af27d,73b7ac264808c7d80503c64fe5ae2136b23c9be644db9fea9c2d8ea112b8244d,6e605fe5fec2d96e7064e2d62a1ef5cc7494a8899af58209baa4ab7f76aa9203,4da184f10e97af08a5a8afb3b120690230c84feda6ecda396ee6fd036517ceef
"3000","0","100111","0","1","2999180"
"10000","0","100112","0","1","2999101"
"10000","0","100121","0","1","2999167"
"10000","0","100122","0","1","2999168"
"10000","0","100123","0","1","2999169"
"10000","0","100124","0","1","2999170"
"10000","0","100125","0","1","2999171"
"5000","0","100131","0","1","2999172"
"5000","0","100132","0","1","2999173"
"5000","0","100133","0","1","2999174"
"5000","0","100134","0","1","2999175"
"5000","0","100135","0","1","2999176"
"10000","0","100211","0","1","2999182"
"100000","0","100221","0","1","2999102"
"40000","0","100231","0","1","2999103"
"100000","0","100232","0","1","2999102"
"10000","0","100311","0","1","2999184"
"200000","0","100321","0","1","2999183"
"1000000","0","100331","0","1","2999185"
"50000","0","100332","0","1","2999186"
"50000","0","100333","0","1","2999187"
"50000","0","100334","0","1","2999188"
"50000","0","100335","0","1","2999189"
"3000","0","100411","0","1","2999104"
"110","0","100412","0","1","2999177"
"5000","0","100421","0","1","2999105"
"130","0","100422","0","1","2999178"
"7000","0","100431","0","1","2999106"
"160","0","100432","0","1","2999179"
"3300","0","100511","0","1","2999190"
"20000","0","100521","0","1","2999107"
"20000","0","100522","0","1","2999108"
"20000","0","100523","0","1","2999109"
"20000","0","100524","0","1","2999110"
"20000","0","100525","0","1","2999111"
"20000","0","100531","0","1","2999112"
"20000","0","100532","0","1","2999113"
"20000","0","100533","0","1","2999114"
"20000","0","100534","0","1","2999115"
"20000","0","100535","0","1","2999116"
"5","0","110011","0","14","14"
"10000","0","110021","0","1","2999117"
"10000","0","110031","0","1","2999120"
"2","0","110041","0","14","16"
"1000","0","110051","0","1","2999101"
"2000","0","120011","0","14","105"
"5000","0","120021","0","1","2999121"
"5000","0","120031","0","1","2999124"
"1000","0","120041","0","1","2999127"
"1000","0","120051","0","1","2999128"
"1000","0","130011","0","1","2999129"
"1000","0","130021","0","14","100"
"1000","0","130022","0","14","101"
"3000","0","130031","0","14","107"
