7a4f380463dc7f962cc0af3e933b722120d326ae7a81f7b419a5fac0e29b1e5a,b1d6f4fec5e56571cd48b91604a441e8787bd43ade023829044dd2a4e42ad309,6529a5bac9615760dd359824155f352b0399fd72a0c425a66ce32f17d29171c5,abab9b437a632ad77f20262711f99d4be70ffaaddaa9de11f3b2afe946f45ea0,54e5d3068ee3459752cf58fb6aeb38673e87c6cc88758bf170891bf0488d98dd,b7a11f70532d876872a3b41bc15378f3896e891bd328b0668ae046a8202491a9,0cd9cea0bc68e46af0c46940c4e8f151e324bf2d727457478c05c5c623b5c915,a463b86b6ac9bb70200061a11c7741169d03e570510be3d51b3c982c716199ab
"0","0","10050640","30050237","30050236","10050650","3000","0"
"0","0","10050659","30050414","30050413","10050670","3000","0"
"0","30050423","10050723","30050422","30050421","10050735","3000","0"
"0","30050426","10050818","30050425","30050424","10050360","3000","0"
"0","30060189","10060402","30060188","30060187","10060413","3000","30060190"
"0","30060193","10060480","30060192","30060191","10060492","3000","0"
"0","30060196","10060542","30060195","30060194","10060545","3000","30060197"
"30060212","30060210","10060591","30060209","30060208","10060606","3000","30060211"
"0","30070188","10070608","30070187","30070186","10070626","3000","30070189"
"30070202","30070200","10070914","30070199","30070198","10070926","3000","30070201"
"30070210","30070208","10071038","30070207","30070206","10071052","3000","30070209"
"0","30070195","10071117","30070194","30070193","10071131","3000","30070196"
"0","0","10080640","30080237","30080236","10080650","3000","0"
"0","0","10080659","30080414","30080413","10080670","3000","0"
"0","30080423","10080723","30080422","30080421","10080735","3000","0"
"0","30080426","10080818","30080425","30080424","10080360","3000","0"
"0","30090189","10090402","30090188","30090187","10090413","3000","30090190"
"0","30090193","10090480","30090192","30090191","10090492","3000","0"
"0","30090196","10090542","30090195","30090194","10090545","3000","30090197"
"30090212","30090210","10090591","30090209","30090208","10090606","3000","30090211"
"0","30100188","10100608","30100187","30100186","10100626","3000","30100189"
"30100202","30100200","10100914","30100199","30100198","10100926","3000","30100201"
"30100210","30100208","10101038","30100207","30100206","10101052","3000","30100209"
"0","30100195","10101117","30100194","30100193","10101131","3000","30100196"
