4c12d1288ee5ec4403507d789df045d16cbdc2f1ce7b1802e827d9a3f34b8153,e6f8515e4897f769f7f7ec53a20f9726c4f0b68dace1a5d3e0201597b8e5db71,dc658d1b02391cf155eb41b51e641ba159136c48813b4ca6b35f76c15995c9f5,5d7098abf7ab5c0ba70e0501246464c590dcbecde0bd9611320c6d3feef17dbb,3437efb93abd4d321a62f8353f527a1cc12f8e04c283da1057ab809e93da9491,831ecb78bb0067f3fe40a5f3c80fff352daf9ff87b8b7e3a3d135861c16cb8df,ca304dea9e7840ff4ecd5dacb5ebae2c649e185f0922ff46e1b39f2f66ac1a59,2007aefa9502d070ffa22c00e8a8bdbaf0fea000152e3fb9bd2adf1c21c0f3ad,20aa901a4b0af39a7992b8830370089654d945f2c499362eb0fe7f54b885269c,dddf1a9ff15820c477dd13e8c99d9b58fdab193ea39dd99e73e643b5b2ebfa52,9e34c1db676f2977cfb8db4a4b63d23ab8d926f6971ec72d54e874f904ad82ed
"2","2","8","31","91002","8","25021","10","282001001","25012","1"
"2","2","8","31","91002","8","25021","10","282001002","25012","2"
"2","2","8","32","91002","8","25021","10","282001003","25012","3"
"2","2","8","32","91002","8","25021","10","282001004","25012","4"
"2","2","8","33","91002","8","25021","10","282001005","25012","5"
"2","2","9","33","91002","8","25021","10","282001006","25012","6"
"2","2","9","34","91002","8","25021","10","282001007","25012","7"
"2","2","9","35","91002","8","25021","10","282001008","25012","8"
"2","2","9","35","91002","8","25021","10","282001009","25012","9"
"2","2","10","37","91002","8","25021","30","282001010","25012","10"
"2","2","10","41","91002","8","25021","10","282001011","25012","11"
"2","2","11","43","91002","8","25021","10","282001012","25012","12"
"2","2","11","46","91002","8","25021","10","282001013","25012","13"
"2","2","12","48","91002","8","25021","10","282001014","25012","14"
"2","2","12","50","91002","8","25021","10","282001015","25012","15"
"2","2","13","53","91002","8","25021","10","282001016","25012","16"
"2","2","14","55","91002","8","25021","10","282001017","25012","17"
"2","2","14","58","91002","8","25021","10","282001018","25012","18"
"2","2","15","60","91002","8","25021","10","282001019","25012","19"
"2","2","15","62","91002","8","25021","30","282001020","25012","20"
"2","2","16","68","91002","8","25021","10","282001021","25012","21"
"2","2","16","70","91002","8","25021","10","282001022","25012","22"
"2","2","16","72","91002","8","25021","10","282001023","25012","23"
