c97dff3f90a9589f4077aadf6a267903ac7d18b23544339b294d9ec65db52476,312cde2be9787a3b4c8c2d800c341e85659fbec1488a527f6fcb98ddd66cbb97,8555040160f76780922fba2d95dd91216049124bae72adc273f05913af70f5f3,03ece7cdf88605e8b5b31ba8f2804425105c4e34e25bdb21012de511605ecd21,745e49df5cc2518b01d12f70c839d98f670229f3acaf3c4136354b328e3d4548,4a3c18c86187a881ee866a99fd7ec6b8d77be31796bd1ddfa7d32f143f608ce0,6afbda510f306db9c4122952dffd73a6ec51c3470c9637d5e2832fc1096701fa,4d00e0ee9729e4c8b81d021bf435bacd4d2b4bcacc27354107b53af471418aa7,fc119b417e2087d3175878839835098794d221727f9108374169343c27c7127b,911e47b1fe215dd3129acb41d0bf80f86e65ff12b93816b21d8490f4cc7b5b99,dfb2acc0e18874414e5a57a389ca198f83ff55ff9e0533448f14e5f38bf45046,c0ae8c12bab0dec2daeba84236dfd33601637127e01f81740aa519494ef37100,57e8a3e4b9fcd888a1ff86fbe57c40c5ba9a4c4d73b26dcc80529c3c4467d3cc
"0","10010484","0","0","0","0","1","1","0","57","10010001","0","0"
"1","10010100","0","10010674","0","0","2","1","0","59","10010099","0","0"
"10001","10010101","0","10010099","0","0","11","1","0","58","10010100","0","0"
"0","10010102","0","10010100","0","0","12","1","0","57","10010101","0","0"
"1","10010103","0","10010101","0","0","2","1","0","56","10010102","0","0"
"2","10010104","0","10010102","0","0","2","1","0","55","10010103","0","0"
"0","10010105","0","10010103","0","0","4","1","0","54","10010104","0","0"
"1","10010106","0","10010104","0","0","3","1","0","53","10010105","0","0"
"0","10010107","0","10010105","0","0","12","1","0","52","10010106","0","0"
"0","10010559","0","10010106","0","0","5","1","0","51","10010107","0","0"
"2","10010111","0","10010560","0","0","2","1","0","48","10010110","0","0"
"0","10010561","0","10010110","0","0","6","1","0","47","10010111","0","0"
"3","10010114","0","10010561","0","0","2","1","0","45","10010113","0","0"
"10001","10010562","0","10010113","0","0","11","1","0","44","10010114","0","0"
"0","10010117","0","10010562","0","0","4","1","0","42","10010116","0","0"
"0","10010118","0","10010116","0","0","6","1","0","41","10010117","0","0"
"3","10010563","0","10010117","0","0","3","1","0","40","10010118","0","0"
"10001","10010120","0","10010559","0","0","11","1","0","49","10010119","0","0"
"0","10010121","0","10010119","0","0","4","1","0","48","10010120","0","0"
"3","10010565","0","10010120","0","0","2","1","0","47","10010121","0","0"
"2","10010566","0","10010565","0","0","2","1","0","45","10010123","0","0"
"10003","10010126","0","10010566","0","0","7","1","0","43","10010125","0","0"
"0","10010127","0","10010125","0","0","4","1","0","42","10010126","0","0"
"10001","10010128","0","10010126","0","0","7","1","0","41","10010127","0","0"
"2","10010563","0","10010127","0","0","2","1","0","40","10010128","0","0"
"10001","10010131","0","10010563","0","0","7","1","0","38","10010130","0","0"
"0","10010132","0","10010130","0","0","6","1","0","37","10010131","0","0"
"10001","10010701","10010702","10010131","0","0","11","1","0","36","10010132","0","0"
"0","10010705","0","10010701","0","0","12","1","0","34","10010153","0","0"
"5","10010161","0","10010708","0","0","14","1","0","29","10010158","0","0"
"0","10010162","0","10010158","0","0","4","1","0","28","10010161","0","0"
"2","10010163","0","10010161","0","0","2","1","0","27","10010162","0","0"
"1","10010164","0","10010162","0","0","3","1","0","26","10010163","0","0"
"3","10010165","0","10010163","0","0","14","1","0","25","10010164","0","0"
"10001","10010166","0","10010164","0","0","11","1","0","24","10010165","0","0"
"0","10010167","0","10010165","0","0","12","1","0","23","10010166","0","0"
"2","10010568","0","10010166","0","0","3","1","0","22","10010167","0","0"
"10002","10010570","0","10010568","0","0","7","1","0","20","10010169","0","0"
"2","10010174","0","10010570","0","0","3","1","0","18","10010173","0","0"
"10001","10010175","0","10010173","0","0","7","1","0","17","10010174","0","0"
"0","10010176","0","10010174","0","0","4","1","0","16","10010175","0","0"
"1","10010177","0","10010175","0","0","2","1","0","15","10010176","0","0"
"2","10010178","0","10010176","0","0","2","1","0","14","10010177","0","0"
"2","10010179","0","10010177","0","0","3","1","0","13","10010178","0","0"
"0","10010180","0","10010178","0","0","12","1","0","12","10010179","0","0"
"0","10010181","0","10010179","0","0","6","1","0","11","10010180","0","0"
"0","10010182","0","10010180","0","0","4","1","0","10","10010181","0","0"
"2","10010183","0","10010181","0","0","2","1","0","9","10010182","0","0"
"3","10010184","0","10010182","0","0","2","1","0","8","10010183","0","0"
"3","10010555","0","10010183","0","0","14","1","0","7","10010184","0","0"
"1","10010187","0","10010558","0","0","14","1","0","3","10010186","0","0"
"3","10010188","0","10010186","0","0","3","1","0","2","10010187","0","0"
"2","10010189","0","10010187","0","0","2","1","0","1","10010188","0","0"
"0","10010190","0","10010188","0","0","13","1","0","0","10010189","0","0"
"0","10010191","0","10010189","0","0","12","1","0","60","10010190","0","0"
"0","10010192","0","10010190","0","0","6","1","0","59","10010191","0","0"
"1","10010193","0","10010191","0","0","3","1","0","58","10010192","0","0"
"10001","10010194","0","10010192","0","0","7","1","0","57","10010193","0","0"
"0","10010195","0","10010193","0","0","5","1","0","56","10010194","0","0"
"2","10010196","0","10010194","0","0","3","1","0","55","10010195","0","0"
"10001","10010197","0","10010195","0","0","11","1","0","54","10010196","0","0"
"0","10010198","0","10010196","0","0","4","1","0","53","10010197","0","0"
"1","10010199","0","10010197","0","0","2","1","0","52","10010198","0","0"
"2","10010200","0","10010198","0","0","14","1","0","51","10010199","0","0"
"1","10010201","0","10010199","0","0","2","1","0","50","10010200","0","0"
"1","10010214","10010716","10010200","0","0","3","1","0","49","10010201","0","0"
"0","10010215","0","10010201","0","0","4","1","0","48","10010214","0","0"
"0","10010710","0","10010214","0","0","12","1","0","47","10010215","0","0"
"10001","10010219","0","10010711","0","0","11","1","0","44","10010218","0","0"
"2","10010220","0","10010218","0","0","2","1","0","43","10010219","0","0"
"0","10010221","0","10010219","0","0","4","1","0","42","10010220","0","0"
"2","10010222","0","10010220","0","0","3","1","0","41","10010221","0","0"
"1","10010223","0","10010221","0","0","2","1","0","40","10010222","0","0"
"2","10010224","0","10010222","0","0","2","1","0","39","10010223","0","0"
"0","10010225","0","10010223","0","0","4","1","0","38","10010224","0","0"
"10002","10010226","0","10010224","0","0","7","1","0","37","10010225","0","0"
"10001","10010227","0","10010225","0","0","11","1","0","36","10010226","0","0"
"4","10010228","0","10010226","0","0","14","1","0","35","10010227","0","0"
"0","10010229","0","10010227","0","0","5","1","0","34","10010228","0","0"
"1","10010230","0","10010228","0","0","2","1","0","33","10010229","0","0"
"3","10010231","0","10010229","0","0","14","1","0","32","10010230","0","0"
"0","10010232","0","10010230","0","0","4","1","0","31","10010231","0","0"
"10001","10010233","0","10010231","0","0","7","1","0","30","10010232","0","0"
"0","10010234","10010236","10010232","0","0","6","1","0","29","10010233","0","0"
"10001","10010573","0","10010233","0","0","7","1","0","28","10010234","0","0"
"3","10010237","0","10010233","0","0","2","1","0","28","10010236","0","0"
"2","10010574","0","10010236","0","0","3","1","0","27","10010237","0","0"
"3","10010240","0","10010574","0","0","3","1","0","25","10010239","0","0"
"3","10010241","0","10010239","0","0","2","1","0","24","10010240","0","0"
"0","10010575","0","10010240","0","0","4","1","0","23","10010241","0","0"
"2","10010564","0","10010245","0","0","14","1","0","24","10010244","0","0"
"10003","10010244","0","10010246","0","0","7","1","0","25","10010245","0","0"
"1","10010245","0","10010573","0","0","14","1","0","26","10010246","0","0"
"0","10010248","0","10010575","0","0","4","1","0","21","10010247","0","0"
"10001","10010249","10010250","10010247","0","0","11","1","0","20","10010248","0","0"
"10003","10010253","0","10010248","0","0","7","1","0","19","10010249","0","0"
"0","10010251","0","10010248","0","0","5","1","0","19","10010250","0","0"
"0","10010577","0","10010250","0","0","6","1","0","18","10010251","0","0"
"2","10010576","0","10010249","0","0","3","1","0","18","10010253","0","0"
"5","10010256","0","10010576","0","0","14","1","0","16","10010255","0","10010577"
"2","10010257","0","10010255","0","0","2","1","0","15","10010256","0","0"
"0","10010258","0","10010256","0","0","12","1","0","14","10010257","0","0"
"1","10010259","0","10010257","0","0","2","1","0","13","10010258","0","0"
"10001","10010260","0","10010258","0","0","7","1","0","12","10010259","0","0"
"2","10010261","0","10010259","0","0","2","1","0","11","10010260","0","0"
"10001","10010262","0","10010260","0","0","7","1","0","10","10010261","0","0"
"1","10010263","0","10010261","0","0","3","1","0","9","10010262","0","0"
"10001","10010264","0","10010262","0","0","7","1","0","8","10010263","0","0"
"0","10010719","10010717","10010263","0","0","6","1","0","7","10010264","0","0"
"2","10010273","0","10010719","0","0","3","1","0","5","10010272","0","0"
"10002","10010274","0","10010272","0","0","7","1","0","4","10010273","0","10010721"
"0","10010275","0","10010273","0","0","4","1","0","3","10010274","0","0"
"3","10010276","0","10010274","0","0","2","1","0","2","10010275","0","0"
"3","10010277","0","10010275","0","0","3","1","0","1","10010276","0","0"
"0","10010278","0","10010276","0","0","13","1","0","0","10010277","0","0"
"1","10010279","0","10010277","0","0","2","1","0","60","10010278","0","0"
"2","10010280","0","10010278","0","0","3","1","0","59","10010279","0","0"
"2","10010281","0","10010279","0","0","2","1","0","58","10010280","0","0"
"0","10010282","0","10010280","0","0","5","1","0","57","10010281","0","0"
"10002","10010283","10010285","10010281","0","0","7","1","0","56","10010282","0","0"
"0","10010296","0","10010282","0","0","12","1","0","55","10010283","0","0"
"3","10010695","0","10010282","0","0","2","1","0","61","10010285","0","0"
"10003","10010697","0","10010696","0","0","7","1","0","58","10010287","0","0"
"3","10010291","0","10010697","0","0","14","1","0","56","10010290","0","0"
"3","10010292","0","10010290","0","0","3","1","0","55","10010291","0","0"
"10002","10010699","0","10010291","0","0","7","1","0","54","10010292","0","0"
"2","10010300","0","10010700","0","0","2","1","0","51","10010295","0","0"
"0","10010578","0","10010283","0","0","6","1","0","54","10010296","0","0"
"0","10010300","0","10010723","0","0","4","1","0","51","10010299","0","0"
"0","10010301","0","10010295","0","0","5","1","0","50","10010300","0","10010299"
"1","10010580","0","10010300","0","0","3","1","0","49","10010301","0","0"
"10001","10010305","10010307","10010581","0","0","11","1","0","46","10010304","0","0"
"1","10010306","0","10010304","0","0","2","1","0","45","10010305","0","0"
"1","10010316","0","10010305","0","0","3","1","0","44","10010306","0","0"
"3","10010308","0","10010304","0","0","3","1","0","47","10010307","0","0"
"3","10010583","0","10010307","0","0","2","1","0","46","10010308","0","0"
"10003","10010584","0","10010583","0","0","7","1","0","44","10010310","0","0"
"3","10010582","0","10010584","0","0","2","1","0","42","10010312","0","0"
"0","10010315","0","10010582","0","0","12","1","0","40","10010314","0","0"
"3","10010586","0","10010314","0","0","2","1","0","39","10010315","0","0"
"0","10010317","0","10010306","0","0","4","1","0","43","10010316","0","0"
"2","10010318","0","10010316","0","0","2","1","0","42","10010317","0","0"
"0","10010319","0","10010317","0","0","6","1","0","41","10010318","0","0"
"0","10010320","0","10010318","0","0","4","1","0","40","10010319","0","0"
"10001","10010586","0","10010319","0","0","7","1","0","39","10010320","0","0"
"2","10010323","0","10010586","0","0","3","1","0","37","10010322","0","0"
"0","10010324","0","10010322","0","0","4","1","0","36","10010323","0","0"
"0","10010325","0","10010323","0","0","6","1","0","35","10010324","0","0"
"2","10010326","0","10010324","0","0","2","1","0","34","10010325","0","0"
"3","10010327","0","10010325","0","0","14","1","0","33","10010326","0","0"
"10001","10010328","0","10010326","0","0","7","1","0","32","10010327","0","0"
"4","10010329","0","10010327","0","0","14","1","0","31","10010328","0","0"
"0","10010330","0","10010328","0","0","4","1","0","30","10010329","0","0"
"0","10010587","0","10010329","0","0","12","1","0","29","10010330","0","0"
"0","10010333","0","10010587","0","0","5","1","0","27","10010332","0","0"
"10001","10010334","0","10010332","0","0","7","1","0","26","10010333","0","0"
"2","10010335","0","10010333","0","0","3","1","0","25","10010334","0","0"
"1","10010588","0","10010334","0","0","2","1","0","24","10010335","0","0"
"0","10010338","0","10010588","0","0","4","1","0","22","10010337","0","0"
"10001","10010339","0","10010337","0","0","11","1","0","21","10010338","0","0"
"0","10010340","0","10010338","0","0","6","1","0","20","10010339","0","0"
"2","10010341","0","10010339","0","0","2","1","0","19","10010340","0","0"
"1","10010342","0","10010340","0","0","3","1","0","18","10010341","0","0"
"0","10010343","10010355","10010341","0","0","5","1","0","17","10010342","0","0"
"1","10010344","0","10010342","0","0","3","1","0","16","10010343","0","0"
"10002","10010589","0","10010343","0","0","7","1","0","15","10010344","0","0"
"2","10010347","0","10010589","0","0","2","1","0","13","10010346","0","0"
"10001","10010348","0","10010346","0","0","7","1","0","12","10010347","0","0"
"3","10010349","0","10010347","0","0","3","1","0","11","10010348","0","0"
