1067583e3097d86f1e2de3506da89690f1153ff8d4a57d5b696689a80f208ddc,a714f61c4d580e67e1e7da1bf47ddbd4f248aec89d0fe91d29adaf83e1fd0998,fc16413412649184e44c33193969137aa2952c91e270c1c6fdefa52d1c93f8b3,7493f122c74b3335b046d5b7e5f2c3848be12e34dd9f1a20a2c6dd7ff36400ca,445b7c9941aa9fe7c8c390e61ee071f5e6a986b323469f20b1282bd34556cfc0,07d52d578d61b93d4f04f7b3337e6379ad41d05cb45bcc44a4021807d13222a3,e1a05fc1afb84e53c0edfe9fcfed560765dc21a381f944f4901cdd99c0d46c4e,8e20257e13defff1ea229f984eaeafe897212db7fce61f1b1f8163b8bdaf8acc,7c7446b22fdb3bce03d504e43163b43cdb9991867c3eb8e9da24d383ca24b17c,0f6d985a45e2d1236cad1420dfa26505c15c4ab494f61680e557d69af6d1f4b5,0dae41f1015d5a7811ceb531ed09f4b5e6824731e992b120eaa8053a9d0d78ba,ba4ec98edb90b693d2558ced5644785d366d7f424af421e6594239e4644966f0,5f164e70a1701a0fdd0fbe2054a798a690fb008fae16793975cd61a4aea3c7d1,8b484f35eb99dbeb032dffd84b7a6c95294e7fb5e58b3131c13502203c9b29fc,d10ba5df86578d3165c71076a68eb94d90c32e43b0d5ae49649c89911d9c6e23,0284433f4e4a164fc75fef9d8c8a367fc8e966e1fa4f67186d85f24702443fd7
"81020102","0","90","0","10201","10201101","5201004","前篇Boss戰（SCENARIO）","1","113001","103613","90","bgm_MC223","610201101","bgm_MC223","5201301"
"81020103","2025/06/07 16:00:00","90","0","10201","10201151","5201009","後篇Boss戰（SCENARIO）","1","113001","81020101","90","bgm_MC224","610201151","bgm_MC224","5201311"
"103613","0","90","10201101","10201","10201201","0","前篇Boss戰（SPECIAL）","2","114001","103613","255","bgm_MC223","0","bgm_MC223","0"
"81020104","2025/06/07 16:00:00","90","10201151","10201","10201251","0","後篇Boss戰（SPECIAL）","2","114001","81020101","255","bgm_MC224","0","bgm_MC224","0"
"103613","0","90","10201201","10201","10201501","0","前篇Boss戰（SPECIAL+）","3","115001","103613","331","bgm_MC223","0","bgm_MC223","0"
"81020104","2025/06/07 16:00:00","90","10201251","10201","10201551","0","後篇Boss戰（SPECIAL+）","3","115001","81020101","331","bgm_MC224","0","bgm_MC224","0"
"81020201","0","90","0","10202","10202101","5202006","Boss戰（SCENARIO）","1","113001","102370","90","bgm_MC228","610202101","bgm_MC228","5202301"
"102370","0","90","10202101","10202","10202201","0","Boss戰（SPECIAL）","2","114001","102370","255","bgm_MC228","0","bgm_MC228","0"
"102370","0","90","10202201","10202","10202501","0","Boss戰（SPECIAL＋）","3","115001","102370","334","bgm_MC228","0","bgm_MC228","0"
"81020301","0","90","0","10203","10203101","5203006","Boss戰（SCENARIO）","1","113001","81020301","90","bgm_MC236","610203101","bgm_MC236","5203301"
"81020301","0","90","10203101","10203","10203201","0","Boss戰（SPECIAL）","2","114001","81020301","255","bgm_MC236","0","bgm_MC236","0"
"81020301","0","90","10203201","10203","10203501","0","Boss戰（SPECIAL＋）","3","115001","81020301","337","bgm_MC236","0","bgm_MC236","0"
