a0436d5be4b70b816276e29ba337a6d1aa4989f4672fabca02bd91edee5f896e,c190f4a172840c47e6d41d8edbc625d3c1e3f05507d9ed9bde8c789a1cca31b7,c98e7816d2b24ab39317d88427deefb3d8c13256645faf2f65927ab6266bde35
"101","1","50183"
"102","2","50183"
"103","3","50183"
"104","4","50183"
"1","5","50183"
"2","6","50183"
"3","7","50183"
"4","8","50183"
"5","9","50183"
"6","10","50183"
"105","1","50217"
"101","2","50217"
"102","3","50217"
"103","4","50217"
"104","5","50217"
"1","6","50217"
"2","7","50217"
"3","8","50217"
"4","9","50217"
"5","10","50217"
"6","11","50217"
"105","1","50248"
"101","2","50248"
"102","3","50248"
"103","4","50248"
"104","5","50248"
"1","6","50248"
"2","7","50248"
"3","8","50248"
"4","9","50248"
"5","10","50248"
"6","11","50248"
"105","1","50278"
"101","2","50278"
"102","3","50278"
"103","4","50278"
"104","5","50278"
"1","6","50278"
"2","7","50278"
"3","8","50278"
"4","9","50278"
"5","10","50278"
"6","11","50278"
"105","1","50309"
"101","2","50309"
"102","3","50309"
"103","4","50309"
"104","5","50309"
"1","6","50309"
"2","7","50309"
"3","8","50309"
"4","9","50309"
"5","10","50309"
"6","11","50309"
"104","1","50341"
"105","2","50341"
"101","3","50341"
"102","4","50341"
"103","5","50341"
"1","6","50341"
"2","7","50341"
"3","8","50341"
"4","9","50341"
"5","10","50341"
"6","11","50341"
"105","1","50375"
"101","2","50375"
"102","3","50375"
"103","4","50375"
"104","5","50375"
"1","6","50375"
"2","7","50375"
"3","8","50375"
"4","9","50375"
"5","10","50375"
"6","11","50375"
