30d6ff83ea5c779f6245da29bc44ccfa12d702b5096b0ce0423b1e70588bb5c5,463a292ef96dc8251867f4d6492c42bd3b9009781476ec77737f02099cdec298,50f34be191dfbf53b4bd45981d9bf79ba10bcd3b2b23d2904e5a03065356b9ec,2d0442a0f846e7ad9279fa63225c9724677221582a293e1238f01b8a40158bbd,18a0b54b3d753a1d77f0e56e0b3f1a0dc1ad414038663a69d29960673faf5774
"94002","12","10000101","100001011","150000"
"22003","2","10000101","100001012","6"
"94002","12","10000102","100001021","500000"
"22003","2","10000102","100001022","6"
"94002","12","10000103","100001031","500000"
"140001","4","10000103","100001032","3"
"25001","2","10000103","100001033","3"
"94002","12","10000104","100001041","500000"
"22003","2","10000104","100001042","6"
"94002","12","10000105","100001051","500000"
"140001","4","10000105","100001052","4"
"25001","2","10000105","100001053","4"
"94002","12","10000106","100001061","500000"
"22003","2","10000106","100001062","6"
"94002","12","10000107","100001071","500000"
"140001","4","10000107","100001072","4"
"25001","2","10000107","100001073","4"
"94002","12","10000108","100001081","500000"
"22003","2","10000108","100001082","6"
"94002","12","10000109","100001091","500000"
"140001","4","10000109","100001092","4"
"25001","2","10000109","100001093","4"
"94002","12","10050501","100505011","120000"
"22003","2","10050501","100505012","3"
"94002","12","10050502","100505021","120000"
"22003","2","10050502","100505022","4"
"94002","12","10050503","100505031","120000"
"22003","2","10050503","100505032","4"
"94002","12","10050511","100505111","120000"
"22003","2","10050511","100505112","3"
"94002","12","10050512","100505121","160000"
"22003","2","10050512","100505122","4"
"94002","12","10060601","100606011","120000"
"22003","2","10060601","100606012","3"
"94002","12","10060602","100606021","120000"
"22003","2","10060602","100606022","4"
"94002","12","10060603","100606031","120000"
"22003","2","10060603","100606032","4"
"94002","12","10060611","100606111","120000"
"22003","2","10060611","100606112","3"
"94002","12","10060612","100606121","160000"
"22003","2","10060612","100606122","4"
"94002","12","10070701","100707011","120000"
"22003","2","10070701","100707012","3"
"94002","12","10070702","100707021","120000"
"22003","2","10070702","100707022","4"
"94002","12","10070703","100707031","120000"
"22003","2","10070703","100707032","4"
"94002","12","10070711","100707111","120000"
"22003","2","10070711","100707112","3"
"94002","12","10070712","100707121","160000"
"22003","2","10070712","100707122","4"
"94002","12","10080801","100808011","120000"
"22003","2","10080801","100808012","3"
"94002","12","10080802","100808021","120000"
"22003","2","10080802","100808022","4"
"94002","12","10080803","100808031","120000"
"22003","2","10080803","100808032","4"
"94002","12","10080811","100808111","120000"
"22003","2","10080811","100808112","3"
"94002","12","10080812","100808121","160000"
"22003","2","10080812","100808122","4"
