d54fb8275b6219e3470b4ab35a5a0e96644db3558bdf6ea7f5a47e3ddce83524,f810d85139a941fb16975a3accc8a070b2e0e5453041302046b50cc2f2097e7d,95512864221ab4b1e33267d9daf3a5038f1a141450d3859e10b0f660a77168fd,9a5acf53eb25949009449d9e51e49b50102e92275851ccc78325a9d884746890,2e491c8d4e182793221811847c99014457e1bfc19c261f807f485061c42cb31a,d79cd43540e78879cc7322b3e8b426b5f25a3dd390c2dd0346185c2dbc474423,d53dc6b6c1cca7a7c48fb6cc847e2b8e3e636ebbeff13accf4c3bf3039704fac
"5126700","50000","2500","取得累積分數2500分","94002","1","12"
"0","50000","5000","取得累積分數5000分","94002","1","12"
"0","50000","7500","取得累積分數7500分","94002","1","12"
"5126701","1","10000","取得累積分數10000分","2839","1","7"
"0","80000","12500","取得累積分數12500分","94002","1","12"
"0","80000","15000","取得累積分數15000分","94002","1","12"
"0","80000","17500","取得累積分數17500分","94002","1","12"
"5126702","25","20000","取得累積分數20000分","91002","1","8"
"0","100000","22500","取得累積分數22500分","94002","1","12"
"0","100000","25000","取得累積分數25000分","94002","1","12"
"0","100","27500","取得累積分數27500分","91002","1","8"
"5126703","1","30000","取得累積分數30000分","11001262","1","15"
"5126710","50000","2500","取得累積分數2500分","94002","2","12"
"0","50000","5000","取得累積分數5000分","94002","2","12"
"0","50000","7500","取得累積分數7500分","94002","2","12"
"5126711","1","10000","取得累積分數10000分","2840","2","7"
"0","80000","12500","取得累積分數12500分","94002","2","12"
"0","80000","15000","取得累積分數15000分","94002","2","12"
"0","80000","17500","取得累積分數17500分","94002","2","12"
"5126712","25","20000","取得累積分數20000分","91002","2","8"
"0","100000","22500","取得累積分數22500分","94002","2","12"
"0","100000","25000","取得累積分數25000分","94002","2","12"
"0","100","27500","取得累積分數27500分","91002","2","8"
"5126713","1","30000","取得累積分數30000分","11001263","2","15"
