d3811e5e7767f6ecb05fa65a874110c0e9fe65fef3bed2973eb1e16b93c3de9b,9a7ba938b21308f92b3f34133078cdb81d6362a294d36a784e348fa6c461729f,8ea8f8525842a2ac7331c8eb4d244de8174c11113fb9494fe7a8afafb931a198,14e55d2b5b0bee56a3c5f0c4db519e1fb3435547dfe892bfaf4f6b7d8debb9f8,4589e18058304be9304c015d6e80fdeeb7605995765c5f7e7ccb64a508edbf3c,d9b493bde4827e50851adc3a923ea75944c8c88e0a852a29724836e847d3e72e,d272fd3d05a7d5e3334b5b152f2ec7cfe379be25056c3b3f9e2091d552b77e65,89627e0929a8ff2bc21f7ae4951d5df168b8ce21a1231c138790891feb8bd783,4be16847c9f3debe6c4fab555456cd3c0b12b194e98cbbd0fbb21f0bbcf45dfb,615e2028e0ef9a0a56955f25292bff8c4f32e8998587d2e262846a338fea1d69,861ed425c780e80b01f9ec9d5f5a7b9364052d50beea80fc3ff1897a343725e6,abb1286915050144682ba818bd709d63b1e2199293c3d2da04a56e70766fd54c
"1","1","1","100","13","1","-1","1","-1","1","3","100101"
"1","1","1","130","15","1","-1","1","-1","1","4","100201"
"1","1","1","160","17","1","-1","1","-1","1","4","100301"
"1","1","1","180","19","1","-1","1","120","1","4","100401"
"1","1","1","180","19","1","-1","1","-1","1","4","100402"
"1","1","1","200","21","1","-1","1","150","1","4","100501"
"1","1","1","200","21","1","-1","1","-1","1","4","100502"
"1","1","1","220","23","1","-1","1","180","1","5","100601"
"1","1","1","220","23","1","-1","1","-1","1","5","100602"
"1","1","1","240","25","1","-1","1","210","1","5","100701"
"1","1","1","240","25","1","-1","1","-1","1","5","100702"
"1","1","1","260","27","1","-1","1","240","1","5","100801"
"1","1","1","260","27","1","-1","1","-1","1","5","100802"
"1","1","1","280","29","1","-1","1","270","1","5","100901"
"1","1","1","280","29","1","-1","1","-1","1","5","100902"
"1","1","1","300","32","1","1","1","300","1","6","101001"
"1","1","1","300","32","1","-1","1","300","1","6","101002"
"1","1","1","300","32","1","-1","1","-1","1","6","101003"
"1","1","1","300","32","1","1","1","300","1","5","101004"
"1","1","1","300","32","1","-1","1","300","1","5","101005"
"1","1","1","300","32","1","-1","1","-1","1","5","101006"
"1","1","1","310","32","1","1","1","300","1","6","101101"
"1","1","1","310","32","1","-1","1","300","1","6","101102"
"1","1","1","310","32","1","-1","1","-1","1","6","101103"
"1","1","1","310","32","1","1","1","300","1","5","101104"
"1","1","1","310","32","1","-1","1","300","1","5","101105"
"1","1","1","310","32","1","-1","1","-1","1","5","101106"
"1","1","1","320","32","1","1","1","300","1","6","101201"
"1","1","1","320","32","1","-1","1","300","1","6","101202"
"1","1","1","320","32","1","-1","1","-1","1","6","101203"
"1","1","1","320","32","1","1","1","300","1","5","101204"
"1","1","1","320","32","1","-1","1","300","1","5","101205"
"1","1","1","320","32","1","-1","1","-1","1","5","101206"
"1","1","1","330","32","1","3","1","300","1","6","101301"
"1","1","1","330","32","1","-1","1","300","1","6","101302"
"1","1","1","330","32","1","-1","1","-1","1","6","101303"
"1","1","1","330","32","1","3","1","300","1","5","101304"
"1","1","1","330","32","1","-1","1","300","1","5","101305"
"1","1","1","330","32","1","-1","1","-1","1","5","101306"
"1","1","1","340","32","1","3","1","300","1","6","101401"
"1","1","1","340","32","1","-1","1","300","1","6","101402"
"1","1","1","340","32","1","-1","1","-1","1","6","101403"
"1","1","1","340","32","1","3","1","300","1","5","101404"
"1","1","1","340","32","1","-1","1","300","1","5","101405"
"1","1","1","340","32","1","-1","1","-1","1","5","101406"
"1","1","1","350","32","1","3","1","300","1","6","101501"
"1","1","1","350","32","1","-1","1","300","1","6","101502"
"1","1","1","350","32","1","-1","1","-1","1","6","101503"
"1","1","1","350","32","1","3","1","300","1","5","101504"
"1","1","1","350","32","1","-1","1","300","1","5","101505"
"1","1","1","350","32","1","-1","1","-1","1","5","101506"
"1","1","1","360","32","1","5","1","310","1","6","101601"
"1","1","1","360","32","1","-1","1","310","1","6","101602"
"1","1","1","360","32","1","-1","1","-1","1","6","101603"
"1","1","1","360","32","1","5","1","310","1","5","101604"
"1","1","1","360","32","1","-1","1","310","1","5","101605"
"1","1","1","360","32","1","-1","1","-1","1","5","101606"
"1","1","1","380","32","1","5","1","310","1","6","101701"
