2ff8943a93d28af318826c863474db593d21bdda0ea20bed35c6bde56c4697ef,670675cb227e8632f7a40dc5675d4ccdde635afea5d94b8b1b17a06dbe6cb479,5937db0fda552fb0b29f6e557b8ab662539e5b6ee9a6aa9af8ea824301370727,a68cb91adf8170ae296e7943f81c6da0766e6d1ce866cc7d410690f13c56222e,fb72aff58f321f4973f5d0e42702f9e2fa7eaa2e90269fb8a4ed9b2ba44251c5,d7c9b2a5bd471c4840dd06cb271fcfbf2fac894d83dcb9097cbe42ced8d92b08,6a72507e9d8f4dff06aaa53374a03384c485c0157c22fe4da30350bf03d36b17
"10","2500","101","獲得累積分數2500分","1","8","91002"
"10","5000","102","獲得累積分數5000分","1","8","91002"
"10","10000","103","獲得累積分數10000分","1","8","91002"
"10","12500","104","獲得累積分數12500分","1","8","91002"
"10","15000","105","獲得累積分數15000分","1","8","91002"
"10","20000","106","獲得累積分數20000分","1","8","91002"
"10","25000","107","獲得累積分數25000分","1","8","91002"
"10","30000","108","獲得累積分數30000分","1","8","91002"
"10","35000","109","取得累積分數35000分","1","8","91002"
"10","40000","110","取得累積分數40000分","1","8","91002"
"10","45000","111","取得累積分數45000分","1","8","91002"
"1","50000","112","取得累積分數50000分","1","15","11001302"
"10","2500","201","獲得累積分數2500分","2","8","91002"
"10","5000","202","獲得累積分數5000分","2","8","91002"
"10","10000","203","獲得累積分數10000分","2","8","91002"
"10","12500","204","獲得累積分數12500分","2","8","91002"
"10","15000","205","獲得累積分數15000分","2","8","91002"
"10","20000","206","獲得累積分數20000分","2","8","91002"
"10","25000","207","獲得累積分數25000分","2","8","91002"
"10","30000","208","獲得累積分數30000分","2","8","91002"
"10","35000","209","取得累積分數35000分","2","8","91002"
"10","40000","210","取得累積分數40000分","2","8","91002"
"10","45000","211","取得累積分數45000分","2","8","91002"
"1","50000","212","取得累積分數50000分","2","15","11001303"
