e21b4e931b6933dcd818cac55570d6616ae9a20643f7db962c99b0f22358289c,218a4c98180a91dc592a66fbe33e823fed2e343fd3d63c05a4889a110af85221,1e958e3583ab38210607306b8939dbf1ff377ca20a679957894485a54150e8bc,9ea5fda05bdb119a37535f3646a3b7b86f654caba116b33d5422d34758d0b62d,6a528615f8675f9efe968074855e7cee33941bec7ee22624a798483264e5e96c
"2021/08/20 15:59:59","27001","519","27003","2021/08/02 16:00:00"
"2022/02/22 15:59:59","27001","550","27004","2022/02/01 16:00:00"
"2022/05/23 15:59:59","27001","571","27005","2022/05/02 16:00:00"
"2022/08/20 15:59:59","27005","572","27006","2022/08/01 16:00:00"
"2023/02/10 15:59:59","27001","575","27007","2023/01/20 16:00:00"
"2023/05/26 15:59:59","27001","609","27008","2023/05/11 16:00:00"
"2023/08/20 15:59:59","27005","616","27009","2023/08/01 16:00:00"
"2023/09/26 15:59:59","27009","626","27010","2023/09/01 16:00:00"
"2024/02/25 15:59:59","27001","632","27011","2024/02/07 16:00:00"
"2024/05/22 15:59:59","27012","641","27013","2024/05/01 16:00:00"
"2024/09/03 15:59:59","27005","649","27014","2024/08/15 16:00:00"
"2024/10/31 23:59:59","27012","656","27015","2024/10/01 00:00:00"
"2025/02/27 23:59:59","27012","664","27016","2025/02/01 00:00:00"
"2025/05/25 23:59:59","27012","674","27018","2025/05/01 00:00:00"
"2025/08/19 23:59:59","27018","698","27019","2025/08/01 00:00:00"
"2025/08/19 23:59:59","27012","697","27020","2025/08/01 00:00:00"
"2025/10/31 23:59:59","27012","719","27021","2025/10/01 00:00:00"
"2026/02/27 23:59:59","27012","737","27024","2026/02/01 00:00:00"
