53e05fcff736f8f6f5fd1773f24cb06ff01cdaf2259b6e73df3cfe1bafd834f4,45ecb9c184a66e0cc0e886fdb3816b61a1b2d086bfe12598b78eaf5b716fedc1,91b8b03caba95a4e38d406c5ec691786b1a8642d0e68159a5cb821430955c68e,9126c67538dfbd313f4e9041247d8487c172cf20ae8619207a6a297551da9a79,2c6d7a216bd6083f9a0ea7fe7368cc135b4c796382580c8b100a4037d4cbcbbb,06b6895021af8c46e1b9564ccf33a696b60f7f898168c97b4a8c7177ce037122,d2232e5ed9139b9783e2eff32bc9f84c7cf90fe9ac66b45c3ad8b2893e34f035,5c346df5e8284bb59b1f62596ddb5212b266d836860ea1eb07e6102776d4c07c,929c19b102d42aa46e98981fc624fffba06b5cc89ee5d6f1d6f1cb9a1c3e6c77,959ff0b0f497e1c5d0bea2b156d04b644f76270c63d6c785cda995214181c765,c621583f77c2c0aaffb601f66e7629495a213a9460b6cc40f29fc3d431bc68f3
"101","11010001","","","","","se_10053800","23","","se_fpc_water_random",""
"101","11010002","-850","cmn_swm_tread","1.75","-180","1","1","23","<unit_id>","0"
"101","11010003","-850","cmn_swm_tread_pink","1.75","-180","1","5","22","1","0"
"101","11010004","-180","","1","1","3","31","-850","3",""
"101","11010005","","","","","0","91","","0",""
"101","11010006","10","","","","<unit_id>","2","-180","850",""
"101","11010007","10","","","","1","2","-180","850",""
"101","11010008","10","","","","3","33","-180","850",""
"102","11020001","","","","","se_10053800","23","","se_fpc_water_random",""
"102","11020002","-850","cmn_swm_tread","1.75","-180","1","1","23","<unit_id>","0"
"102","11020003","-850","cmn_swm_tread_blue","1.75","-180","1","5","22","1","0"
"102","11020004","-180","","1","1","3","31","-850","3",""
"102","11020005","","","","","0","91","","0",""
"102","11020006","10","","","","<unit_id>","2","-180","850",""
"102","11020007","10","","","","1","2","-180","850",""
"102","11020008","10","","","","3","33","-180","850",""
"103","11030001","","","","","se_10053800","23","","se_fpc_water_random",""
"103","11030002","-850","cmn_swm_tread","1.75","-180","1","1","23","<unit_id>","0"
"103","11030003","-850","cmn_swm_tread","1.75","-180","1","5","22","1","0"
"103","11030004","-180","","1","1","3","31","-850","3",""
"103","11030005","","","","","0","91","","0",""
"103","11030006","10","","","","<unit_id>","2","-180","850",""
"103","11030007","10","","","","1","2","-180","850",""
"103","11030008","10","","","","3","33","-180","850",""
"151","11510001","","","","","se_10053800","23","","se_fpc_water_random",""
"151","11510002","-850","cmn_swm_flutterKick","1.75","-180","1","1","22","<unit_id>","0"
"151","11510003","-180","","1","1","1","31","-850","1",""
"151","11510004","","","","","0","91","","0",""
"151","11510005","10","","","","<unit_id>","2","-180","1050",""
"151","11510006","10","","","","1","33","-180","1050",""
"201","12010001","","","","","se_10053800","23","","se_fpc_water_random",""
"201","12010002","-850","cmn_swm_breastStroke","1.75","-180","1","1","22","<unit_id>","0"
"201","12010003","-180","","1","1","2","31","-850","2",""
"201","12010004","","","","","0","91","","0",""
"201","12010005","10","","","","<unit_id>","2","-180","850",""
"201","12010006","10","","","","2","33","-180","850",""
"251","12510001","","","","","se_10053800","23","","se_fpc_water_random",""
"251","12510002","-850","cmn_swm_diving","1.75","-180","1","1","22","<unit_id>","0"
"251","12510003","-180","","1","1","9","31","-850","9",""
"251","12510004","","","","","0","91","","0",""
"251","12510005","10","","","","<unit_id>","2","-180","850",""
"251","12510006","10","","","","9","33","-180","850",""
"301","13010001","","","","","se_10053800","23","","se_fpc_water_random",""
"301","13010002","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","1","23","<unit_id>","0"
"301","13010003","-850","cmn_swm_flutterKick_floatRing_pink","1.75","-180","1","5","22","1","0"
"301","13010004","-180","","1","1","1","31","-850","1",""
"301","13010005","","","","","0","91","","0",""
"301","13010006","10","","","","<unit_id>","2","-180","1050",""
"301","13010007","10","","","","1","2","-180","1050",""
"301","13010008","10","","","","1","33","-180","1050",""
"302","13020001","","","","","se_10053800","23","","se_fpc_water_random",""
"302","13020002","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","1","23","<unit_id>","0"
"302","13020003","-850","cmn_swm_flutterKick_floatRing_blue","1.75","-180","1","5","22","1","0"
"302","13020004","-180","","1","1","1","31","-850","1",""
"302","13020005","","","","","0","91","","0",""
"302","13020006","10","","","","<unit_id>","2","-180","1050",""
"302","13020007","10","","","","1","2","-180","1050",""
"302","13020008","10","","","","1","33","-180","1050",""
"303","13030001","","","","","se_10053800","23","","se_fpc_water_random",""
"303","13030002","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","1","23","<unit_id>","0"
"303","13030003","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","5","22","1","0"
"303","13030004","-180","","1","1","1","31","-850","1",""
"303","13030005","","","","","0","91","","0",""
"303","13030006","10","","","","<unit_id>","2","-180","1050",""
"303","13030007","10","","","","1","2","-180","1050",""
"303","13030008","10","","","","1","33","-180","1050",""
"351","13510001","","","","","se_10053800","23","","se_fpc_water_random",""
"351","13510002","-850","cmn_swm_flutterKick_floatRing","1.75","-180","1","1","23","<unit_id>","0"
"351","13510003","-850","cmn_swm_flutterKick_floatBoad","1.75","-180","1","5","22","1","0"
"351","13510004","-180","","1","1","1","31","-850","1",""
"351","13510005","","","","","0","91","","0",""
"351","13510006","10","","","","<unit_id>","2","-180","1050",""
"351","13510007","10","","","","1","2","-180","1050",""
"351","13510008","10","","","","1","33","-180","1050",""
"352","13520001","","","","","se_10053800","23","","se_fpc_water_random",""
