ad176024bb62fcaf2cfd804d49f2af1ef6001c051af550aa816c595cb41c70ae,ee2dfce9721d501addb28d80f6b7c688426d49e2d649f1c0455f0a48b06e30fb,cb972396f8521f9e32b8174ea534da29833bc65e531f23d07a36dd1f8f732af7,8394ff6238160c361f43b3b696992a30e903f131756b960a8130de48bb39ec7c,41be4746ead85366cc202542df7a3178c9c06e622bfa42bdd3bff5774c550e35,fdc846176de0386797a724cd03e7c1a29558dd8db22a2cc56b19538aeb5a0106,110fc015e2f4dd9d3c1ab33f3df11221ee9b63dad8da52f95bb7f44bbc616607,e7a4079b1b11d5d0f3f22f5257bf63786a2ad024e7230448d489598329d7fe42
"2015/12/17 15:00:00","bgm_M61","bgm_M61","1.朱諾平原","101","11001","1.朱諾平原","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M61_02","bgm_M61","2.帕拉斯高原","101","11002","2.帕拉斯高原","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M61_03","bgm_M61","3.赫柏丘陵","101","11003","3.赫柏丘陵","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M61_04","bgm_M61","4.維斯塔溪谷","101","11004","4.維斯塔溪谷","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M62_01","bgm_M62","5.刻瑞斯森林","101","11005","5.刻瑞斯森林","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M62_02","bgm_M62","6.佛洛拉湖畔","101","11006","6.佛洛拉湖畔","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M62_03","bgm_M62","7.墨提斯大瀑布","101","11007","7.墨提斯大瀑布","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M42_02","bgm_M42","8.伊麗絲樹海","101","11008","8.伊麗絲樹海","2030/12/17 14:59:59"
"2015/12/17 15:00:00","bgm_M58","bgm_M58","9.弗麗嘉雪原","101","11009","9.弗麗嘉雪原","2030/12/17 14:59:59"
"2018/10/05 16:00:00","bgm_M101","bgm_M101","10.洛麗泰海岸","101","11010","10.洛麗泰海岸","2030/12/17 14:59:59"
