917b73b95552b2ccb4a69b553ee58b3ddb6dc10de833a29dda207859c3c1a210,a2b54438cd9508dcd3664930092125fa1073ec0051e6d02c63d9c44644703e27,c4e9849ee53e751b4cc8484433a34a7c6ba6025c78c89151329dd083ebb490ff
"31012","20001","31038"
"31020","20002","31004"
"31010","20003","31017"
"31076","20004","31028"
"31080","20005","31032"
"31047","20006","31034"
"31082","20007","31022"
"31009","20008","31051"
"31085","20009","31029"
"31089","20010","31002"
"31090","20011","31011"
"31043","20012","31008"
"31093","20013","31018"
"31053","20014","31045"
"31101","20015","31050"
"31105","20016","31014"
"31056","20017","31040"
"31112","20018","31036"
"31037","20019","31005"
"31116","20020","31044"
"31121","20021","31021"
"31123","20022","31049"
"31107","20023","31046"
"31028","20024","31033"
"31130","20025","31065"
"31132","20026","31027"
"31135","20027","31023"
"31016","20028","31013"
"31141","20029","31054"
"31014","20030","31037"
"31146","20031","31048"
"31147","20032","31060"
"31156","20033","31003"
"31156","20034","31003"
"31158","20035","31010"
"31032","20036","31031"
"31065","20037","31015"
"31168","20038","31040"
"31018","20039","31050"
"31174","20040","31109"
"31096","20041","31051"
"31178","20042","31047"
"31053","20043","31055"
"31192","20044","31006"
"31208","20045","31044"
"31059","20046","31060"
"31212","20047","31058"
"31128","20048","31026"
"31065","20049","31046"
"31014","20050","31031"
"31221","20051","31034"
"31224","20052","31002"
"31228","20053","31036"
"31010","20054","31023"
"31235","20055","31013"
"31037","20056","31005"
"31241","20057","31047"
"31247","20058","31066"
"31249","20059","31029"
"31249","20060","31042"
"31053","20061","31046"
"31012","20062","31038"
"31257","20063","31057"
"31044","20064","31008"
"31267","20065","31048"
"31270","20066","31031"
"31288","20067","31002"
"31288","20068","31001"
"31011","20069","31060"
"31056","20070","31042"
