3629a4e6b4600be2edb629b685e165598f5ebb5019b82d9f3f7fa01b4d29dba2,9e705d0a42bf769dc12ff19b3a9cdb192c2cf25632591e66d50c344ee4ba4230,fc0b2a1e48d8b44d948fbe81c9fb37a33ed18a398df5dec18d082ff5e19de92d,81e00ea312fbc27fdc60a1dd15b976ff200db81df9021977285aca859a364cb0,d2130ad12b1fbb0baa31a82a48a6a7f6762958c8d565d1e5b400377e6cf00140,be7b5f495685a35281c3675aaa500281a2764d5d543abb2c5ffcf7e582f13c5f,203a03fb00fefcea1e9f98007bf78a83b42b6c0cde72a35c93e91f9e9c0cb480,0a7bfbcc1c6c03b56f76bd0f0fd5a01c9bf4bc90f65b4459ae65a5c4bd5d3ba5,67a603451dd91042122c9f174c49cbc277e7d43db3216fff9e4bbc31127ebc76,1df6bc84a7027cb3bd9dcca5117a0beab51cb7c061618d94d248c9b78e4eb1f8,d63a16e1de3af1bf5eed34c7d491199ff2fc2d199db3705306fd2d23ba548000
"1010001","omp_talk_worry","1.8","1","-140","1","1","112511","-190","1500","0"
"1010002","omp_idle_normal","1.8","1","140","1","1","112411","-190","1500","1"
"1010003","","1","31","0","1","1","1","1","0",""
"1010004","","","93","","1","1","","","",""
"1010005","","","21","0","vo_omp_7001","1","vo_omp_7001_000","","0",""
"1010006","","","11","1","112511","1","卯月，還好嗎？\n連日在外露營會不會累？","1","10",""
"1010007","","","91","","0","1","","","",""
"1010008","","0","3","","112511","1","omp_idle_worry","","1",""
"1010009","","0","3","","112411","1","omp_talk_joy1","","1",""
"1010010","","","21","0","vo_omp_7001","1","vo_omp_7001_001","","0",""
"1010011","","","11","1","112411","1","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。","1","10",""
"1010012","","","91","","0","1","","","",""
"1010013","","0","3","","112411","1","omp_psn_20","","1",""
"1010014","","0","3","","112511","1","omp_talk_normal","","1",""
"1010015","","","21","0","vo_omp_7001","1","vo_omp_7001_002","","0",""
"1010016","","","11","1","112511","1","這樣啊，\n卯月妳好像無論何時都很開心呢。","1","10",""
"1010017","","","91","","0","1","","","",""
"1010018","","0","3","","112511","1","omp_idle_normal","","1",""
"1010019","","0","3","","112411","1","omp_talk_sad","","1",""
"1010020","","","21","0","vo_omp_7001","1","vo_omp_7001_003","","0",""
"1010021","","","11","1","112411","1","難道說……\n小凜妳不開心嗎？","1","10",""
"1010022","","","91","","0","1","","","",""
"1010023","","0","3","","112411","1","omp_idle_sad","","1",""
"1010024","","0","3","omp_idle_surprise1","112511","1","omp_surprise","1","0","0.1"
"1010025","","","21","0","vo_omp_7001","1","vo_omp_7001_004","","0",""
"1010026","","","11","1","112511","1","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","1","10",""
"1010027","","","93","","2.5","1","1","","",""
"1010028","","0.2","3","","112511","1","omp_talk_normal","","1",""
"1010029","","","91","","1010026","1","","","",""
"1010030","","0","3","","112511","1","omp_idle_normal","","1",""
"1010031","","0","3","","112411","1","omp_talk_joy2","","1",""
"1010032","","","21","0","vo_omp_7001","1","vo_omp_7001_005","","0",""
"1010033","","","11","1","112411","1","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","1","10",""
"1010034","","","91","","0","1","","","",""
"1010035","","","4","","112511","1","0","","1",""
"1010036","","0","3","","112411","1","omp_psn_20","","1",""
"1010037","","0","3","","112511","1","omp_idle_normal","","1",""
"1010038","","","21","0","vo_omp_7001","1","vo_omp_7001_006","","0",""
"1010039","","","11","1","112511","1","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","1","10",""
"1010040","","","91","","0","1","","","",""
"1010041","","","93","","0.4","1","","","",""
"1020001","omp_idle_normal","1.8","1","-180","1","2","112511","-195","1600","0"
"1020002","omp_talk_normal","1.8","1","20","1","2","112411","-190","1500","1"
"1020003","omp_idle_normal","1.8","1","220","1","2","112611","-205","1600","1"
"1020004","","1","31","0","1","2","1","1","0",""
"1020005","","","93","","1","2","","","",""
"1020006","","","21","0","vo_omp_7002","2","vo_omp_7002_000","","0",""
"1020007","","","11","1","112411","2","貪吃佩可的魔物料理，\n真的很美味呢♪","1","10",""
"1020008","","","91","","0","2","","","",""
"1020009","","","4","","112411","2","0","","",""
"1020010","","0","3","","112411","2","omp_idle_normal","","1",""
"1020011","","0","3","","112611","2","omp_talk_joy1","","1",""
"1020012","","","21","0","vo_omp_7002","2","vo_omp_7002_001","","0",""
"1020013","","","11","1","112611","2","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","1","10",""
"1020014","","","91","","0","2","","","",""
"1020015","","0","3","","112611","2","omp_idle_joy1","","1",""
"1020016","","0","3","","112411","2","omp_talk_surprise1","","1",""
"1020017","","","21","0","vo_omp_7002","2","vo_omp_7002_002","","0",""
"1020018","","","11","1","112411","2","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","1","10",""
"1020019","","","91","","0","2","","","",""
"1020020","","","4","","112411","2","1","","",""
"1020021","","0","3","","112411","2","omp_idle_surprise1","","1",""
"1020022","","0","3","","112511","2","omp_talk_normal","","1",""
"1020023","","","21","0","vo_omp_7002","2","vo_omp_7002_003","","0",""
"1020024","","","11","1","112511","2","味道超乎想像呢，\n我是指好的方面。","1","10",""
"1020025","","","91","","0","2","","","",""
"1020026","","0","3","","112511","2","omp_talk_sad","","1",""
"1020027","","","21","0","vo_omp_7002","2","vo_omp_7002_004","","0",""
"1020028","","","11","1","112511","2","可是在料理魔物的時候，\n嗯，該怎麼說……","1","10",""
"1020029","","","91","","0","2","","","",""
"1020030","","0","3","","112511","2","omp_idle_sad","","1",""
"1020031","","0","3","","112411","2","omp_talk_bitter","","1",""
"1020032","","","21","0","vo_omp_7002","2","vo_omp_7002_005","","0",""
"1020033","","","11","1","112411","2","……很、很不得了呢！","1","10",""
"1020034","","","91","","0","2","","","",""
"1020035","","0","3","","112411","2","omp_idle_bitter","","1",""
"1020036","","0","3","","112611","2","omp_talk_joy1","","1",""
"1020037","","","21","0","vo_omp_7002","2","vo_omp_7002_006","","0",""
"1020038","","","11","1","112611","2","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","1","10",""
"1020039","","","91","","0","2","","","",""
"1020040","","0","3","","112611","2","omp_idle_joy1","","1",""
"1020041","","0","3","","112511","2","omp_talk_bitter","","1",""
"1020042","","","21","0","vo_omp_7002","2","vo_omp_7002_007","","0",""
"1020043","","","11","1","112511","2","冒險真是深奧呢……","1","10",""
"1020044","","","91","","0","2","","","",""
"1020045","","","93","","0.4","2","","","",""
"1030001","omp_talk_joy1","1.8","1","-140","1","3","112411","-190","1500","0"
"1030002","omp_idle_normal","1.8","1","140","1","3","112611","-190","1500","1"
"1030003","","1","31","0","1","3","1","1","0",""
"1030004","","","93","","1","3","","","",""
"1030005","","","21","0","vo_omp_7003","3","vo_omp_7003_000","","0",""
"1030006","","","11","1","112411","3","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","1","10",""
"1030007","","","91","","0","3","","","",""
"1030008","","0","3","","112411","3","omp_psn_20","","1",""
"1030009","","0","3","","112611","3","omp_psn_19","","1",""
"1030010","","","21","0","vo_omp_7003","3","vo_omp_7003_001","","0",""
"1030011","","","11","1","112611","3","有、有趣嗎～？","1","10",""
"1030012","","","91","","0","3","","","",""
"1030013","","0","3","","112611","3","omp_psn_18","","1",""
"1030014","","0","3","","112411","3","omp_talk_joy1","","1",""
"1030015","","","21","0","vo_omp_7003","3","vo_omp_7003_002","","0",""
"1030016","","","11","1","112411","3","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","1","10",""
"1030017","","","91","","0","3","","","",""
"1030018","","0","3","","112411","3","omp_psn_20","","1",""
"1030019","","0","3","","112611","3","omp_talk_joy1","","1",""
"1030020","","","21","0","vo_omp_7003","3","vo_omp_7003_003","","0",""
"1030021","","","11","1","112611","3","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","1","10",""
"1030022","","","93","","1.5","3","1","","",""
"1030023","","0.2","3","","112611","3","omp_psn_19","","1",""
"1030024","","","91","","1030021","3","","","",""
"1030025","","0","3","","112611","3","omp_psn_18","","1",""
"1030026","","0","3","","112411","3","omp_talk_joy1","","1",""
"1030027","","","21","0","vo_omp_7003","3","vo_omp_7003_004","","0",""
"1030028","","","11","1","112411","3","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","1","10",""
"1030029","","","91","","0","3","","","",""
"1030030","","0","3","","112411","3","omp_psn_20","","1",""
"1030031","","0","3","","112611","3","omp_psn_19","","1",""
"1030032","","","21","0","vo_omp_7003","3","vo_omp_7003_005","","0",""
"1030033","","","11","1","112611","3","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","1","10",""
"1030034","","","91","","0","3","","","",""
"1030035","","0","3","","112611","3","omp_psn_18","","1",""
"1030036","","0","3","","112411","3","omp_talk_joy2","","1",""
"1030037","","","21","0","vo_omp_7003","3","vo_omp_7003_006","","0",""
"1030038","","","11","1","112411","3","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","1","10",""
"1030039","","","91","","0","3","","","",""
"1030040","","0","3","","112411","3","omp_psn_20","","1",""
"1030041","","0","3","","112611","3","omp_talk_sad","","1",""
"1030042","","","21","0","vo_omp_7003","3","vo_omp_7003_007","","0",""
"1030043","","","11","1","112611","3","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","1","10",""
"1030044","","","93","","6","3","1","","",""
"1030045","","0.2","3","","112611","3","omp_talk_joy2","","1",""
"1030046","","","91","","1030043","3","","","",""
"1030047","","0","3","","112611","3","omp_idle_joy2","","1",""
"1030048","","0","3","","112411","3","omp_talk_joy2","","1",""
"1030049","","","21","0","vo_omp_7003","3","vo_omp_7003_008","","0",""
"1030050","","","11","1","112411","3","好的！\n一起加油吧！","1","10",""
"1030051","","","91","","0","3","","","",""
"1030052","","","93","","0.4","3","","","",""
"1040001","omp_talk_normal","1.8","1","-180","1","4","105831","-195","1600","0"
"1040002","omp_idle_normal","1.8","1","20","1","4","105931","-190","1500","1"
"1040003","omp_idle_normal","1.8","1","220","1","4","106031","-205","1600","1"
"1040004","","1","31","0","1","4","1","1","0",""
"1040005","","","93","","1","4","","","",""
"1040006","","","21","0","vo_omp_7004","4","vo_omp_7004_000","","0",""
"1040007","","","11","1","105831","4","機會難得，\n我們要不要也來\n當當看偶像啊？","1","10",""
"1040008","","","91","","0","4","","","",""
"1040009","","0","3","","105831","4","omp_idle_normal","","1",""
"1040010","","0","3","","105931","4","omp_talk_normal","","1",""
"1040011","","","21","0","vo_omp_7004","4","vo_omp_7004_001","","0",""
"1040012","","","11","1","105931","4","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","1","10",""
"1040013","","","91","","0","4","","","",""
"1040014","","","4","","105931","4","0","","",""
"1040015","","0","3","","105931","4","omp_idle_normal","","1",""
"1040016","","0","3","omp_idle_surprise1","106031","4","omp_surprise","1","0",""
"1040017","","","21","0","vo_omp_7004","4","vo_omp_7004_002","","0",""
"1040018","","","11","1","106031","4","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","1","10",""
"1040019","","","93","","2","4","1","","",""
"1040020","","0.1","3","","106031","4","omp_talk_tsun","","1",""
"1040021","","","91","","1040018","4","","","",""
"1040022","","0","3","","106031","4","omp_talk_tsun","","1",""
"1040023","","","21","0","vo_omp_7004","4","vo_omp_7004_003","","0",""
"1040024","","","11","1","106031","4","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","1","10",""
"1040025","","","91","","0","4","","","",""
"1040026","","0","3","","106031","4","omp_idle_tsun","","1",""
"1040027","","0","3","","105931","4","omp_talk_worry","","1",""
"1040028","","","21","0","vo_omp_7004","4","vo_omp_7004_004","","0",""
"1040029","","","11","1","105931","4","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","1","10",""
"1040030","","","91","","0","4","","","",""
"1040031","","","4","","105931","4","1","","",""
"1040032","","0","3","","105931","4","omp_idle_worry","","1",""
"1040033","","0","3","","105831","4","omp_talk_joy1","","1",""
"1040034","","","21","0","vo_omp_7004","4","vo_omp_7004_005","","0",""
"1040035","","","11","1","105831","4","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","1","10",""
"1040036","","","93","","5.5","4","1","","",""
"1040037","","0.2","3","","105831","4","omp_psn_11","","0",""
"1040038","","","91","","1040035","4","","","",""
"1040039","","0","3","","105931","4","omp_talk_normal","","1",""
"1040040","","","21","0","vo_omp_7004","4","vo_omp_7004_006","","0",""
"1040041","","","11","1","105931","4","好的♪\n如此這般，耶……！","1","10",""
"1040042","","","93","","1.5","4","1","","",""
"1040043","","0.2","3","","105931","4","omp_psn_11","1","0",""
"1040044","","","91","","1040041","4","","","",""
"1040045","","","4","","105931","4","0","","",""
"1040046","","0","3","","105931","4","omp_idle_normal","","1",""
"1040047","","0.2","3","","105831","4","omp_idle_joy1","","1",""
"1040048","","0","3","","106031","4","omp_idle_tsun","","1",""
"1040049","","","21","0","vo_omp_7004","4","vo_omp_7004_007","","0",""
"1040050","","","11","1","106031","4","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","1","10",""
"1040051","","","93","","7","4","1","","",""
"1040052","","0.1","3","","106031","4","omp_psn_12","","0",""
"1040053","","","93","","1.5","4","","","",""
"1040054","","","91","","1040050","4","","","",""
"1040055","","0.2","3","","106031","4","omp_idle_normal","","1",""
"1040056","","0","3","","105831","4","omp_idle_surprise1","","1",""
"1040057","","","21","0","vo_omp_7004","4","vo_omp_7004_008","","0",""
"1040058","","","11","1","105831","4","小、小凱留……","1","10",""
"1040059","","","91","","0","4","","","",""
"1040060","","0","3","","105831","4","omp_idle_surprise1","","1",""
"1040061","","0","3","","105931","4","omp_talk_sad","","1",""
"1040062","","","21","0","vo_omp_7004","4","vo_omp_7004_009","","0",""
"1040063","","","11","1","105931","4","您做得非常專業呢。","1","10",""
"1040064","","","91","","0","4","","","",""
"1040065","","0","3","","105931","4","omp_idle_sad","","1",""
"1040066","","0","3","omp_talk_surprise2","106031","4","omp_surprise","1","0","0.1"
"1040067","","","21","0","vo_omp_7004","4","vo_omp_7004_010","","0",""
"1040068","","","11","1","106031","4","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","1","10",""
"1040069","","","93","","6.5","4","1","","",""
"1040070","","0.2","3","","106031","4","omp_talk_tsun","","1",""
"1040071","","","91","","1040068","4","","","",""
"1040072","","","93","","0.4","4","","","",""
"1050001","omp_talk_joy1","1.8","1","-140","1","5","112611","-190","1500","0"
"1050002","omp_idle_normal","1.8","1","140","1","5","112511","-190","1500","1"
"1050003","","1","31","0","1","5","1","1","0",""
"1050004","","","93","","1","5","","","",""
"1050005","","","21","0","vo_omp_7005","5","vo_omp_7005_000","","0",""
"1050006","","","11","1","112611","5","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","1","10",""
"1050007","","","91","","0","5","","","",""
"1050008","","0","3","","112611","5","omp_idle_joy1","","1",""
"1050009","","0","3","","112511","5","omp_talk_normal","","1",""
"1050010","","","21","0","vo_omp_7005","5","vo_omp_7005_001","","0",""
"1050011","","","11","1","112511","5","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","1","10",""
"1050012","","","91","","0","5","","","",""
"1050013","","0","3","","112511","5","omp_idle_normal","","1",""
"1050014","","0","3","","112611","5","omp_talk_joy1","","1",""
"1050015","","","21","0","vo_omp_7005","5","vo_omp_7005_002","","0",""
"1050016","","","11","1","112611","5","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","1","10",""
"1050017","","","93","","6.2","5","1","","",""
"1050018","","0.2","3","","112611","5","omp_talk_thinking","","1",""
"1050019","","","91","","1050016","5","","","",""
"1050020","","0","3","","112611","5","omp_idle_thinking","","1",""
"1050021","","0","3","","112511","5","omp_talk_normal2","","1",""
"1050022","","","21","0","vo_omp_7005","5","vo_omp_7005_003","","0",""
"1050023","","","11","1","112511","5","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","1","10",""
"1050024","","","91","","0","5","","","",""
"1050025","","0","3","","112511","5","omp_idle_calm","","1",""
"1050026","","0.1","3","","112611","5","omp_talk_sad","","1",""
"1050027","","","21","0","vo_omp_7005","5","vo_omp_7005_004","","0",""
"1050028","","","11","1","112611","5","澀…澀…","1","10",""
"1050029","","","91","","0","5","","","",""
"1050030","","0","3","","112611","5","omp_idle_sad","","1",""
"1050031","","0","3","","112511","5","omp_psn_19","","1",""
"1050032","","","21","0","vo_omp_7005","5","vo_omp_7005_005","","0",""
"1050033","","","11","1","112511","5","澀…？","1","10",""
"1050034","","","91","","0","5","","","",""
"1050035","","0","3","","112511","5","omp_psn_18","","1",""
"1050036","","0","3","","112611","5","omp_talk_sad","","1",""
"1050037","","","21","0","vo_omp_7005","5","vo_omp_7005_006","","0",""
"1050038","","","11","1","112611","5","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","1","10",""
"1050039","","","93","","4.5","5","1","","",""
"1050040","","0.2","3","","112611","5","omp_talk_surprise2","","1",""
"1050041","","","91","","1050038","5","","","",""
"1050042","","0","3","","112611","5","omp_idle_surprise2","","1",""
"1050043","","0","3","","112511","5","omp_talk_normal","","1",""
"1050044","","","21","0","vo_omp_7005","5","vo_omp_7005_007","","0",""
"1050045","","","11","1","112511","5","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","1","10",""
"1050046","","","93","","3.5","5","1","","",""
"1050047","","0.2","3","","112511","5","omp_talk_anger","","1",""
"1050048","","","91","","1050045","5","","","",""
"1050049","","0","3","","112511","5","omp_idle_anger","","1",""
"1050050","","0","3","","112611","5","omp_talk_joy1","","1",""
"1050051","","","21","0","vo_omp_7005","5","vo_omp_7005_008","","0",""
"1050052","","","11","1","112611","5","欸嘿嘿，抱歉抱歉☆","1","10",""
"1050053","","","91","","0","5","","","",""
"1050054","","0","3","","112611","5","omp_idle_joy1","","1",""
"1050055","","0","3","","112511","5","omp_talk_sad","","1",""
"1050056","","","21","0","vo_omp_7005","5","vo_omp_7005_009","","0",""
"1050057","","","11","1","112511","5","真是的。\n……不過，我剛才說的\n都是真心話哦。","1","10",""
"1050058","","","93","","2","5","1","","",""
