bac5a4e8e29b03a5e5b40e472cad77085102859b1faab97fbe223974b13d7496,35c49c60de852b3058d0f77f06fea62fbbbb04516c44142cefd5dce2f2c30c36,c27d8e6e026c1664bf6d28e5326f396008cd719a61ad7e102cabfea41727e4fe,fa1d6ce9d12e40eaa369552eedf5157130fa319f0e5e2964a79a020974441bfd,bddc03de7e6a827141fd8aa14d0e8067669b8bbe1e6641b3446e9e6eda89611a,a732350d47d8178ba2672f167e2d6f3b9aa533c0522002b4456fca27c5b3e2ed,5928bf0a0b8fc4e060c0ec79578c9f99dff8bf9c75ec1811cb7501ef5fd11ac5,f497a691854c21615fe8113938e0d027390dff51f81418376fd5ce4577195a51,202dfbd41d23561b58a9de290d235c947c9963eaa07d190b126d86b21334e487,fb1ccf8f74630998bb11624bce23082430fb39265903e32398e4616f62085ca9,2b513c2118ca0b4714ba86f3a247d5245c30eaa99fb54566e48d55b4a33ff491
"1","110","歐姆蛋","1010100","1","0","250","8","0","1","10101"
"1","110","歐姆蛋","1010101","1","0","222","9","0","1","10101"
"1","110","歐姆蛋","1010102","1","0","200","10","0","1","10101"
"1","110","歐姆蛋","1010200","2","0","400","9","0","1","10102"
"1","110","歐姆蛋","1010201","2","0","367","10","0","1","10102"
"1","110","歐姆蛋","1010202","2","0","338","11","0","1","10102"
"1","110","歐姆蛋","1010300","3","0","640","10","0","1","10103"
"1","110","歐姆蛋","1010301","3","0","597","11","0","1","10103"
"1","110","歐姆蛋","1010302","3","0","560","12","0","1","10103"
"1","115","餃子","1020100","1","0","275","9","0","2","10201"
"1","115","餃子","1020101","1","0","248","10","0","2","10201"
"1","115","餃子","1020102","1","0","225","11","0","2","10201"
"1","115","餃子","1020200","2","0","440","10","0","2","10202"
"1","115","餃子","1020201","2","0","406","11","0","2","10202"
"1","115","餃子","1020202","2","0","377","12","0","2","10202"
"1","115","餃子","1020300","3","0","704","11","0","2","10203"
"1","115","餃子","1020301","3","0","660","12","0","2","10203"
"1","115","餃子","1020302","3","0","621","13","0","2","10203"
"1","100","章魚燒","1030100","1","0","200","8","0","3","10301"
"1","100","章魚燒","1030101","1","0","175","9","0","3","10301"
"1","100","章魚燒","1030102","1","0","156","10","0","3","10301"
"1","100","章魚燒","1030200","2","0","320","9","0","3","10302"
"1","100","章魚燒","1030201","2","0","291","10","0","3","10302"
"1","100","章魚燒","1030202","2","0","267","11","0","3","10302"
"1","100","章魚燒","1030300","3","0","512","10","0","3","10303"
"1","100","章魚燒","1030301","3","0","475","11","0","3","10303"
"1","100","章魚燒","1030302","3","0","444","12","0","3","10303"
"1","115","飯糰","1040100","1","0","225","9","0","4","10401"
"1","115","飯糰","1040101","1","0","200","10","0","4","10401"
"1","115","飯糰","1040102","1","0","180","11","0","4","10401"
"1","115","飯糰","1040200","2","0","360","10","0","4","10402"
"1","115","飯糰","1040201","2","0","330","11","0","4","10402"
"1","115","飯糰","1040202","2","0","305","12","0","4","10402"
"1","115","飯糰","1040300","3","0","576","11","0","4","10403"
"1","115","飯糰","1040301","3","0","538","12","0","4","10403"
"1","115","飯糰","1040302","3","0","504","13","0","4","10403"
"1","150","沙威瑪","1050100","1","0","300","10","0","5","10501"
"1","150","沙威瑪","1050101","1","0","273","11","0","5","10501"
"1","150","沙威瑪","1050102","1","0","250","12","0","5","10501"
"1","150","沙威瑪","1050200","2","0","480","11","0","5","10502"
"1","150","沙威瑪","1050201","2","0","446","12","0","5","10502"
"1","150","沙威瑪","1050202","2","0","416","13","0","5","10502"
"1","150","沙威瑪","1050300","3","0","768","12","0","5","10503"
"1","150","沙威瑪","1050301","3","0","723","13","0","5","10503"
"1","150","沙威瑪","1050302","3","0","683","14","0","5","10503"
"2","60","輪胎（特大）","2010100","1","0","160","0","0","1","20101"
"2","60","輪胎（特大）","2010200","2","0","256","0","0","1","20102"
"2","60","輪胎（特大）","2010300","3","0","410","0","0","1","20103"
"2","45","輪胎（大）","2020100","1","0","145","0","0","2","20201"
"2","45","輪胎（大）","2020200","2","0","232","0","0","2","20202"
"2","45","輪胎（大）","2020300","3","0","371","0","0","2","20203"
"2","30","輪胎（中）","2030100","1","0","120","0","0","3","20301"
"2","30","輪胎（中）","2030200","2","0","192","0","0","3","20302"
"2","30","輪胎（中）","2030300","3","0","307","0","0","3","20303"
"2","15","輪胎（小）","2040100","1","0","100","0","0","4","20401"
"2","15","輪胎（小）","2040200","2","0","160","0","0","4","20402"
"2","15","輪胎（小）","2040300","3","0","256","0","0","4","20403"
"3","1","加農砲","3010100","1","125","0","0","4","1","30101"
"3","1","加農砲","3010101","1","195","0","0","5","1","30101"
"3","1","加農砲","3010102","1","234","0","0","6","1","30101"
"3","1","加農砲","3010200","2","200","0","0","4","1","30102"
"3","1","加農砲","3010201","2","313","0","0","5","1","30102"
"3","1","加農砲","3010202","2","375","0","0","6","1","30102"
"3","1","加農砲","3010300","3","320","0","0","4","1","30103"
"3","1","加農砲","3010301","3","500","0","0","5","1","30103"
"3","1","加農砲","3010302","3","600","0","0","6","1","30103"
"3","1","刨刀","3020100","1","75","0","0","6","2","30201"
"3","1","刨刀","3020101","1","112","0","0","7","2","30201"
"3","1","刨刀","3020102","1","135","0","0","8","2","30201"
"3","1","刨刀","3020200","2","120","0","0","6","2","30202"
"3","1","刨刀","3020201","2","180","0","0","7","2","30202"
"3","1","刨刀","3020202","2","216","0","0","8","2","30202"
"3","1","刨刀","3020300","3","192","0","0","6","2","30203"
"3","1","刨刀","3020301","3","288","0","0","7","2","30203"
"3","1","刨刀","3020302","3","345","0","0","8","2","30203"
"3","1","鑽頭","3030100","1","72","0","0","5","3","30301"
"3","1","鑽頭","3030101","1","108","0","0","6","3","30301"
"3","1","鑽頭","3030102","1","129","0","0","7","3","30301"
"3","1","鑽頭","3030200","2","115","0","0","5","3","30302"
"3","1","鑽頭","3030201","2","172","0","0","6","3","30302"
"3","1","鑽頭","3030202","2","207","0","0","7","3","30302"
"3","1","鑽頭","3030300","3","184","0","0","5","3","30303"
"3","1","鑽頭","3030301","3","276","0","0","6","3","30303"
"3","1","鑽頭","3030302","3","331","0","0","7","3","30303"
"3","1","槌子","3040100","1","101","0","0","6","4","30401"
"3","1","槌子","3040101","1","139","0","0","7","4","30401"
"3","1","槌子","3040102","1","177","0","0","8","4","30401"
"3","1","槌子","3040200","2","162","0","0","6","4","30402"
"3","1","槌子","3040201","2","222","0","0","7","4","30402"
"3","1","槌子","3040202","2","283","0","0","8","4","30402"
"3","1","槌子","3040300","3","259","0","0","6","4","30403"
"3","1","槌子","3040301","3","356","0","0","7","4","30403"
"3","1","槌子","3040302","3","453","0","0","8","4","30403"
"3","1","霰彈槍","3050100","1","157","0","0","5","5","30501"
"3","1","霰彈槍","3050101","1","216","0","0","6","5","30501"
"3","1","霰彈槍","3050102","1","275","0","0","7","5","30501"
"3","1","霰彈槍","3050200","2","252","0","0","5","5","30502"
"3","1","霰彈槍","3050201","2","346","0","0","6","5","30502"
"3","1","霰彈槍","3050202","2","441","0","0","7","5","30502"
"3","1","霰彈槍","3050300","3","403","0","0","5","5","30503"
"3","1","霰彈槍","3050301","3","554","0","0","6","5","30503"
"3","1","霰彈槍","3050302","3","705","0","0","7","5","30503"
"4","1","升降機","4010100","1","0","100","0","3","1","40101"
"4","1","升降機","4010101","1","0","125","0","4","1","40101"
"4","1","升降機","4010102","1","0","150","0","5","1","40101"
"4","1","升降機","4010200","2","0","160","0","3","1","40102"
"4","1","升降機","4010201","2","0","200","0","4","1","40102"
"4","1","升降機","4010202","2","0","240","0","5","1","40102"
"4","1","升降機","4010300","3","0","256","0","3","1","40103"
"4","1","升降機","4010301","3","0","320","0","4","1","40103"
"4","1","升降機","4010302","3","0","384","0","5","1","40103"
"4","1","鉤子","4020100","1","0","125","0","2","2","40201"
"4","1","鉤子","4020101","1","0","156","0","3","2","40201"
"4","1","鉤子","4020102","1","0","188","0","4","2","40201"
"4","1","鉤子","4020200","2","0","200","0","2","2","40202"
"4","1","鉤子","4020201","2","0","250","0","3","2","40202"
"4","1","鉤子","4020202","2","0","300","0","4","2","40202"
