8f7e0294574e091aea555737e7a4afe5953d194d1cd3720c652e00de6722c521,7b8001a1d149520629c1cc53ae262d6d0b0ce02b736d9d446b2933c70b532ad2,36b653da8b0163209b797b941df947a7c780bf8f98b4653a65222837040bc859,e8d15b87db42a0c23f8c42b406837b191102ae6444b0375c1e1c645ce58ac3f2,f4f347d38d0750161156fcd197ed1969f5083cbea955d3089b1c191b30921d44
"1","300","1","135","1"
"1","-100","1","425","2"
"1","125","2","-100","3"
"1","-415","2","375","4"
"1","-50","3","25","5"
"1","-300","3","-25","6"
"1","-335","4","-195","7"
"1","-415","4","105","8"
"1","-160","5","135","9"
"1","-40","6","345","10"
"1","90","7","-230","11"
"1","-420","8","230","12"
"1","250","9","30","13"
"1","-245","10","280","14"
"1","-110","11","-150","15"
