2a25ae62baa6d28c12cb97fa5f9d3fc8653b481524bb654ad380ced682224514,f2ccb69a4702134cab91e4a87c8d0eb10b9413f231bbb8b4b665dec1ddd3474c,a7b5479c2d67411a93aafcbd363e393a8005000ebc9b68d4d1a1bb0edf90d206,51ede3e7199da1120b07805e95063b8bf1727bfd12912eb907a68b6c156fe788,93391342e42bafad268eddc595dd2b5acedd45d7cdd47e3ee702e30950f86282,be5b8ee647a11315c8214548fafd959bc904f3cb000b024d2810aed711e9d24b
"0","5035004","10036","0","0","5035005"
"0","5058004","10059","0","0","5058005"
"10062","0","10063","1006201","10062115","0"
"10084","0","10085","1008401","10084115","0"
"10086","0","10087","1008601","10086115","0"
"10110","0","10111","1011001","10110115","0"
"10112","0","10113","1011201","10112115","0"
"10136","0","10137","1013601","10136110","0"
"10138","0","10139","1013801","10138115","0"
"10164","0","10165","1016401","10164110","0"
"20033","0","20034","2003301","20033115","0"
"20046","0","20047","2004601","20046115","0"
"20059","0","20060","2005901","20059115","0"
