ecfe9b01e925c1892747d2efc2310ee494b0ffbba57dedd6aceaad7cf3d089cc,7e8e9704f7b1707ee6f6219d2fdf083b02e8cb156f9c17e459b552804efc8783,971d68dc5d26c45f366b141b29d6a925f9d864d3bf99311d25d19fa2b08cef20,48b4a7489cfdb36a295e408cd2f0b63d886f77d309397bddb5989776ad2ef8f2,12d8d369d8f7bb33363fb6fe1e46d9a8f844a891e2ed4a7e38a10089e9efd5fb,001e86fb81e16924dd9f109f0b19643a003d4a2a1af0be33d423fde5d34fb462,073a8b06a642bdd9ecad8509f196254a94492b055859fc0e07002c908e75b6de,5b5125c5f823f0356da71951068fe7b6adb754f5a05ea9e14b52e10cadca4ad6,6163f9f4f5dcc80269399b891865366dfd6b25772eefaf211b7bbe6e8ecd5b18,656896fe499d401547af07bc3981a47048b22dfdf77390ab6c4e411f28595387,3af31b186e3334a3402956c10029d018d44be5de4a3834e6901acc2088d6f00c,4b8d803b5b1f226aa89664c9d13d9402110ef9d8ef2d7784d8526948dd4ccd53
"vo_10020900_0001","1","0","vo_10020900","0","0","2","0","1","1010001","0","0"
"0","1","0","0","0","0.818181818181818","1","1","2","1010002","0","180"
"0","1","1","0","0.818181818181818","0","4","1","3","1010003","0","0"
"0","1","0","0","0","0.634285714285714","1","2","4","1010004","0","226"
"0","1","1","0","1.03428571428571","0","4","2","5","1010005","0","0"
"0","1","0","0","0","1.33714285714286","1","2","6","1010006","226","460"
"0","1","1","0","2.13714285714286","0","4","2","7","1010007","0","0"
"vo_10020900_0002","1","0","vo_10020900","0","0","2","0","8","1010008","0","0"
"0","1","0","0","0","1.12948051948052","1","3","9","1010009","0","132"
"0","1","1","0","2.12948051948052","0","4","3","10","1010010","0","0"
"vo_10020900_0003","1","0","vo_10020900","0","0","2","0","11","1010011","0","0"
"0","1","0","0","0","0.545454545454545","1","3","12","1010012","132","271"
"0","1","1","0","1.04545454545455","0","4","3","13","1010013","0","0"
"0","1","0","0","0","1.71545454545455","1","3","14","1010014","271","700"
"0","1","1","0","2.71545454545455","0","4","3","15","1010015","0","0"
"vo_10020900_0004","1","0","vo_10020900","0","0","2","0","16","1010016","0","0"
"0","1","0","0","0","1.67857142857143","1","4","17","1010017","0","244"
"0","1","1","0","2.17857142857143","0","4","4","18","1010018","0","0"
"vo_10020900_0005","1","0","vo_10020900","0","0","2","0","19","1010019","0","0"
"0","1","0","0","0","1.28311688311688","1","4","20","1010020","244","715"
"0","1","1","0","1.98311688311688","0","4","4","21","1010021","0","0"
"0","1","0","0","0","1.2987012987013","1","5","22","1010022","0","214"
"0","1","1","0","1.9987012987013","0","4","5","23","1010023","0","0"
"0","1","0","0","0","2.07792207792208","1","5","24","1010024","214","603"
"0","1","1","0","3.07792207792208","0","4","5","25","1010025","0","0"
"vo_10020900_0006","1","0","vo_10020900","0","0","2","0","26","1010026","0","0"
"0","1","0","0","0","1.06363636363636","1","6","27","1010027","0","241"
"0","1","1","0","1.56363636363636","0","4","6","28","1010028","0","0"
"0","1","0","0","0","2.96","1","6","29","1010029","241","750"
"0","1","1","0","3.96","0","4","6","30","1010030","0","0"
"vo_10020900_0007","1","0","vo_10020900","0","0","2","0","31","1010031","0","0"
"0","1","0","0","0","0.386363636363636","1","7","32","1010032","0","85"
"0","1","1","0","0.886363636363636","0","4","7","33","1010033","0","0"
"0","1","0","0","0","3.54090909090909","1","7","34","1010034","85","750"
"0","1","1","0","4.54090909090909","0","4","7","35","1010035","0","0"
"vo_10020900_0008","1","0","vo_10020900","0","0","2","0","36","1010036","0","0"
"0","1","0","0","0","0.431818181818182","1","8","37","1010037","0","138"
"0","1","1","0","1.03181818181818","0","4","8","38","1010038","0","0"
"vo_10020900_0009","1","0","vo_10020900","0","0","2","0","39","1010039","0","0"
"0","1","0","0","0","0.709090909090909","1","8","40","1010040","138","349"
"0","1","1","0","1.30909090909091","0","4","8","41","1010041","0","0"
"vo_10020900_0010","1","0","vo_10020900","0","0","2","0","42","1010042","0","0"
"0","1","0","0","0","3.07662337662338","1","8","43","1010043","349","750"
"0","1","1","0","4.07662337662338","0","4","8","44","1010044","0","0"
"vo_10020900_0011","1","0","vo_10020900","0","0","2","0","45","1010045","0","0"
"0","1","0","0","0","1.43506493506493","1","9","46","1010046","0","242"
"0","1","1","0","2.43506493506493","0","4","9","47","1010047","0","0"
"vo_10020900_0012","1","0","vo_10020900","0","0","2","0","48","1010048","0","0"
"0","1","0","0","0","2.75","1","9","49","1010049","242","754"
"0","1","1","0","3.95","0","4","9","50","1010050","0","0"
"vo_10020900_0013","1","0","vo_10020900","0","0","2","0","51","1010051","0","0"
"0","1","0","0","0","1.67792207792208","1","10","52","1010052","313","556"
"0","1","1","0","2.27792207792208","0","4","10","53","1010053","0","0"
"0","1","0","0","0","0.9","1","10","54","1010054","556","750"
