f900822e97554931ed23f99d084c41b0ba26d76c580fd664a23525137aa63923,ce66a930058b59a0289a179dcdcd83a49bba695dcd3abcf51d4180a0f3891b7d,d0c1e13405e9350485d415d1532ab5d272594619df234f670d417e409385227c,211f00d97072e1628a310f1c668e00418d2408d069edf64e4afc64079010b4cf,e5010ed989adc31a026357e255b7e20ceac435b13bb8e82b787bf263b709e66b,0c849f25a693b4d711b60a087dc4ac80a6550e86d8fb2d70bf4a4e285e7c657b,1373528bf29690300bca8a23fc678e25dee615a6b6aa53007276feb5d1efcb70,2d4225562d07f81d84c728061cec03274c384dfc140f90f1398d26300a8acb2d,313a4cefdf8a7a3da47e76f815df63ef678a7f0f226d6acd05bdd1077a92fb46
"1101002","0","0","1101001","0","21","0","0","600"
"1101003","0","0","1101002","0","22","600","0","2400"
"1","50","0","1101003","0","20","-1500","0","1"
"1101012","0","0","1101011","0","21","0","0","900"
"1101013","0","0","1101012","0","22","700","0","2100"
"1","200","0","1101013","0","20","-1500","0","1"
"1101022","0","0","1101021","0","21","0","0","400"
"1101023","0","0","1101022","0","22","500","0","2000"
"1","350","0","1101023","0","20","-1500","0","1"
"1101032","0","0","1101031","0","21","0","0","1000"
"1101033","0","0","1101032","0","22","900","0","1800"
"1","500","0","1101033","0","20","-1500","0","1"
"1101042","0","0","1101041","0","21","0","0","500"
"1101043","0","0","1101042","0","22","800","0","1600"
"1","750","0","1101043","0","20","-1500","0","1"
"25","2","0","1101101","2","1","2","0","1"
"1","-100","0","1102001","0","20","-2000","0","1"
"20","10","0","1102101","2","1","2","0","1"
"200000","0","0","1102102","2","10","0","0","2"
"1103002","0","0","1103001","0","21","0","0","500"
"1000","0","0","1103002","2","3","0","0","0"
"-15","0","0","1202001","2","2","3000","0","3"
"15","0","0","1204001","1","2","30000","0","3"
"10","0","0","1205001","1","2","30000","0","3"
"10","0","0","1206001","1","2","30000","0","3"
"10","0","0","1207001","1","2","30000","0","3"
"15","0","0","1208001","1","2","3000","0","2"
"25","0","0","1209001","1","2","3000","0","1"
"10","0","0","1210001","1","2","3000","0","2"
"1210003","0","0","1210002","0","21","0","0","3000"
"15","0","0","1210003","1","2","30000","0","1"
"-10","0","0","1211001","1","2","3000","0","2"
"1211003","0","0","1211002","0","21","0","0","3000"
"-15","0","0","1211003","2","2","30000","0","1"
"-10","0","0","1213001","2","2","30000","0","1"
"-10","0","0","1213002","2","2","30000","0","2"
"-25","0","0","1214001","2","2","1500","0","3"
"-20","0","0","1216001","2","2","3000","0","3"
"20","0","0","1218001","1","2","30000","0","3"
"15","0","0","1219001","1","2","30000","0","3"
"15","0","0","1220001","1","2","30000","0","3"
"15","0","0","1221001","1","2","30000","0","3"
"20","0","0","1222001","1","2","3000","0","2"
"30","0","0","1223001","1","2","3000","0","1"
"15","0","0","1224001","1","2","3000","0","2"
"1224003","0","0","1224002","0","21","0","0","3000"
"20","0","0","1224003","1","2","30000","0","1"
"-10","0","0","1225001","1","2","3000","0","2"
"1225003","0","0","1225002","0","21","0","0","3000"
"-20","0","0","1225003","2","2","30000","0","1"
"-15","0","0","1227001","2","2","30000","0","1"
"-15","0","0","1227002","2","2","30000","0","2"
"-35","0","0","1228001","2","2","1500","0","3"
"20","0","0","1229001","1","2","30000","0","3"
"20","0","0","1230001","1","2","3000","0","2"
"1230003","0","0","1230002","0","21","0","0","3000"
"50","0","0","1230003","1","2","30000","0","1"
"-25","0","0","1232001","2","2","3000","0","3"
"25","0","0","1234001","1","2","30000","0","3"
"20","0","0","1235001","1","2","30000","0","3"
"20","0","0","1236001","1","2","30000","0","3"
"20","0","0","1237001","1","2","30000","0","3"
"25","0","0","1238001","1","2","3000","0","2"
"35","0","0","1239001","1","2","3000","0","1"
"20","0","0","1240001","1","2","3000","0","2"
"1240003","0","0","1240002","0","21","0","0","3000"
"25","0","0","1240003","1","2","30000","0","1"
"-10","0","0","1241001","1","2","3000","0","2"
"1241003","0","0","1241002","0","21","0","0","3000"
"-25","0","0","1241003","2","2","30000","0","1"
"-20","0","0","1242001","2","2","30000","0","1"
"-20","0","0","1242002","2","2","30000","0","2"
"-75","0","0","1244001","2","2","1500","0","3"
"20","0","0","1246001","1","2","30000","0","3"
"30","0","0","1247001","1","2","30000","0","3"
"1247003","0","0","1247002","0","21","0","0","3000"
"25","0","0","1247003","1","2","3000","0","1"
"75","0","0","1248001","1","2","3000","0","1"
"-90","0","0","1249001","2","2","1500","0","3"
"10","0","0","2101001","1","2","30000","0","2"
"10","0","0","2102001","1","2","30000","0","2"
"-15","0","0","2103001","2","2","3000","0","2"
"-15","0","0","2103002","2","2","3000","0","3"
"-25","0","0","2105001","2","2","3000","0","3"
"25","0","0","2107001","1","2","30000","0","3"
"10","0","0","2108001","1","2","30000","0","3"
"10","0","0","2109001","1","2","30000","0","3"
"10","0","0","2110001","1","2","30000","0","3"
"15","0","0","2111001","1","2","3000","0","2"
"25","0","0","2112001","1","2","3000","0","1"
"10","0","0","2113001","1","2","3000","0","2"
"2113003","0","0","2113002","0","21","0","0","3000"
"25","0","0","2113003","1","2","30000","0","1"
"-10","0","0","2114001","1","2","3000","0","2"
"2114003","0","0","2114002","1","21","0","0","3000"
"-25","0","0","2114003","2","2","30000","0","1"
"-10","0","0","2116001","2","2","30000","0","1"
"-10","0","0","2116002","2","2","30000","0","2"
"-50","0","0","2117001","2","2","1500","0","3"
"3301002","0","0","3301001","0","21","0","0","300"
"1","20","0","3301002","0","20","30","0","2"
"0","100","0","3301101","2","1","1","0","1"
"0","40","0","3302001","2","1","1","0","1"
"0","60","0","3302002","2","1","1","0","1"
"0","12","0","3303001","2","1","1","0","1"
"0","28","0","3303002","2","1","1","0","1"
"0","40","0","3304001","2","1","1","0","1"
"0","100","0","3304002","2","1","1","0","1"
"3305011","0","0","3305001","0","21","0","0","200"
"3305012","0","0","3305002","0","21","0","0","200"
"3305013","0","0","3305003","0","21","0","0","200"
"3305014","0","0","3305004","0","21","0","0","200"
"3305015","0","0","3305005","0","21","0","0","200"
"3305016","0","0","3305006","0","21","0","0","200"
"1","15","30","3305011","0","20","26","0","2"
"1","8","15","3305012","0","20","29","0","2"
"1","0","0","3305013","0","20","30","0","2"
"1","-8","-15","3305014","0","20","29","0","2"
"1","-15","-30","3305015","0","20","26","0","2"
"30000","0","0","3305016","1","10","180","0","1"
"0","20","0","3305101","2","1","1","0","1"
"1","29","0","3402001","0","20","274","0","2"
"500000","0","0","3402101","3","11","0","0","2000"
"3403002","0","0","3403001","0","21","0","0","200"
"200000","0","0","3403002","1","10","0","0","1"
"0","0","0","4001001","3","4","0","0","0"
"99999","0","0","4001002","3","1","0","0","0"
"99999","9","9","4002001","3","1","9","9","9"
