21e8be2da7da23545962d5bf7fcb36f6298b707975491c6698fa170d1308cf39,e7659e68afedc758ab07ab62857ee9ef3989214c8db97a60678cfcbe597843de,007ebedfc7df678dad6ed8f059934dfb31f8626ff48f6e30295e16056ee23eda,3a8a228743b90f7e9e5e343f2a69cc3ac405e42716aa5e16b50e29ef6ee379ee,0c8c9708888ec5065dd7ba14134c9bd32d67325fd65862229bca8bed09e2d2ef,64a92b6573b4780ad7a867ebd2995208fa145721e10aa93620c760f0690fbd16,d6f8531f1b0828e9c3d3b9e1f0eb5972b59ff707c1316268fd134661786c0078,cb19e6d90b30a92e4da0ff9f25066f4e3ad5d5270655232cb688d29e51ccc6cf,140d912193f74b758c1ee5577bea01218c7b141315ab2fabb1a16ad4c4bda558
"1","12000","10000","30000","1","10","0","90001","90043"
"2","24000","10000","30000","2","20","0","90002","90047"
"3","24000","10000","30000","3","20","0","90002","90047"
"4","24000","10000","30000","4","20","0","90002","90047"
"5","24000","10000","30000","5","20","0","90002","90047"
"6","24000","10000","30000","6","20","0","90002","90047"
"7","24000","10000","30000","7","20","0","90002","90047"
"8","24000","10000","30000","8","20","0","90002","90047"
"9","24000","10000","30000","9","20","0","90002","90047"
"10","24000","10000","30000","10","20","0","90002","90047"
"11","48000","10000","30000","11","40","90011","90003","90051"
"12","48000","10000","30000","12","40","90011","90003","90051"
"13","48000","10000","30000","13","40","90011","90003","90051"
"14","48000","10000","30000","14","40","90011","90003","90051"
"15","48000","10000","30000","15","40","90011","90003","90051"
"16","48000","10000","30000","16","40","90011","90003","90051"
"17","48000","10000","30000","17","40","90011","90003","90051"
"18","48000","10000","30000","18","40","90011","90003","90051"
"19","48000","10000","30000","19","40","90011","90003","90051"
"20","48000","10000","30000","20","40","90011","90003","90051"
"21","72000","10000","30000","21","60","90015","90004","90055"
"22","72000","10000","30000","22","60","90015","90004","90055"
"23","72000","10000","30000","23","60","90015","90004","90055"
"24","72000","10000","30000","24","60","90015","90004","90055"
"25","72000","10000","30000","25","60","90015","90004","90055"
"26","72000","10000","30000","26","60","90015","90004","90055"
"27","72000","10000","30000","27","60","90015","90004","90055"
"28","72000","10000","30000","28","60","90015","90004","90055"
"29","72000","10000","30000","29","60","90015","90004","90055"
"30","72000","10000","30000","30","60","90015","90004","90055"
"31","96000","10000","30000","31","80","90015","90005","90059"
"32","96000","10000","30000","32","80","90015","90005","90059"
"33","96000","10000","30000","33","80","90015","90005","90059"
"34","96000","10000","30000","34","80","90015","90005","90059"
"35","96000","10000","30000","35","80","90015","90005","90059"
"36","96000","10000","30000","36","80","90015","90005","90059"
"37","96000","10000","30000","37","80","90015","90005","90059"
"38","96000","10000","30000","38","80","90015","90005","90059"
"39","96000","10000","30000","39","80","90015","90005","90059"
"40","96000","10000","30000","40","80","90015","90005","90059"
"41","144000","10000","30000","41","120","90017","90005","90063"
"42","144000","10000","30000","42","120","90017","90005","90063"
"43","144000","10000","30000","43","120","90017","90005","90063"
"44","144000","10000","30000","44","120","90017","90005","90063"
"45","144000","10000","30000","45","120","90017","90005","90063"
"46","144000","10000","30000","46","120","90017","90005","90063"
"47","144000","10000","30000","47","120","90017","90005","90063"
"48","144000","10000","30000","48","120","90017","90005","90063"
"49","144000","10000","30000","49","120","90017","90005","90063"
"50","144000","10000","30000","50","120","90017","90005","90063"
"51","180000","10000","30000","51","150","90019","90006","90067"
"52","180000","10000","30000","52","150","90019","90006","90067"
"53","180000","10000","30000","53","150","90019","90006","90067"
"54","180000","10000","30000","54","150","90019","90006","90067"
"55","180000","10000","30000","55","150","90019","90006","90067"
"56","180000","10000","30000","56","150","90019","90006","90067"
"57","180000","10000","30000","57","150","90019","90006","90067"
"58","180000","10000","30000","58","150","90019","90006","90067"
"59","180000","10000","30000","59","150","90019","90006","90067"
"60","180000","10000","30000","60","150","90019","90006","90067"
"61","216000","10000","30000","61","180","90021","90007","90071"
"62","216000","10000","30000","62","180","90021","90007","90071"
"63","216000","10000","30000","63","180","90021","90007","90071"
"64","216000","10000","30000","64","180","90021","90007","90071"
"65","216000","10000","30000","65","180","90021","90007","90071"
"66","216000","10000","30000","66","180","90021","90007","90071"
"67","216000","10000","30000","67","180","90021","90007","90071"
"68","216000","10000","30000","68","180","90021","90007","90071"
"69","216000","10000","30000","69","180","90021","90007","90071"
"70","216000","10000","30000","70","180","90021","90007","90071"
