799a615b259940a4b34dcd41e1e33ed0af8793ecac37184c29d5e3839e217686,bcb749eb5def8d31d09253b4c070852e13b4e230ac1d0ee8fcba6f3f097cdc24,19ad419d6bd3065a775fef8240ea05189eaa365f6c9e596843503f9c17186f84,1c33f661d652edc9d07ad2e22c63ec74b73bd3dde23386bf295464ff862a712a,b40b20a94b9745d16c912be1e0f7231279a22938fb194230a25a2654fad7ca22,eb5a8d2169c1ec7f393410fd3fc78f9271f257e7bca447550dada5f8cd2268a2,b13a516583a5da8f8665d0387e6ceff785d7e9351dcb4b5d8274faf78a2a6d6a,82a22cda692e5e4a50206812699930736fe8a78b78857a90947cd8fc0b16dea4,380e268d53ce00a413325e5b7d753b1ebb7e63bc027783eb376efb45ca66b8c0,c330d2e5c56e9227b9e1f592661342a2acb2a1883fa1ced2bb3805c8e1cf6f1b,8d9ac2e41b7bd7e8df7016db759b1055a8e4571bcb0ac83bfd7fccdfdbcdd737
"bgm_MC294","1001","100111","bgm_MC294","1","78100111","103624","78100111","90","1001","第１戰"
"bgm_MC294","1001","100112","bgm_MC294","1","78100112","103624","78100112","90","1001","第２戰"
"bgm_MC294","1001","100113","bgm_MC294","1","78100113","103624","78100113","90","1001","第３戰"
"bgm_MC294","1001","100114","bgm_MC294","1","78100114","103624","78100114","90","1001","第４戰"
"bgm_MC295B","1001","100115","bgm_MC295B","2","78100115","103624","78100115","90","1001","第５戰"
"bgm_MC294","1001","100121","bgm_MC294","1","78100121","103624","78100121","90","1001","第１戰"
"bgm_MC294","1001","100122","bgm_MC294","1","78100122","103624","78100122","90","1001","第２戰"
"bgm_MC294","1001","100123","bgm_MC294","1","78100123","103624","78100123","90","1001","第３戰"
"bgm_MC294","1001","100124","bgm_MC294","1","78100124","103624","78100124","90","1001","第４戰"
"bgm_MC295B","1001","100125","bgm_MC295B","2","78100125","103624","78100125","90","1001","第５戰"
"bgm_MC294","1001","100131","bgm_MC294","1","78100131","103624","78100131","90","1001","第１戰"
"bgm_MC294","1001","100132","bgm_MC294","1","78100132","103624","78100132","90","1001","第２戰"
"bgm_MC294","1001","100133","bgm_MC294","1","78100133","103624","78100133","90","1001","第３戰"
"bgm_MC294","1001","100134","bgm_MC294","1","78100134","103624","78100134","90","1001","第４戰"
"bgm_MC295B","1001","100135","bgm_MC295B","2","78100135","103624","78100135","90","1001","第５戰"
"bgm_MC294","1002","100211","bgm_MC294","1","78100211","103624","78100211","90","1002","第１戰"
"bgm_MC294","1002","100212","bgm_MC294","1","78100212","103624","78100212","90","1002","第２戰"
"bgm_MC294","1002","100213","bgm_MC294","1","78100213","103624","78100213","90","1002","第３戰"
"bgm_MC294","1002","100214","bgm_MC294","1","78100214","103624","78100214","90","1002","第４戰"
"bgm_MC295B","1002","100215","bgm_MC295B","2","78100215","103624","78100215","90","1002","第５戰"
"bgm_MC294","1002","100221","bgm_MC294","1","78100221","103624","78100221","90","1002","第１戰"
"bgm_MC294","1002","100222","bgm_MC294","1","78100222","103624","78100222","90","1002","第２戰"
"bgm_MC294","1002","100223","bgm_MC294","1","78100223","103624","78100223","90","1002","第３戰"
"bgm_MC294","1002","100224","bgm_MC294","1","78100224","103624","78100224","90","1002","第４戰"
"bgm_MC295B","1002","100225","bgm_MC295B","2","78100225","103624","78100225","90","1002","第５戰"
"bgm_MC294","1002","100231","bgm_MC294","1","78100231","103624","78100231","90","1002","第１戰"
"bgm_MC294","1002","100232","bgm_MC294","1","78100232","103624","78100232","90","1002","第２戰"
"bgm_MC294","1002","100233","bgm_MC294","1","78100233","103624","78100233","90","1002","第３戰"
"bgm_MC294","1002","100234","bgm_MC294","1","78100234","103624","78100234","90","1002","第４戰"
"bgm_MC295B","1002","100235","bgm_MC295B","2","78100235","103624","78100235","90","1002","第５戰"
"bgm_MC294","1003","100311","bgm_MC294","1","78100311","103624","78100311","90","1003","第１戰"
"bgm_MC294","1003","100312","bgm_MC294","1","78100312","103624","78100312","90","1003","第２戰"
"bgm_MC294","1003","100313","bgm_MC294","1","78100313","103624","78100313","90","1003","第３戰"
"bgm_MC294","1003","100314","bgm_MC294","1","78100314","103624","78100314","90","1003","第４戰"
"bgm_MC295B","1003","100315","bgm_MC295B","2","78100315","103624","78100315","90","1003","第５戰"
"bgm_MC294","1003","100321","bgm_MC294","1","78100321","103624","78100321","90","1003","第１戰"
"bgm_MC294","1003","100322","bgm_MC294","1","78100322","103624","78100322","90","1003","第２戰"
"bgm_MC294","1003","100323","bgm_MC294","1","78100323","103624","78100323","90","1003","第３戰"
"bgm_MC294","1003","100324","bgm_MC294","1","78100324","103624","78100324","90","1003","第４戰"
"bgm_MC295B","1003","100325","bgm_MC295B","2","78100325","103624","78100325","90","1003","第５戰"
"bgm_MC294","1003","100331","bgm_MC294","1","78100331","103624","78100331","90","1003","第１戰"
"bgm_MC294","1003","100332","bgm_MC294","1","78100332","103624","78100332","90","1003","第２戰"
"bgm_MC294","1003","100333","bgm_MC294","1","78100333","103624","78100333","90","1003","第３戰"
"bgm_MC294","1003","100334","bgm_MC294","1","78100334","103624","78100334","90","1003","第４戰"
"bgm_MC295B","1003","100335","bgm_MC295B","2","78100335","103624","78100335","90","1003","第５戰"
