f878d9c5c65e9f0d607fa9d5e87ceace03cd254c7b5b7bf1acc88d4b3d385e22,1b30bf16e1e85ba01ed3ce0cc1c01969e008be86c06f2e73a40b6fa08b7c3e50,3436206718e17a210af0376197d816864c2bdc74464b8b03792dd64b64d44c88,e4f97bf4364a7ca8e13c74a9c9dc335d81e167e5bc6ce5f661d4f136136d53c8,56e9f31935ef2e92a9efbea49dcdbde58c0e84fbfcbb41222576188694688fc6,1e5676e23e8ae0c19f0f1480afc2ce4355e07e7a59ec4d5c25fbb9d5b0daa256,fc1068a3e393df101fda45823e21d73a46ef5f5052d3a8c2958f9b8416b9fe91
"21","0","2021/04/25 04:59:59","70004","400","0","2021/04/23 05:00:00"
"22","0","2021/04/25 04:59:59","70004","401","0","2021/04/23 05:00:00"
"23","0","0","70005","416","1","0"
"24","0","0","70005","417","2","0"
"25","0","0","70005","418","3","0"
"26","0","2021/07/18 04:59:59","80004","9002001","3","2021/07/17 05:00:00"
"27","0","2021/07/19 04:59:59","80004","9002002","3","2021/07/18 05:00:00"
"28","0","2021/07/20 04:59:59","80004","9002003","3","2021/07/19 05:00:00"
"29","0","2021/07/21 04:59:59","80004","9002004","3","2021/07/20 05:00:00"
"30","0","2021/07/22 04:59:59","80004","9002005","3","2021/07/21 05:00:00"
"31","0","2021/07/23 04:59:59","80004","9002006","3","2021/07/22 05:00:00"
"32","0","2021/07/24 04:59:59","80004","9002007","3","2021/07/23 05:00:00"
"33","0","2021/07/25 04:59:59","80004","9002008","3","2021/07/24 05:00:00"
"34","0","2021/07/26 04:59:59","80004","9002009","3","2021/07/25 05:00:00"
"35","0","2021/07/27 04:59:59","80004","9002010","3","2021/07/26 05:00:00"
"36","0","2021/07/28 04:59:59","80004","9002011","3","2021/07/27 05:00:00"
"37","0","2021/07/29 04:59:59","80004","9002012","3","2021/07/28 05:00:00"
"38","0","2021/07/30 04:59:59","80004","9002013","3","2021/07/29 05:00:00"
"39","0","2021/07/31 04:59:59","80004","9002014","3","2021/07/30 05:00:00"
"40","0","2021/08/01 04:59:59","80004","9002015","3","2021/07/31 05:00:00"
"41","0","2021/08/02 04:59:59","80004","9002016","3","2021/08/01 05:00:00"
"42","1","2021/08/03 04:59:59","80004","9002017","3","2021/08/02 05:00:00"
"43","0","2022/04/25 04:59:59","70006","400","0","2022/04/24 05:00:00"
"44","0","2022/04/26 04:59:59","70006","401","0","2022/04/25 05:00:00"
"45","0","2022/07/17 04:59:59","80006","9004001","3","2022/07/16 05:00:00"
"46","0","2022/07/18 04:59:59","80006","9004002","3","2022/07/17 05:00:00"
"47","0","2022/07/19 04:59:59","80006","9004003","3","2022/07/18 05:00:00"
"48","0","2022/07/20 04:59:59","80006","9004004","3","2022/07/19 05:00:00"
"49","0","2022/07/21 04:59:59","80006","9004005","3","2022/07/20 05:00:00"
"50","0","2022/07/22 04:59:59","80006","9004006","3","2022/07/21 05:00:00"
"51","0","2022/07/23 04:59:59","80006","9004007","3","2022/07/22 05:00:00"
"52","0","2022/07/24 04:59:59","80006","9004008","3","2022/07/23 05:00:00"
"53","0","2022/07/25 04:59:59","80006","9004009","3","2022/07/24 05:00:00"
"54","0","2022/07/26 04:59:59","80006","9004010","3","2022/07/25 05:00:00"
"55","0","2022/07/27 04:59:59","80006","9004011","3","2022/07/26 05:00:00"
"56","0","2022/07/28 04:59:59","80006","9004012","3","2022/07/27 05:00:00"
"57","0","2022/07/29 04:59:59","80006","9004013","3","2022/07/28 05:00:00"
"58","0","2022/07/30 04:59:59","80006","9004014","3","2022/07/29 05:00:00"
"59","0","2022/07/31 04:59:59","80006","9004015","3","2022/07/30 05:00:00"
"60","0","2022/08/01 04:59:59","80006","9004016","3","2022/07/31 05:00:00"
"61","1","2022/08/02 04:59:59","80006","9004017","3","2022/08/01 05:00:00"
"62","0","0","70007","436","1","0"
"63","0","0","70007","437","2","0"
"64","0","0","70007","438","3","0"
"65","0","2023/01/07 04:59:59","80007","9005001","3","2023/01/06 05:00:00"
"66","0","2023/01/08 04:59:59","80007","9005002","3","2023/01/07 05:00:00"
"67","0","2023/01/09 04:59:59","80007","9005003","3","2023/01/08 05:00:00"
"68","0","2023/01/10 04:59:59","80007","9005004","3","2023/01/09 05:00:00"
"69","0","2023/01/11 04:59:59","80007","9005005","3","2023/01/10 05:00:00"
"70","0","2023/01/12 04:59:59","80007","9005006","3","2023/01/11 05:00:00"
"71","0","2023/01/13 04:59:59","80007","9005007","3","2023/01/12 05:00:00"
"72","0","2023/01/14 04:59:59","80007","9005008","3","2023/01/13 05:00:00"
"73","0","2023/01/15 04:59:59","80007","9005009","3","2023/01/14 05:00:00"
"74","0","2023/01/16 04:59:59","80007","9005010","3","2023/01/15 05:00:00"
"75","0","2023/01/17 04:59:59","80007","9005011","3","2023/01/16 05:00:00"
"76","0","2023/01/18 04:59:59","80007","9005012","3","2023/01/17 05:00:00"
"77","0","2023/01/19 04:59:59","80007","9005013","3","2023/01/18 05:00:00"
"78","0","2023/01/20 04:59:59","80007","9005014","3","2023/01/19 05:00:00"
"79","1","2023/01/21 04:59:59","80007","9005015","3","2023/01/20 05:00:00"
"80","0","2023/04/25 04:59:59","70008","400","0","2023/04/24 05:00:00"
"81","0","2023/04/26 04:59:59","70008","401","0","2023/04/25 05:00:00"
"82","0","0","70009","439","1","0"
"83","0","2023/07/18 04:59:59","80008","9006001","3","2023/07/17 05:00:00"
"84","0","2023/07/19 04:59:59","80008","9006002","3","2023/07/18 05:00:00"
"85","0","2023/07/20 04:59:59","80008","9006003","3","2023/07/19 05:00:00"
"86","0","2023/07/21 04:59:59","80008","9006004","3","2023/07/20 05:00:00"
"87","0","2023/07/22 04:59:59","80008","9006005","3","2023/07/21 05:00:00"
"88","0","2023/07/23 04:59:59","80008","9006006","3","2023/07/22 05:00:00"
"89","0","2023/07/24 04:59:59","80008","9006007","3","2023/07/23 05:00:00"
"90","0","2023/07/25 04:59:59","80008","9006008","3","2023/07/24 05:00:00"
"91","0","2023/07/26 04:59:59","80008","9006009","3","2023/07/25 05:00:00"
"92","0","2023/07/27 04:59:59","80008","9006010","3","2023/07/26 05:00:00"
"93","0","2023/07/28 04:59:59","80008","9006011","3","2023/07/27 05:00:00"
"94","0","2023/07/29 04:59:59","80008","9006012","3","2023/07/28 05:00:00"
"95","0","2023/07/30 04:59:59","80008","9006013","3","2023/07/29 05:00:00"
"96","0","2023/07/31 04:59:59","80008","9006014","3","2023/07/30 05:00:00"
"97","0","2023/08/01 04:59:59","80008","9006015","3","2023/07/31 05:00:00"
"98","1","2023/08/02 04:59:59","80008","9006016","3","2023/08/01 05:00:00"
"99","0","2024/01/25 04:59:59","80009","9007001","3","2024/01/24 05:00:00"
"100","0","2024/01/26 04:59:59","80009","9007002","3","2024/01/25 05:00:00"
"101","0","2024/01/27 04:59:59","80009","9007003","3","2024/01/26 05:00:00"
"102","0","2024/01/28 04:59:59","80009","9007004","3","2024/01/27 05:00:00"
"103","0","2024/01/29 04:59:59","80009","9007005","3","2024/01/28 05:00:00"
"104","0","2024/01/30 04:59:59","80009","9007006","3","2024/01/29 05:00:00"
"105","0","2024/01/31 04:59:59","80009","9007007","3","2024/01/30 05:00:00"
"106","0","2024/02/01 04:59:59","80009","9007008","3","2024/01/31 05:00:00"
"107","0","2024/02/02 04:59:59","80009","9007009","3","2024/02/01 05:00:00"
"108","0","2024/02/03 04:59:59","80009","9007010","3","2024/02/02 05:00:00"
"109","0","2024/02/04 04:59:59","80009","9007011","3","2024/02/03 05:00:00"
"110","0","2024/02/05 04:59:59","80009","9007012","3","2024/02/04 05:00:00"
"111","0","2024/02/06 04:59:59","80009","9007013","3","2024/02/05 05:00:00"
"112","0","2024/02/07 04:59:59","80009","9007014","3","2024/02/06 05:00:00"
"113","1","2024/02/08 04:59:59","80009","9007015","3","2024/02/07 05:00:00"
"114","0","2024/04/06 04:59:59","70010","400","0","2024/04/04 05:00:00"
"115","0","2024/04/08 04:59:59","70012","401","0","2024/04/06 05:00:00"
"116","0","0","70011","440","1","0"
"117","0","2024/07/18 04:59:59","80010","9008001","3","2024/07/17 05:00:00"
"118","0","2024/07/19 04:59:59","80010","9008002","3","2024/07/18 05:00:00"
"119","0","2024/07/20 04:59:59","80010","9008003","3","2024/07/19 05:00:00"
"120","0","2024/07/21 04:59:59","80010","9008004","3","2024/07/20 05:00:00"
"121","0","2024/07/22 04:59:59","80010","9008005","3","2024/07/21 05:00:00"
"122","0","2024/07/23 04:59:59","80010","9008006","3","2024/07/22 05:00:00"
"123","0","2024/07/24 04:59:59","80010","9008007","3","2024/07/23 05:00:00"
"124","0","2024/07/25 04:59:59","80010","9008008","3","2024/07/24 05:00:00"
"125","0","2024/07/26 04:59:59","80010","9008009","3","2024/07/25 05:00:00"
"126","0","2024/07/27 04:59:59","80010","9008010","3","2024/07/26 05:00:00"
