436ec4e34f2e2e606e4b5ffffee7bedb1477cd0d6fef4a104c6b7e5f0d06e0da,a21251818ef862f4b5b01ebf9626ec9fff70f849930353f758c597aeab95f008,77e066ee3976a2a16f7a7a91fb3504f8cc366e9626f8083096ef419a1853c77c
"32001","6","電光・怪人"
"32001","7","壞亂黑鎧騎士"
"32001","8","雷雷"
"32001","9","芒刺爬行者"
"32001","10","白陽・黑月守護像"
"32002","6","電光・怪人"
"32002","7","壞亂黑鎧騎士"
"32002","8","雷雷"
"32002","9","芒刺爬行者"
"32002","10","白陽・黑月守護像"
"32003","6","高等加爾格"
"32003","7","詛咒・奧拉姆"
"32003","8","狂暴格里芬"
"32003","9","貪婪豺狼"
"32003","10","黑月・白陽守護像"
"32004","6","擲岩猴仙"
"32004","7","殺人虎鯨"
"32004","8","沙陸樹懶"
"32004","9","狂焰戰熊"
"32004","10","狂怒綠龍"
"32005","6","岩之錘"
"32005","7","水瑚麟"
"32005","8","飛龍"
"32005","9","稜鏡夫人"
"32005","10","狂怒綠龍"
"32006","6","邪惡領主"
"32006","7","紅極鳥"
"32006","8","雷雷"
"32006","9","獸人酋長"
"32006","10","狂怒綠龍"
"32007","6","電光・怪人"
"32007","7","水晶魔像"
"32007","8","沙陸樹懶"
"32007","9","劍蛇"
"32007","10","究極守護獸"
"32008","6","擲岩猴仙"
"32008","7","詛咒・奧拉姆"
"32008","8","哥布林騎兵"
"32008","9","雷電"
"32008","10","究極守護獸"
"32009","6","岩之錘"
"32009","7","紅極鳥"
"32009","8","飛龍"
"32009","9","三重搖滾"
"32009","10","究極守護獸"
