5bcac5eaf0d9d8d0fdde7e59d9a3fb8712f46e9e0772d64cd18e39c5a9e0f713,608ee9427ee71f185b52565434580090394e18c713771f7d55345893681e6e30,e5fe53791f872a7e5edd9fb0b9ad96db0123885662aa6a7b0aa0dc95842edee4,e33a130bba6a01cb2db320425ec491464ac2ae0a98b07c3e8f9ca94d700fef95,22d678552fd0062f07332fa29d3d0ce217ef4478d8d50c5166534c29b08d423d,c759524d6f7bcb22e41c32e7dc40c06fa8190693c5bd7c97bf404ef1e7ae948a,2dac2fe0bc86e5c7eb4e6b31ade8c69c10452b9e43e6336d6754fd68f040d9b4,7438e4529aee9877dc883858d7e8c95518f55bf514136631924b89de8a0b76fe,6943697a8fcbf0617a7dbf94f11e1979a021189081368bbb0569cfac2c6792ec,c2ecf652c49da23b2cda7694b94faf1315cfef843c20101cc7616824fb7de48d,8261288ad13adf515ac807bf300993cd75498b833d95b7bc0728095ea96bdc9e,f6994c8f5d429b58d901675dc78ce7392917f1fc1502bef9b11b0c1bbe90a052,f40c240409a7c8bf366b998fb6fb9d12bba61e83b9840bf7623efa533417c291,2a13c744e19d3a4f9bcf3f2babdcc3f327a1e8527c287ad9ca6eb424ea0dccbf,4c56bf2f0f3d50310f1b61017a81d7eea25fe6880d23866f60ac6b62b5926ae6
"吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","2","8","2834","1","跳蚤市場會場","與貪吃佩可的相遇","7","10118","5118061","0","20063115","在藍天下的謁見","40","91002"
"吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","2","8","2835","1","跳蚤市場會場","與真步的相遇","7","10118","5118062","0","20063115","未來的騎空團\n吉祥物？","40","91002"
"吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","2","8","2837","1","蘭德索爾市中心","與秋乃的相遇","7","10118","5118063","0","20063115","來自大小姐的\n緊急委託","40","91002"
"吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","2","8","4108402","1","跳蚤市場會場","與純的相遇","18","10118","5118064","0","20063115","金黃色的煩惱","40","91002"
"在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","2","8","4107402","1","跳蚤市場會場","與香織的相遇","18","10118","5118065","0","20063115","白熱化！格鬥大會！","40","91002"
"正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","2","8","9000227","1","大江戶町","與妮諾的相遇","16","10118","5118066","1","20063115","祭典太鼓是大江戶之花","40","91002"
"碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","3","8","2101181","1","跳蚤市場會場","與鈴奈的相遇","19","10118","5118067","0","20063115","受歡迎的人\n總是姍姍來遲","40","91002"
"碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","3","8","4109402","1","蘭德索爾市中心","與七七香的相遇","18","10118","5118068","0","20063115","當巫女遇上魔法少女","40","91002"
"碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","3","8","4305402","1","跳蚤市場會場","與凱留＆可可蘿的相遇","18","10118","5118069","0","20063115","老鼠耳朵再次消失","40","91002"
"在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","3","8","4101402","1","蘭德索爾市中心","與優花梨的相遇","18","10118","5118070","0","20063115","為這次的相遇乾杯！","40","91002"
"碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","3","8","4106402","1","蘭德索爾市中心","與碧的相遇","18","10118","5118071","0","20063115","陰陽合奏","40","91002"
"碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","3","8","2836","1","跳蚤市場會場","與忍的相遇","7","10118","5118072","1","20063115","試手氣十戰決勝負！","40","91002"
"0","1","0","0","0","0","序幕","0","10118","5118600","0","20063115","她們的嶄新日常","0","0"
