dd35ea0b3a17ca7c0008f9ff95435308d874cbd905b0505730843dd6a7a811fe,85477d8b1f14c398a2a3ea20468501c4af32b8c1b3812a4f5fd3259437761135,843e8036f6ca7b82e31a2764a505acdc623659e7cebb2647775dbeba60fb722f,da9803ec9889e0321862406d3053f70e99f96f280df137edcd83174ec026dbb6,b96754452f3b917c9ae6369ab4506b66ea3ccaa83079e9ef6ff0800af24b189a,9ac7a74e3519bc439b5e0815a1376b5422141df3c84bc7e9af7a6f95d9facf24,cb6d20383a922a4c1c73d71c60ee7abdf00625d0b939ef2d2b780a5d47a58175,2286b748a5eb3dafec0bd265bf143a3a1f258411a4cb8b436cb7e0b97d08ee10,a428688bbae11cb8ceaadbb053d3579c5337a1d572a7a6b43520e1175e57631a,cb432587d9348df3d72202c6cb24d08ae4123acd66c49af1958ab99ea01b6a23,7269b5c78f815a7fd810c28c24e04e7f610708fb7192dfa42db3a7930e06ddbe
"1","122711","1","1009801001","102","lsv_idle_normal","0","1009801","-200","1.95","-495"
"1","122811","1","1009801002","100","lsv_idle_normal","1","1009801","100","1.95","-480"
"1","122911","1","1009801003","101","lsv_idle_normal","1","1009801","270","1.95","-510"
"5","333","1","1009801004","0","lsv_white_loop","0","1009801","0","1","0"
"6","1","333","1009801005","1","","0","1009801","1","0","0"
"6","1","122711","1009801006","1","","0","1009801","1","0","0"
"6","1","122811","1009801007","1","","0","1009801","1","0","0"
"6","1","122911","1009801008","1","","0","1009801","1","0","0"
"93","0","1","1009801009","","","","1009801","","",""
"6","1","333","1009801010","1","","0","1009801","1","0.8","0.4"
"3","lsv_jump1","122711","1009801011","0","","0.2","1009801","lsv_idle_normal","0.2","1"
"3","lsv_jump1","122811","1009801012","0","","0.2","1009801","lsv_idle_normal","0.2","1"
"3","lsv_jump1","122911","1009801013","0","","0.2","1009801","lsv_idle_normal","0.2","1"
"93","","0.3","1009801014","","","","1009801","","",""
"2","-200","122711","1009801015","-235","","","1009801","0.75","","0"
"2","100","122811","1009801016","-220","","","1009801","0.75","","0"
"2","270","122911","1009801017","-250","","","1009801","0.75","","0"
"6","1","122711","1009801018","1","","0","1009801","1","0.4","1"
"6","1","122811","1009801019","1","","0","1009801","1","0.4","1"
"6","1","122911","1009801020","1","","0","1009801","1","0.4","1"
"93","0","2","1009801021","","","","1009801","","",""
"3","lsv_talk_joy1","122911","1009801022","1","","","1009801","","0.2",""
"21","vo_lsv_0121","vo_lsv","1009801023","0","","","1009801","0","",""
"11","「小繆快快長大日記」♪\n開始囉開始囉～","122911","1009801024","10","0","0","1009801","1","0","1"
"91","","0","1009801025","","","","1009801","","",""
"3","lsv_idle_normal_joyR","122911","1009801026","1","","","1009801","","0.2",""
"3","lsv_talk_normal","122711","1009801027","1","","","1009801","","0.2",""
"21","vo_lsv_0122","vo_lsv","1009801028","0","","","1009801","0","",""
"11","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","122711","1009801029","10","0","0","1009801","1","0","1"
"91","","0","1009801030","","","","1009801","","",""
"3","lsv_idle_normal","122711","1009801031","1","","","1009801","","0.2",""
"3","lsv_idle_normal","122911","1009801032","1","","","1009801","","0.2",""
"3","lsv_talk_cool","122811","1009801033","0","","0.2","1009801","lsv_talk_cool_loop","0","1"
"21","vo_lsv_0123","vo_lsv","1009801034","0","","","1009801","0","",""
"11","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","122811","1009801035","10","0","0","1009801","1","0","1"
"91","","0","1009801036","","","","1009801","","",""
"3","lsv_talk_bitter","122811","1009801037","1","","","1009801","","0.2",""
"21","vo_lsv_0124","vo_lsv","1009801038","0","","","1009801","0","",""
"11","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","122811","1009801039","10","0","0","1009801","1","0","1"
"91","","0","1009801040","","","","1009801","","",""
"3","lsv_idle_joy","122811","1009801041","1","","","1009801","","0.2",""
"3","lsv_talk_anger2","122711","1009801042","1","","","1009801","","0.2",""
"21","vo_lsv_0125","vo_lsv","1009801043","0","","","1009801","0","",""
"11","寫、寫得隨興一點……！\n這我做不到。","122711","1009801044","10","0","0","1009801","1","0","1"
"91","","0","1009801045","","","","1009801","","",""
"3","lsv_idle_anger2","122711","1009801046","1","","","1009801","","0.2",""
"3","lsv_talk_normal","122911","1009801047","1","","","1009801","","0.2",""
"21","vo_lsv_0126","vo_lsv","1009801048","0","","","1009801","0","",""
"11","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","122911","1009801049","10","0","0","1009801","1","0","1"
"91","","0","1009801050","","","","1009801","","",""
"3","lsv_idle_normal_joyR","122911","1009801051","1","","","1009801","","0.2",""
"3","lsv_talk_guts2_anger","122711","1009801052","0","","0.2","1009801","lsv_talk_guts2_anger_loop","0","1"
"21","vo_lsv_0127","vo_lsv","1009801053","0","","","1009801","0","",""
"11","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","122711","1009801054","10","0","0","1009801","1","0","1"
"91","","0","1009801055","","","","1009801","","",""
"3","lsv_talk_normal_worry","122711","1009801056","1","","","1009801","","0.2",""
"21","vo_lsv_0128","vo_lsv","1009801057","0","","","1009801","0","",""
"11","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","122711","1009801058","10","0","0","1009801","1","0","1"
"91","","0","1009801059","","","","1009801","","",""
"3","lsv_idle_normal","122711","1009801060","1","","","1009801","","0.2",""
"3","lsv_hello","122811","1009801061","0","","0.2","1009801","lsv_idle_normal","0","1"
"3","lsv_hello","122911","1009801062","0","","0.2","1009801","lsv_idle_normal_joyR","0","1"
"21","vo_lsv_0129","vo_lsv","1009801063","0","","","1009801","0","",""
"11","好──！","122811","1009801064","10","0","0","1009801","1","0","1"
"11","好──！","122911","1009801065","10","0","0","1009801","1","0","1"
"91","","0","1009801066","","","","1009801","","",""
"3","lsv_idle_normal","122711","1009801067","1","","","1009801","","0.2",""
"3","lsv_talk_surprise","122911","1009801068","1","","","1009801","","0.2",""
"21","vo_lsv_0130","vo_lsv","1009801069","0","","","1009801","0","",""
