12158744c0e9a09557e8f75b3217734adf37f127c4fb7642e02de528b419dcdc,713c0708f5427079d6157878a730710930829d3fba180797e9dbe4d3f6926dc8,2168a9a8dd498680a69d2cb78d50c42e78b921d4c7dff6667a54d2e240e5c16f,5ca9f84675026cfd16dc8b972685cfb0ff7393303c285cf27e111c4ebb2a7189,0e13624b308dfc96478f3db0d75ceaa2a35ee3ca702571519b9e521ad1d28965
"1","5000000","100101","12","94002"
"2","2000","100102","2","90008"
"3","20","100103","2","25001"
"4","2500","100104","2","90008"
"5","30","100105","2","25001"
"6","300","100106","8","91002"
"7","1","100107","2","41000"
"8","5000000","100108","12","94002"
"9","1000000","100109","12","94002"
"10","1000000","100110","12","94002"
"11","1000000","100111","12","94002"
"12","400","100112","2","20004"
"13","300","100113","2","20004"
"14","200","100114","2","20004"
"15","1000000","100115","12","94002"
"16","1000000","100116","12","94002"
"17","1000000","100117","12","94002"
"18","400","100118","2","20004"
"19","300","100119","2","20004"
"20","200","100120","2","20004"
"21","1000000","100121","12","94002"
"22","1000000","100122","12","94002"
"23","1000000","100123","12","94002"
"24","400","100124","2","20004"
"25","300","100125","2","20004"
"26","200","100126","2","20004"
"27","5000000","100201","12","94002"
"28","2000","100202","2","90008"
"29","20","100203","2","25001"
"30","2500","100204","2","90008"
"31","30","100205","2","25001"
"32","300","100206","8","91002"
"33","1","100207","2","41000"
"34","5000000","100208","12","94002"
"35","1000000","100209","12","94002"
"36","1000000","100210","12","94002"
"37","1000000","100211","12","94002"
"38","400","100212","2","20004"
"39","300","100213","2","20004"
"40","200","100214","2","20004"
"41","1000000","100215","12","94002"
"42","1000000","100216","12","94002"
"43","1000000","100217","12","94002"
"44","400","100218","2","20004"
"45","300","100219","2","20004"
"46","200","100220","2","20004"
"47","1000000","100221","12","94002"
"48","1000000","100222","12","94002"
"49","1000000","100223","12","94002"
"50","400","100224","2","20004"
"51","300","100225","2","20004"
"52","200","100226","2","20004"
"53","5000000","100301","12","94002"
"54","2000","100302","2","90008"
"55","20","100303","2","25001"
"56","2500","100304","2","90008"
"57","30","100305","2","25001"
"58","300","100306","8","91002"
"59","1","100307","2","41000"
"60","5000000","100308","12","94002"
"61","1000000","100309","12","94002"
"62","1000000","100310","12","94002"
