d2bc9f4dd40d2be54a6e40212d35280938a93a8acfa96606ab4a1b2e802c2da2,4600de5507c7e87125ccb2febb717c559338a33e78505899c13cb72c053bff6e,628607e8f264883fd8ed20ef9cae054b0a6a0cf06c431177fbe04de194f7700a,413bd473e63ffd62b99b5112b4192b96bfc8467a0c5ca7436710548e8c0517e4,6c60d037867ec9129f553af19e03c8d6e3e1f3bbd050b999c795390af109df40,aea3d6a03a9bf9c22b61f1a442f7469524ad3b9c04e0ad7063812a996f9876d1,966f6f23d0957a17cc13c2d38748b606609715da794027a0519a80f7cfc565de,52db5985211f1d7590aa3d9617b2f96bd02eee7b0eca2115c7a92ad696f7c9fa,13a4353800758d1db8fb5724edda146fabf1480e150f3c6f937856b672a99aa4,acd2fd4d6ab3830f7042aca298468780c477d5dd44a384efd00e18977833620c,d2c017285083489ac1eeccfb10c16b8a9e7b2d0998f6a6f556b64088ddb0212b,02537fbeeda4a70a3d242b6673f9cb6aa0f32dc7e0d2a83aa50451be1082b739
"1","-1","1","100101","100","1","-1","1","1","3","1","13"
"1","-1","1","100201","130","1","-1","1","1","4","1","15"
"1","-1","1","100301","160","1","-1","1","1","4","1","17"
"1","-1","1","100401","180","1","120","1","1","4","1","19"
"1","-1","1","100402","180","1","-1","1","1","4","1","19"
"1","-1","1","100501","200","1","150","1","1","4","1","21"
"1","-1","1","100502","200","1","-1","1","1","4","1","21"
"1","-1","1","100601","220","1","180","1","1","5","1","23"
"1","-1","1","100602","220","1","-1","1","1","5","1","23"
"1","-1","1","100701","240","1","210","1","1","5","1","25"
"1","-1","1","100702","240","1","-1","1","1","5","1","25"
"1","-1","1","100801","260","1","240","1","1","5","1","27"
"1","-1","1","100802","260","1","-1","1","1","5","1","27"
"1","-1","1","100901","280","1","270","1","1","5","1","29"
"1","-1","1","100902","280","1","-1","1","1","5","1","29"
"1","1","1","101001","300","1","300","1","1","6","1","32"
"1","-1","1","101002","300","1","300","1","1","6","1","32"
"1","-1","1","101003","300","1","-1","1","1","6","1","32"
"1","1","1","101004","300","1","300","1","1","5","1","32"
"1","-1","1","101005","300","1","300","1","1","5","1","32"
"1","-1","1","101006","300","1","-1","1","1","5","1","32"
"1","1","1","101101","310","1","300","1","1","6","1","32"
"1","-1","1","101102","310","1","300","1","1","6","1","32"
"1","-1","1","101103","310","1","-1","1","1","6","1","32"
