29196f940caacb9242be6f7c92e219065dc5fb90c9e2c561bcbd44a9bf0ff588,5102e5580f91d675a94be661be408504df8b6752110cd9f59621baad7f804668,b22b994922aad692b580e60929a537857f9c5d4eec2e7472a5ccca50d53f48df,dd4cb16dbc31efe2a19f936f2dce6dda4b538386fd37a91cb553a5b0d36d7e39,d5e4c03008906f19ea892310b63e7a62a2221acc8e000e383a435d1892af582d,b1c60f721a4be1e9dda80cc81b85a745fa5a86eb015450aef899f8ea99781dea,4e76e6fe64be663eafaa44ac48bdc8f48325d3379ea425d1df271e43c87a1c0c,e1eb06f81f6326e13860ced61d1fa79f8bdb0f585fa651428c983c491b6e71a2,ddfa41a3e1e8c8aefde659f3a56b5a0c0cefd54a72446974c55c3687fc28222f,2bde06cb1498f65e3f9a8e3510936f482d461ecae53e487f9d6d994edc3dc39b,72e98b91cfd675213c86ff76f2b15cef5283268b957b2a2f13b6ae3c582ce3c4,fd0e96270abf3eeb592cb1fb9e06c6fdfdaa13ec4ebc6d947547c10da1a59c50,da80454a58464f1610b687ab1fc7d229bfd31d53486e9bb7a644aac4aca8fd7d
"3100101","","","31001_01","","","","","29","1","","",""
"3100101","","","31001_03","","","","","59","30","","",""
"3100101","","","31001_05","","","","","-1","60","","",""
"3100102","","","31001_01","","","31001_01","","29","1","","",""
"3100102","","","31001_03","","","31001_03","","59","30","","",""
"3100102","","","31001_05","","","31001_05","","-1","60","","",""
"3100103","","","31001_01","","","31001_01","","29","1","31001_01","",""
"3100103","","","31001_03","","","31001_03","","59","30","31001_03","",""
"3100103","","","31001_05","","","31001_05","","-1","60","31001_05","",""
"3100104","","","31001_01","","31001_01","31001_01","","29","1","31001_01","",""
"3100104","","","31001_03","","31001_03","31001_03","","59","30","31001_03","",""
"3100104","","","31001_05","","31001_05","31001_05","","-1","60","31001_05","",""
"3100201","","","61003_01","","","61003_02","","29","1","","",""
"3100201","","","61003_03","","","61003_04","","49","30","","",""
"3100201","","","61003_05","","","61003_06","","79","50","","",""
"3100201","","","61003_07","","","61003_08","","99","80","","",""
"3100201","","","61003_09","","","61003_10","","109","100","","",""
"3100201","","","61003_11","","","61003_12","","119","110","","",""
"3100201","","","61003_13","","","61003_14","","129","120","","",""
"3100201","","","61003_15","","","61003_16","","139","130","","",""
"3100201","","","61003_17","","","61003_18","","149","140","","",""
"3100201","","","61003_19","","","61003_20","","159","150","","",""
"3100201","","","61003_21","","","61003_22","","169","160","","",""
"3100201","","","61003_23","","","61003_24","","179","170","","",""
"3100201","","","61003_25","","","61003_26","","189","180","","",""
"3100201","","","61003_27","","","61003_28","","199","190","","",""
"3100201","","","61003_29","","","61003_30","","209","200","","",""
"3100201","","","61003_31","","","61003_32","","219","210","","",""
"3100201","","","61003_33","","","61003_34","","229","220","","",""
"3100201","","","61003_35","","","61003_36","","239","230","","",""
"3100201","","","61003_37","","","61003_38","","249","240","","",""
"3100201","","","61003_39","","","61003_40","","259","250","","",""
"3100201","","","61003_41","","","61003_42","","269","260","","",""
"3100201","","","61003_43","","","61003_44","","279","270","","",""
"3100201","","","61003_45","","","61003_46","","289","280","","",""
"3100201","","","61003_47","","","61003_48","","299","290","","",""
"3100201","","","61003_49","","","61003_50","","309","300","","",""
"3100201","","","61003_51","","","61003_52","","-1","310","","",""
