7b9b81c5026a4d68135c1ffb9548d5f8c4ce821eef42628eb0beb5d179d061f9,1dc007bcfadff9929f02d043773d933ca74195215aaae9bbb6472deb2747ad9f,17d623fcfe0cfef54208dfd3e12e2ecb41df3eaa509ba70bb6d7f0c572a0b46a,5ef2b38a732b2e443bb8460dd3f79019457fcf8fea4f991fdf3dfd8361076032,42a6d9f53a45ec498df28a7d6af3d5c0e8b5de5890bff8fc20c33c3ff41702d5,05f7d7e6bc170c224493c1edbe65be60357961aedd090ee522563e524dffb617,3a1b48b1c40a2a5dd1cee16c2c3f6f52eeea737903611b09f82f40d80c84b78d,adf995d2a0ce73d2a77c8f05e73f5ddeb9fd5f5966cefb8c506d98d69ba33e1d
"70000","1","110001","111","110001","90110001","0","完成石像鬼（EASY）"
"70000","1","110002","112","110001","90110002","0","完成石像鬼（NORMAL）"
"70000","1","110003","113","110001","90110003","0","完成石像鬼（HARD）"
"70000","1","110004","114","110001","90110004","0","完成石像鬼（VERY HARD）"
"70000","1","110005","115","110001","90110005","0","完成石像鬼（EXTREME）"
"70000","1","120001","121","110001","90120001","0","完成法師石像鬼（EASY）"
"70000","1","120002","122","110001","90120002","0","完成法師石像鬼（NORMAL）"
"70000","1","120003","123","110001","90120003","0","完成法師石像鬼（HARD）"
"70000","1","120004","124","110001","90120004","0","完成法師石像鬼（VERY HARD）"
"70000","1","120005","125","110001","90120005","0","完成法師石像鬼（EXTREME）"
"70000","1","130001","131","110001","90130001","0","完成守衛石像鬼（EASY）"
"70000","1","130002","132","110001","90130002","0","完成守衛石像鬼（NORMAL）"
"70000","1","130003","133","110001","90130003","0","完成守衛石像鬼（HARD）"
"70000","1","130004","134","110001","90130004","0","完成守衛石像鬼（VERY HARD）"
"70000","1","130005","135","110001","90130005","0","完成守衛石像鬼（EXTREME）"
"70000","1","140001","141","110001","90140001","0","完成石像鬼‧炸裂（EASY）"
"70000","1","140002","142","110001","90140002","0","完成石像鬼‧炸裂（NORMAL）"
"70000","1","140003","143","110001","90140003","0","完成石像鬼‧炸裂（HARD）"
"70000","1","140004","144","110001","90140004","0","完成石像鬼‧炸裂（VERY HARD）"
"70000","1","140005","145","110001","90140005","0","完成石像鬼‧炸裂（EXTREME）"
"70000","1","150001","151","110001","90150001","0","完成石像鬼‧魔幻（EASY）"
"70000","1","150002","152","110001","90150002","0","完成石像鬼‧魔幻（NORMAL）"
"70000","1","150003","153","110001","90150003","0","完成石像鬼‧魔幻（HARD）"
"70000","1","150004","154","110001","90150004","0","完成石像鬼‧魔幻（VERY HARD）"
"70000","1","150005","155","110001","90150005","0","完成石像鬼‧魔幻（EXTREME）"
