0f4f3766a3619fbf264937d408b452fa983fe072b69b88f553acec6a7e8c72cf,84997a2c43ba17eb41e035f960d5735ac5ad7486947c093aac346c7503c456f6,c04cf0f2d10addbb451616af9ab5526cdca17d3328c77d46f91f6ea68b92c402,2637dc0d3eb0bebe890a8b93cc22de8a2c8a105ba6d8598b8f3f72884dc3b3e0,d0d6e840db47ba29d1ff45f072392f8d8ec8afb4c9d4204a46c66b1d4ede3670,16cd1648992e8d7c543c9f8daa578038c50a277a7c0a770203833764c7000d3f,1c6f34a043ed2950bb9e63ed77c5668ddcd87ef59d8af37a9b1083e596d9fc4a,824ea0dd35fe00a476165b02febfdb01e8116366d1253d331fea33a7d0aaf578,5620401983d8b3b92d152f36964b9c208dba4206f7f2465c5789a14088647c06,dd1915bcce89c1b7d280043bbd0a558cf9e750d2ddc96b5d446eb20153665a71,be9a6b5e3d373ef327440874f7fb9217ff236c5bd10f2816ab464f65bae74644,462665f12c352e20516ad127abc2834ad3619c131b787743c0a90483d18fdf81,4e6f9bc1f369f1c8a954c286bb4d4725ad3826ea22e14230bcc9ba1adba7b3d3,fe991dda9a5d1830264b874575e55039cb5477a5b0c374add04c1ff7ddc6742e
"2023/11/01 16:00:00","10001","126401","2024/01/16 15:59:59","1","1","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","1.47","1","克蘿茜","2002","2","0","-470"
"2023/11/01 16:00:00","10002","126401","2024/01/16 15:59:59","2","2","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","2.15","1","克蘿茜","2002","1","0","-470"
"2023/11/01 16:00:00","10003","126501","2024/01/16 15:59:59","1","2","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","0","1","萊拉耶爾","2002","2","0","-470"
"2023/11/01 16:00:00","10004","126501","2024/01/16 15:59:59","2","1","還請在此商店\n購買東西，\n享受愉快的旅途吧","0","1","萊拉耶爾","2002","1","0","-470"
"2024/01/16 16:00:00","10005","127702","2024/04/23 15:59:59","1","2","歡迎光臨\n可以利用巡遊幣\n來買東西喔","0","2","琳德","2002","2","0","-470"
"2024/01/16 16:00:00","10006","127702","2024/04/23 15:59:59","2","2","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","0","2","琳德","2002","2","0","-470"
"2024/01/16 16:00:00","10007","127802","2024/04/23 15:59:59","1","1","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","0","2","烏爾姆","2002","1","0","-470"
"2024/01/16 16:00:00","10008","127802","2024/04/23 15:59:59","2","2","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","6.5","2","烏爾姆","2002","1","0","-470"
"2024/04/16 16:00:00","10009","129602","2024/07/23 15:59:59","1","2","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","0","3","安涅默涅","2002","1","0","-470"
"2024/04/16 16:00:00","10010","129602","2024/07/23 15:59:59","2","2","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","0","3","安涅默涅","2002","1","0","-470"
"2024/04/16 16:00:00","10011","129701","2024/07/23 15:59:59","1","1","歡迎光臨\n用巡遊幣在這裡進行交換吧","0","3","涅妃‧涅羅","2002","1","0","-470"
"2024/04/16 16:00:00","10012","129701","2024/07/23 15:59:59","2","2","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","6.2","3","涅妃‧涅羅","2002","1","0","-470"
"2024/07/16 16:00:00","10013","130301","2024/10/23 15:59:59","1","3","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","3.1","4","華音","2002","5","0","-470"
"2024/07/16 16:00:00","10014","130301","2024/10/23 15:59:59","2","3","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","6.15","4","華音","2002","2","0","-470"
"2024/07/16 16:00:00","10015","130401","2024/10/23 15:59:59","1","2","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","0","4","拿娜","2002","2","0","-470"
"2024/07/16 16:00:00","10016","130401","2024/10/23 15:59:59","2","2","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","3.35","4","拿娜","2002","1","0","-470"
"2024/10/16 16:00:00","10017","130502","2025/01/23 15:59:59","1","1","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","0","5","鳳凰","2002","1","0","-470"
"2024/10/16 16:00:00","10018","130502","2025/01/23 15:59:59","2","2","我可沒有對外販售\n喊小鳳的權利哦？\n這是騎士先生的特別待遇！","3.18","5","鳳凰","2002","1","0","-470"
"2024/10/16 16:00:00","10019","130503","2025/01/23 15:59:59","3","4","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","0","5","鳳凰","2002","4","0","-470"
"2024/10/16 16:00:00","10020","123301","2025/01/23 15:59:59","1","1","你好～♪\n什麼都可以交換～\n小卡里莎除外。","4.9","5","涅婭","2002","2","0","-470"
"2024/10/16 16:00:00","10021","123301","2025/01/23 15:59:59","2","1","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","4.8","5","涅婭","2002","2","0","-470"
