419f970c355a9874e4a55089e03da2324ca8f1723bf22c4d67c6ab49660f0dd2,6c04775ca93f6a1efedde84bd3bc9589f5854ab9f6e4c79d44a1d78d733b97e1,9c95a3ac3dd6f94f6d9e66602aa1eb9e679f5af07775407afed8bbe544f69987,dd371440b5bb176ccae3fc274f37d0ec176e113a039f6cfbf0c372dafac430c8,cd7caed4ed2cc03f287b4dd0693fc8277debab2b72446037ec858a1291bbc11d,be4f1a6317603832ebe046fc3eed8fe5538ec0d66071f26e61f555da4442519a,aa269bff0538b305e99d2098f8ef43cd8bb35883930ba2b80a13ee69ca66d9e5,ed17d4fb3a5c39ebdd9aa778ac51faf9b53c301c4b48229fa064eba45cc7d825,a58fbcec5df35df54b03a8928526234282fabbd0e256c5b1f4e3c16621e0ef49,40c82292b1dc216d93b1a68ddcb73a04319e99cabf260b0b7a57f232e8e32093,a6ccfff105fe4a4b08e987f1d8e651bd5d99591b3d148eb5475fbf4671f960da,f0cde49edb15d070e36a99f68b9b6ac87ef7f10bc094d9cb38707a1a42c82cb5,7bef8542350ea82e69bc2be6b2655c34893c265ed01231c4153c8420dfd0ccc6,9d17e615cf7c68c31df5ca5ec36e8a9de033f2eb38317e3aa6141608656e78eb,b11b6c32a9f5458db6c22de39d2286ef0f542a52eaebbbad81a89baa0deb2f3e,f521849c959312d79f7d0a55235c5e330dd559c9131f492d96c9004ff3b68595,e0dc96b29c55f6a9c1168123603f0cd346970994d9b71448a5d57a7c1531f121,0f0df619a3462d67f2d79503ac3935c149fb4af12bce44d8cc04d3e8e164998e,12c8ce234f79b951d560a08a2e3f447e65af51136ae5af25cab3da1d206154f7,a7b4329080c04ed50346251dd163b18bcece6bec0cff72366c000336f25aeda9,cee071957811791d936f8be3fba6772340ce485088069af307d1cb1af788299f,012415764a8fad1df2edf71a11abff05b5bdf6bea2156ca5c05c98e2a1023d92,72d57ce9b861e6da7773abdf6533d16390d465f4520f871d74619a853b67c2f6,f074d7f7f4654b7b3162607aafb3fd2fa720fa3a7f7c0c439096a1d40c0a345c,53ecb0bcbd3011281a7e98b5857d274bcb93033684da9e7e03b72645fb3bad83,5be666e89b7165f6ca15d80f15f80f25e524e24326ba3e2d88946abc23d83022,bd96f9c72be4d3f72170dd2fc9cef231113df43881bc88d1f88ba7eb95464603,26c8cd678498deb82043ec8a0cfa8701f42419ff2ab3153018d9f725174b064f,530cfd9346c7990505ee322050edc91525e187f0e6028009462569ea8d6bdeeb,91eb1f7a76b32afc2acf085f6e7b51617f38c58ef2cb5880af25134eafeb6649,6dbcea208cf43f7f96cc79c3a2576ae65d0d8e7376e67b25a259a8f0af60fd68,0df7ceee9c9050dc63707fd408b8047301179129dba6d646ad1763afc9bdd0b2,49af7d039d363b4f525a455c0a5efc23bf5a0b45fd2417f10edbbcdd126ceb4b,a3f02a70d394bbe2f6121e44fae8555a0a83bb300ca855422d7ff036520b72df,d90e7c3786a408ca1e4fb0656f69dbb3a7f0841568a1fc448f7de0a2426d5dac,9bc007d20048005799b6e959101fa9d33d4cd79376da9066c3361413e6899c07,e72ac8f7bb9716757afce0529bb6023a3cf45ec1da6e2a4de54c89fa50bcb075,51ad96dd34f4c55384d592d5a2bc0e3f6fa62730ed3ffff01528d356c2232107,8cee329f09a3210fe3fe2adc3d677b102f045f479f9cf458751f0e4b0b00a77b,717b08eee20aa136e7fe772286af00d1817ca3d73627c62053cd87be4d8a6f5a,76c8f14ce2b6dd559c50868bd46672cbeff3f4105d981f1d38e705568f27378c,6edc27db3bb5e41f9149d0a17290b7690f9492f8fb67f76fbbda61da2872d7c2,68b5851c0d07324e6829a49adea19acc9c30fe032fd10d7a66a8f76cba66f13c,d692be7fc68bb21bf19b84d3b9eaaaabf9a63e8774b000640581e3bbb6a631b5
"100","50","100","0","50","0","50","0","0","50","100","10","0","0","50","0","0","50","0","300000008","100","0","100","50","0","0","100","316800","0","803100201","0","6500000","50","1","0","1","0","0","50","0","50","0","0","黑之王賈巴沃克"
"100","100","100","0","100","0","400","0","100","100","100","50","0","0","400","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100202","0","600000","50","1","0","1","0","0","100","0","100","0","0","部位A"
"100","100","100","0","100","0","200","0","100","100","100","50","0","0","200","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100203","0","400000","50","1","0","1","0","0","100","0","100","0","0","部位B"
"100","100","100","0","100","0","100","0","100","100","100","50","0","0","100","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100204","0","200000","50","1","0","1","0","0","100","0","100","0","0","部位C"
"200","300","200","0","300","0","200","0","0","300","300","30","0","0","200","0","0","300","0","300000008","200","0","5000","300","0","0","5000","316800","0","803100205","0","13000000","50","1","0","1","0","0","300","0","300","0","0","黑之王賈巴沃克"
"100","100","100","0","100","0","800","0","100","100","100","50","0","0","800","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100206","0","1200000","50","1","0","1","0","0","100","0","100","0","0","部位A"
"100","100","100","0","100","0","400","0","100","100","100","50","0","0","400","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100207","0","800000","50","1","0","1","0","0","100","0","100","0","0","部位B"
"100","100","100","0","100","0","200","0","100","100","100","50","0","0","200","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100208","0","400000","50","1","0","1","0","0","100","0","100","0","0","部位C"
"300","500","300","0","500","0","300","0","50","500","500","50","0","0","300","0","0","500","0","300000008","300","0","15000","500","0","0","15000","316800","0","803100209","0","20000000","50","1","0","1","0","0","500","0","500","0","0","黑之王賈巴沃克"
"100","100","100","0","100","0","900","0","100","100","100","50","0","0","1600","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100210","0","2400000","50","1","0","1","0","0","100","0","100","0","0","部位A"
"100","100","100","0","100","0","600","0","100","100","100","50","0","0","800","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100211","0","1600000","50","1","0","1","0","0","100","0","100","0","0","部位B"
"100","100","100","0","100","0","300","0","100","100","100","50","0","0","400","0","0","100","0","300000008","100","0","1000","100","0","0","1000","316800","0","803100212","0","800000","50","1","0","1","0","0","100","0","100","0","0","部位C"
"50","50","50","0","50","0","50","0","50","50","140","10","0","0","50","0","0","50","0","300000008","0","0","100","50","0","0","100","316900","0","803100213","0","8000000","50","1","0","1","0","0","50","0","50","0","0","失控的純潔之弓"
"300","300","300","0","300","0","200","0","300","300","340","30","0","0","200","0","0","300","0","300000008","0","0","1500","300","0","0","1500","316900","0","803100214","0","16000000","50","1","0","1","0","0","300","0","300","0","0","失控的純潔之弓"
"500","500","500","0","500","0","250","0","500","500","540","50","0","0","300","0","0","500","0","300000008","25","0","3000","500","0","0","3000","316900","0","803100215","0","24000000","50","1","0","1","0","0","500","0","500","0","0","失控的純潔之弓"
"50","50","50","0","50","0","0","0","50","50","120","10","0","0","0","0","0","50","0","300000008","0","0","500","50","0","0","500","317000","0","803100216","0","6500000","50","1","0","1","0","0","50","0","50","0","0","幻影男爵"
"300","300","300","0","300","0","100","0","300","300","320","30","0","0","100","0","0","300","0","300000008","0","0","5000","300","0","0","5000","317000","0","803100217","0","13000000","50","1","0","1","0","0","300","0","300","0","0","幻影男爵"
"500","500","500","0","500","0","300","0","500","500","520","50","0","0","400","0","0","500","0","300000008","50","0","10000","500","0","0","10000","317000","0","803100218","0","20000000","50","1","0","1","0","0","500","0","500","0","0","幻影男爵"
