75047a2b26f740ddb4d957374e59f2cd91ad7c5bad75c22115d53cca09fd37e5,d1cb8bd43d7bdf9fe32bad2f85486776276e5e55dd4cd6bc1f144d0c78987581,be9df8e5519a88305e7bc2056357bc2fce79f63a8f297145cbed997bed8c9d09,76f141c49f7d5e543e1168932f0bb270d9ad1430c110d23afcfc23ee99381443,5b04f014c2be015999efbeef219f61cd64a9dfa0bec587db256577e0fe667735,d74306d46c5dc270165d2e9ef02d172574a80c63f60ffea9444f4307a7874f72,1758ae40bb7c93f55970d929dd9d21e0f0dba7645013ba3e209a88a55bb860a1
"2500","1","取得累積分數2500分","50000","94002","5126700","12"
"5000","1","取得累積分數5000分","50000","94002","0","12"
"7500","1","取得累積分數7500分","50000","94002","0","12"
"10000","1","取得累積分數10000分","1","2839","5126701","7"
"12500","1","取得累積分數12500分","80000","94002","0","12"
"15000","1","取得累積分數15000分","80000","94002","0","12"
"17500","1","取得累積分數17500分","80000","94002","0","12"
"20000","1","取得累積分數20000分","25","91002","5126702","8"
"22500","1","取得累積分數22500分","100000","94002","0","12"
"25000","1","取得累積分數25000分","100000","94002","0","12"
"27500","1","取得累積分數27500分","100","91002","0","8"
"30000","1","取得累積分數30000分","1","11001262","5126703","15"
"2500","2","取得累積分數2500分","50000","94002","5126710","12"
"5000","2","取得累積分數5000分","50000","94002","0","12"
"7500","2","取得累積分數7500分","50000","94002","0","12"
"10000","2","取得累積分數10000分","1","2840","5126711","7"
"12500","2","取得累積分數12500分","80000","94002","0","12"
"15000","2","取得累積分數15000分","80000","94002","0","12"
"17500","2","取得累積分數17500分","80000","94002","0","12"
"20000","2","取得累積分數20000分","25","91002","5126712","8"
"22500","2","取得累積分數22500分","100000","94002","0","12"
"25000","2","取得累積分數25000分","100000","94002","0","12"
"27500","2","取得累積分數27500分","100","91002","0","8"
"30000","2","取得累積分數30000分","1","11001263","5126713","15"
