289e83913114cadca8a44c373cef4ba5190d6fe5134cfe92577285dbf6dec3f4,ae8584b19eb9780db90ae0bcbb05dd5abd6245292acb296f504a88789c6da1b5,6cab8c2d493fbc7db28a0e5fa418c01690bcb7aefffd94c5450076f859c80b20,4e1ad58c62a7e040c0e681a748c2d74e44eb0e151f6ec8057ee33539830eb930,41dda12df116deed3cc96cb7a7929b1bd4b20e6270aac650aba62cd591c77d91,190dbb3dddfd85be5de6cb97119fcc53ec06f29481496b3cff6c38af5f888485,ab2918f0b679cb2de39fe39d7138ecd6c60458c52cd7be4ff40097669834c1e5,3ab945fb10d115be2909eb56ee1f9969f5da7721cda711203f33c56139e9b23e,6c494825f6e268ca144f41d72d36470ef5463f8d55ff2b490e212a7b5641c10c,39c05e95407e19fc6973408bb90b75e1ce0e545b20ebd0adb7278d0f23766a9b,9012f5a7bc6a7acdcc34a0d8d0c4351d0fc8b027455c23b1e4601658789439cd,3aaa3786fc482aef31996c7deb4347f22db4d5394317c1b6ddb463cb4956474b,5c1e8af02cf7383f5bf3af48fbb0385af355681af4d06e9177334a2886ccdc2f,0c756a60e6aa204524dee61b6cb09a557891e462f8cabf837d3f0762711e4fc5,9ff7176ab22e43f6658f9da81d28075d350181bd51dea907a7906e32e7a2fce0,90ccf4dc80ff8c9d13614c6ead34977c66109a4690c2af1fb8ea51a10acd5de8,e11d8e3a4520c3517a09d917a8315b9d488cbaf48d2382c2d4cea270c554d50d,5c1901b49549e0c898c054d05867b408e4a50387b66151cdb5ef97065f4fd97f,7111b30743a1f722affcd67bc9ce579456eb9e74a9302771362f51ef538aa7ff
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","200","2","2","0","240701","25014","2","1000000000","10","25102","2","92407","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240702","25012","2","2000000000","300","25021","2","92407","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","500","2","2","0","240703","25014","2","3000000000","10","25102","2","92407","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240704","25012","2","4000000000","500","25021","2","92407","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240705","25014","2","5000000000","10","25102","2","92407","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240706","25012","2","6000000000","1000","25021","2","92407","1000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240707","25014","2","7000000000","10","25102","2","92407","3000","0"
"3000","0","abyss_reward_icon_astralshard","25013","25011","3000","2","2","0","240708","25012","2","8000000000","1000","25021","2","92407","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240709","25014","2","9000000000","10","25102","2","92407","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25012","25021","1000","2","2","0","240710","25011","2","10000000000","10","25102","2","92407","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240711","25013","2","12000000000","10","25102","2","92407","3000","0"
"3000","0","abyss_reward_icon_astralshard","25014","25011","3000","2","2","0","240712","25012","2","16000000000","1000","25021","2","92407","3000","0"
"3000","0","abyss_reward_icon_astralshard","25015","25013","3000","2","2","0","240713","25014","2","20000000000","1000","25021","2","92407","3000","0"
"3000","0","abyss_reward_icon_astralshard","25013","25011","3000","2","2","0","240714","25012","2","25000000000","1000","25021","2","92407","3000","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240715","0","0","30000000000","10","90005","0","92407","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240716","0","0","35000000000","20","90005","0","92407","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240717","0","0","40000000000","30","90005","0","92407","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240718","0","0","50000000000","50","90005","0","92407","0","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","200","2","2","0","240801","25014","2","1000000000","10","25102","2","92408","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240802","25012","2","2000000000","300","25021","2","92408","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","500","2","2","0","240803","25014","2","3000000000","10","25102","2","92408","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240804","25012","2","4000000000","500","25021","2","92408","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240805","25014","2","5000000000","10","25102","2","92408","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240806","25012","2","6000000000","1000","25021","2","92408","1000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240807","25014","2","7000000000","10","25102","2","92408","3000","0"
"3000","0","abyss_reward_icon_astralshard","25013","25011","3000","2","2","0","240808","25012","2","8000000000","1000","25021","2","92408","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240809","25014","2","9000000000","10","25102","2","92408","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25012","25021","1000","2","2","0","240810","25011","2","10000000000","10","25102","2","92408","3000","0"
"3000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240811","25013","2","12000000000","10","25102","2","92408","3000","0"
"3000","0","abyss_reward_icon_astralshard","25014","25011","3000","2","2","0","240812","25012","2","16000000000","1000","25021","2","92408","3000","0"
"3000","0","abyss_reward_icon_astralshard","25015","25013","3000","2","2","0","240813","25014","2","20000000000","1000","25021","2","92408","3000","0"
"3000","0","abyss_reward_icon_astralshard","25013","25011","3000","2","2","0","240814","25012","2","25000000000","1000","25021","2","92408","3000","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240815","0","0","30000000000","10","90005","0","92408","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240816","0","0","35000000000","20","90005","0","92408","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240817","0","0","40000000000","30","90005","0","92408","0","0"
"0","0","abyss_reward_icon_hiseki","0","0","0","2","0","0","240818","0","0","50000000000","50","90005","0","92408","0","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","200","2","2","0","240901","25014","2","1000000000","10","25102","2","92409","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240902","25012","2","2000000000","300","25021","2","92409","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","500","2","2","0","240903","25014","2","3000000000","10","25102","2","92409","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240904","25012","2","4000000000","500","25021","2","92409","1000","0"
"1000","0","abyss_reward_icon_masterpieces_piece","25015","25021","1000","2","2","0","240905","25014","2","5000000000","10","25102","2","92409","1000","0"
"1000","0","abyss_reward_icon_astralshard","25013","25011","1000","2","2","0","240906","25012","2","6000000000","1000","25021","2","92409","1000","0"
