e4d46839c7120eb731cf2c55579f1a839aa1bb1dc78e45808b49cfbd763934c9,6b07521183064aa37b5cc3bdc808976ff3d52304fb6d8c96672d1b9b7f2241d3,3e07720242f0899755e27a5a085f5d01596f2aaeb3c60c65e13728207a6e6f27,b4332687ad0326448e71819c6ce493dcd9b5c3278d1a41d25cb7eb6faf605a46,f0c73b4ebc5631d41d79cd251f7e61ffffe82332a189cc9fed6982895d0861ff,b3d8a5de6e5d05d060370f7f0d2f4bc1b42ea785ae0c5931aaa326014234adae,a07bc85596ed6ff257a3e93a8da895fb23dacbe06569186cfb5ebe04832706ca,1f10e283054a81458c15091360102cf8375a7d630840c583783953302f3cbac9,87c76ee8ea4c9d758cd777a7b376861e100ebd0be85523bf90a4d9db44dfb2d7,effab3397fce54cee68980ce8e453d0e0bf5ed148a1ac229d636a9f3a0227c9e,008b7bcbf646191b8ecd94feb44653b372f32535efb1de198bdb59700d63f62c
"30001","0","380000","1","1","0","380000","0","2018/08/08 15:59:59","0","2015/04/01 15:00:00"
"30002","0","380000","2","1","0","380000","0","2018/08/20 15:59:59","0","2018/08/08 16:00:00"
"30003","0","380000","3","1","0","380000","0","2018/08/31 15:59:59","0","2018/08/20 16:00:00"
"30004","0","380000","4","1","0","380000","0","2018/09/14 15:59:59","0","2018/08/31 16:00:00"
"30005","0","380000","5","1","0","380000","0","2018/09/21 15:59:59","0","2018/09/14 16:00:00"
"30006","0","380000","6","1","0","380000","0","2018/10/09 15:59:59","0","2018/09/21 16:00:00"
"30007","0","380000","7","1","0","380000","0","2018/10/22 15:59:59","0","2018/10/09 16:00:00"
"30008","0","380000","8","1","0","380000","0","2018/11/08 15:59:59","0","2018/10/22 16:00:00"
"30009","0","380000","9","1","0","380000","0","2018/11/15 15:59:59","0","2018/11/08 16:00:00"
"30010","0","380000","10","1","0","380000","0","2018/11/30 15:59:59","0","2018/11/15 16:00:00"
"30011","0","380000","11","1","0","380000","0","2018/12/13 15:59:59","0","2018/11/30 16:00:00"
"30012","0","380000","12","1","0","380000","0","2018/12/27 15:59:59","0","2018/12/13 16:00:00"
"30014","0","380000","14","1","0","380000","0","2019/01/22 15:59:59","0","2019/01/09 16:00:00"
"30015","0","380000","15","1","0","380000","0","2019/02/01 11:59:59","0","2019/01/22 16:00:00"
"50018","0","380000","16","2","0","0","380000","2019/02/04 23:59:59","380000","2019/02/01 12:00:00"
"30016","0","380000","17","1","0","380000","0","2019/02/27 15:59:59","0","2019/02/13 16:00:00"
"30017","0","380000","18","1","0","380000","0","2019/03/13 15:59:59","0","2019/02/27 16:00:00"
"30019","0","380000","20","1","0","380000","0","2019/03/27 15:59:59","0","2019/03/13 16:00:00"
"30020","0","380000","21","1","0","380000","0","2019/04/03 15:59:59","0","2019/03/27 16:00:00"
"30021","0","380000","22","1","0","380000","0","2019/04/19 15:59:59","0","2019/04/03 16:00:00"
"30022","0","380000","23","1","0","380000","0","2019/05/07 15:59:59","0","2019/04/19 16:00:00"
"50023","0","380000","24","2","0","0","380000","2019/05/14 15:59:59","380000","2019/05/07 16:00:00"
"30025","0","380000","25","1","0","380000","0","2019/06/17 15:59:59","0","2019/06/03 16:00:00"
"30026","0","380000","26","1","0","380000","0","2019/07/01 15:59:59","0","2019/06/17 16:00:00"
"50027","0","380000","27","2","0","0","380000","2019/07/15 15:59:59","380000","2019/07/01 16:00:00"
"30028","0","380000","28","1","0","380000","0","2019/07/26 15:59:59","0","2019/07/15 16:00:00"
"30029","0","380000","29","1","0","380000","0","2019/08/01 15:59:59","0","2019/07/26 16:00:00"
"30031","0","380000","30","1","0","380000","0","2019/08/15 15:59:59","0","2019/08/01 16:00:00"
"30032","0","380000","31","1","0","380000","0","2019/08/28 15:59:59","0","2019/08/15 16:00:00"
"50033","0","380000","33","2","0","0","380000","2019/09/09 15:59:59","380000","2019/09/02 16:00:00"
"30035","0","380000","34","1","0","380000","0","2019/09/20 15:59:59","0","2019/09/17 16:00:00"
"30036","0","380000","35","1","0","380000","0","2019/10/01 15:59:59","0","2019/09/20 16:00:00"
"30037","0","380000","36","1","0","380000","0","2019/10/15 15:59:59","0","2019/10/01 16:00:00"
"30038","0","380000","37","1","0","380000","0","2019/10/18 15:59:59","0","2019/10/15 16:00:00"
"30039","0","380000","38","1","0","380000","0","2019/11/01 15:59:59","0","2019/10/18 16:00:00"
"30040","0","380000","39","1","0","380000","0","2019/11/15 15:59:59","0","2019/11/01 16:00:00"
"30041","0","380000","40","1","0","380000","0","2019/11/19 15:59:59","0","2019/11/15 16:00:00"
"30042","0","380000","41","1","0","380000","0","2019/12/02 15:59:59","0","2019/11/19 16:00:00"
"30043","0","380000","42","1","0","380000","0","2019/12/13 15:59:59","0","2019/12/02 16:00:00"
"30044","0","380000","43","1","0","380000","0","2019/12/16 15:59:59","0","2019/12/13 16:00:00"
"30046","0","380000","45","1","0","380000","0","2020/01/02 15:59:59","0","2019/12/30 16:00:00"
"30047","0","380000","46","1","0","380000","0","2020/01/10 15:59:59","0","2020/01/02 16:00:00"
"30048","0","380000","47","1","0","380000","0","2020/01/21 15:59:59","0","2020/01/10 16:00:00"
"50049","0","380000","48","2","0","0","380000","2020/01/28 15:59:59","380000","2020/01/21 16:00:00"
"30050","0","380000","49","1","0","380000","0","2020/02/04 15:59:59","0","2020/01/28 16:00:00"
"30052","0","380000","51","1","0","380000","0","2020/02/14 15:59:59","0","2020/02/04 16:00:00"
"30053","0","380000","52","1","0","380000","0","2020/02/19 15:59:59","0","2020/02/14 16:00:00"
"30054","0","380000","53","1","0","380000","0","2020/03/04 15:59:59","0","2020/02/19 16:00:00"
"30055","0","380000","54","1","0","380000","0","2020/03/13 15:59:59","0","2020/03/04 16:00:00"
"30056","0","380000","55","1","0","380000","0","2020/03/19 15:59:59","0","2020/03/13 16:00:00"
"30057","0","380000","56","1","0","380000","0","2020/04/01 15:59:59","0","2020/03/19 16:00:00"
"30058","0","380000","57","1","0","380000","0","2020/04/14 15:59:59","0","2020/04/01 16:00:00"
"30059","0","380000","58","1","0","380000","0","2020/04/22 15:59:59","0","2020/04/14 16:00:00"
"30060","0","380000","59","1","0","380000","0","2020/05/05 15:59:59","0","2020/04/22 16:00:00"
"50061","0","380000","60","2","0","0","380000","2020/05/08 15:59:59","380000","2020/05/05 16:00:00"
"30063","0","380000","61","1","0","380000","0","2020/05/22 15:59:59","0","2020/05/15 16:00:00"
"30064","0","380000","62","1","0","380000","0","2020/06/03 15:59:59","0","2020/05/22 16:00:00"
"30065","0","380000","63","1","0","380000","0","2020/06/15 15:59:59","0","2020/06/03 16:00:00"
"30066","0","380000","64","1","0","380000","0","2020/06/22 15:59:59","0","2020/06/15 16:00:00"
"50067","0","380000","65","2","0","0","380000","2020/07/02 15:59:59","380000","2020/06/22 16:00:00"
"30068","0","380000","66","1","0","380000","0","2020/08/06 15:59:59","0","2020/08/03 16:00:00"
"30069","0","380000","67","1","0","380000","0","2020/10/13 15:59:59","0","2020/09/30 16:00:00"
"30070","0","380000","68","1","0","380000","0","2020/10/26 15:59:59","0","2020/10/13 16:00:00"
"30071","0","380000","69","1","0","380000","0","2020/08/21 15:59:59","0","2020/08/17 16:00:00"
"30072","0","380000","70","1","0","380000","0","2020/07/13 15:59:59","0","2020/07/02 16:00:00"
