a4b0fdcff05b092a65ed77210c31a6164589e85aa62a70e0965fcc75cd6825cb,9bec7b3b280d0d7498bcd403c132a0353ca602485081239e31c0f98e9305a5e1,f4c1bd15331f5a1f18347a58b6f4541f4a5cf39c03e18496c17875d0e7f608e9,93bbc5fedbe41f57bf362969b208666b0e26acbd798e7cdc9ca15c80e9cda58a,12bcb497a18245ee88d6e8fc91daee03dcf1d12adcf0472c23aa278c0bd05291,f9bc3e92b7dfdc949423297d20d6f0e602b08680128416e8f864ea6fe3a463e9,148d25b75970416d8b9cb94cb57fc4d0ab3e9a89d3768dd1f670d6a8a92c5881,72d3e4bd61614f28b02e65c08fe66bbb8290414d31f0e443080ebd09d45c0b1b,56af36f567b7eb174469f83f9a55f388b79480874f15cb3cf571154a808831e8,4c2a8f05bb73da7ee2adafc49d954cca5bb172342d2e2a993334a984ef4a59dd,1bc04b1e7d383dd9089d9953c4c92380ef8d3a4a18d14db9f0df233f9333c2be,04ad54565afd8ef4ece4dfabebefdeddc233d7e746a93550bded759bdd7d3744
"1","0","3","1","0","4","1","0","0","1010001","0","0"
"1","0","0","2","vo_minigame_1005_nikki01_000","2","0","0","0","1010002","vo_minigame_1005","0"
"1","0","0","3","0","1","0","1","1.418","1010003","0","202"
"1","0","1","4","0","4","1.858","0","0","1010004","0","0"
"1","0","0","5","0","1","0","2","2.536","1010005","0","316"
"1","0","1","6","0","4","3.484","0","0","1010006","0","0"
"1","0","0","7","vo_minigame_1005_nikki01_001","2","0","0","0","1010007","vo_minigame_1005","0"
"1","0","0","8","0","1","0","3","1.131","1010008","0","183"
"1","0","1","9","0","4","1.407","0","0","1010009","0","0"
"1","183","0","10","0","1","0","3","1.043","1010010","0","318"
"1","0","1","11","0","4","1.719","0","0","1010011","0","0"
"1","318","0","12","0","1","0","3","0.69","1010012","0","389"
"1","0","1","13","0","4","0.69","0","0","1010013","0","0"
"1","0","0","14","0","1","0","4","1.694","1010014","0","244"
"1","0","1","15","0","4","2.204","0","0","1010015","0","0"
"1","244","0","16","0","1","0","4","1.298","1010016","0","384"
"1","0","1","17","0","4","1.298","0","0","1010017","0","0"
"1","0","0","18","0","1","0","5","1.118","1010018","0","67"
"1","0","1","19","0","4","1.199","0","0","1010019","0","0"
"1","67","0","20","0","1","0","5","0.958","1010020","0","103"
"1","0","1","21","0","4","1.269","0","0","1010021","0","0"
"1","103","0","22","0","1","0","5","1.373","1010022","0","394"
"1","0","1","23","0","4","1.373","0","0","1010023","0","0"
"1","0","0","24","0","1","0","6","0.193","1010024","0","0"
"1","0","1","25","0","4","0.552","0","0","1010025","0","0"
"1","0","0","26","0","1","0","6","2.64","1010026","0","368"
"1","0","1","27","0","4","3.195","0","0","1010027","0","0"
"1","0","0","28","0","1","0","7","0.599","1010028","0","64"
"1","0","1","29","0","4","0.929","0","0","1010029","0","0"
"1","64","0","30","0","1","0","7","1.302","1010030","0","315"
"1","0","1","31","0","4","2.395","0","0","1010031","0","0"
"1","0","0","32","vo_minigame_1005_nikki01_002","2","0","0","0","1010032","vo_minigame_1005","0"
"1","0","0","33","0","1","0","8","2.09","1010033","0","345"
"1","0","1","34","0","4","2.512","0","0","1010034","0","0"
"1","0","0","35","0","1","0","9","0.868","1010035","0","63"
"1","0","1","36","0","4","0.907","0","0","1010036","0","0"
"1","63","0","37","0","1","0","9","1.107","1010037","0","315"
"1","0","1","38","0","4","1.107","0","0","1010038","0","0"
"1","0","0","39","0","1","0","10","1.107","1010039","0","162"
"1","0","1","40","0","4","1.455","0","0","1010040","0","0"
"1","162","0","41","0","1","0","10","1.65","1010041","0","162"
"1","0","1","42","0","4","2.654","0","0","1010042","0","0"
"1","0","0","43","vo_minigame_1005_nikki01_003","2","0","0","0","1010043","vo_minigame_1005","0"
