381d93dfbc5b6f3c5b23d86ee7920f4c35593876899a62f58adfcc6c740e2ebf,0d59c00ead8790833df336bc9bd95a2a19870479ec9d3a3110b27b9f35f9abba,efe84ae461e44fe457d8af5c9252bec76d6e8788a448a95da97c808aa46c2731,28465a67450546f8d4dcf3161d787369061669ef5988bd9b1044e929ea6d715e,d68afc9df241f2e4e262dcaab9168d55c4c32f913ffab0ac1bc4aaf6f1b9cb27,2920161f29e35ed100a37f24864be52a8a50d0e03ad1cbf880494da71ec47b4a,1ea61c5414ad822185459989ac52ba83659f59c9e7f812bb09917a0a5e2c2fe9,986d041d24e4dbe3258642bae7cb83835393d01971b309cad4ee8a94f9bf6eae,af4fdb0ba7146fcd004a2b021ace9abece9726baed5588d5ffa9e420cfcaca8f,37b8b950602487c5d55004e7511c52f2d2ccd73671d1766f3f8c13494ead3742,535fdd46f2e9e642becf88e3d827194215480a1aa9db67c8b3b0003862e820c1
"100","1","1","1.65","40","1001","-194","sjr_talk_idle","122611","1","1"
"1","1","122611","0.2","","1002","","","sjr_talk_wish_look","3",""
"0","1","vo_minigame_1010","","0","1003","","","vo_minigame_1010_top_talk_1_001","21",""
"10","1","122611","0","1","1004","0","1","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","11","0"
"","1","0","","","1005","","","","91",""
"1","1","122611","0.2","","1006","","","sjr_talk_idle","3",""
"100","2","1","1.65","40","2001","-194","sjr_talk_idle","122611","1","1"
"1","2","122611","0.2","","2002","","","sjr_talk_mouth_hidden_shy","3",""
"0","2","vo_minigame_1010","","0","2003","","","vo_minigame_1010_top_talk_1_002","21",""
"5","2","122611","0","1","2004","0","1","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","11","0"
"","2","0","","","2005","","","","91",""
"1","2","122611","0.2","","2006","","","sjr_talk_idle","3",""
"100","3","1","1.65","40","3001","-194","sjr_talk_idle","122611","1","1"
"0","3","122611","0.2","sjr_talk_stepback_worry","3002","1","","sjr_talk_stepback_surprise_worry","3","0"
"0","3","vo_minigame_1010","","0","3003","","","vo_minigame_1010_top_talk_1_003","21",""
"7","3","122611","0","1","3004","0","1","那個人的速度\n好像很快……！\n我贏得了嗎……？","11","0"
"","3","0","","","3005","","","","91",""
"1","3","122611","0.2","","3006","","","sjr_talk_idle","3",""
"100","4","1","1.65","40","4001","-194","sjr_talk_idle","122611","1","1"
"1","4","122611","0.2","","4002","","","sjr_talk_thinking_surprise","3",""
"0","4","vo_minigame_1010","","0","4003","","","vo_minigame_1010_top_talk_1_004","21",""
"5","4","122611","0","1","4004","0","1","有很多奇特的\n路線呢。\n要選哪個呢……？","11","0"
"","4","0","","","4005","","","","91",""
"1","4","122611","0.2","","4006","","","sjr_talk_idle","3",""
"100","5","1","1.65","40","5001","-194","sjr_talk_idle","122611","1","1"
"0","5","122611","0.2","sjr_talk_guts2_anger_loop","5002","1","","sjr_talk_guts2_anger","3","0"
"0","5","vo_minigame_1010","","0","5003","","","vo_minigame_1010_top_talk_1_005","21",""
"6","5","122611","0","1","5004","0","1","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","11","0"
"","5","0","","","5005","","","","91",""
"1","5","122611","0.2","","5006","","","sjr_talk_idle","3",""
"100","6","1","1.65","40","6001","-194","sjr_talk_idle","122511","1","1"
"0","6","122511","0.2","sjr_talk_arm_crossed_look_loop","6002","1","","sjr_talk_arm_crossed_joy_look","3","0"
"0","6","vo_minigame_1010","","0","6003","","","vo_minigame_1010_top_talk_1_006","21",""
"5","6","122511","0","1","6004","0","1","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","11","0"
"","6","0","","","6005","","","","91",""
"1","6","122511","0.2","","6006","","","sjr_talk_idle","3",""
"100","7","1","1.65","40","7001","-194","sjr_talk_idle","122511","1","1"
"1","7","122511","0.2","","7002","","","sjr_talk_mouth_hidden2_shy","3",""
"0","7","vo_minigame_1010","","0","7003","","","vo_minigame_1010_top_talk_1_007","21",""
"4","7","122511","0","1","7004","0","1","穿這樣跑\n好羞恥啊……\n別盯著我看……","11","0"
"","7","0","","","7005","","","","91",""
"1","7","122511","0.2","","7006","","","sjr_talk_idle","3",""
"100","8","1","1.65","40","8001","-194","sjr_talk_idle","122511","1","1"
"1","8","122511","0.2","","8002","","","sjr_talk_mouth_hidden","3",""
"0","8","vo_minigame_1010","","0","8003","","","vo_minigame_1010_top_talk_1_008","21",""
"5","8","122511","0","1","8004","0","1","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","11","0"
"","8","0","","","8005","","","","91",""
"1","8","122511","0.2","","8006","","","sjr_talk_idle","3",""
"100","9","1","1.65","40","9001","-194","sjr_talk_idle","122511","1","1"
"1","9","122511","0.2","","9002","","","sjr_talk_stepback_surprise","3",""
"0","9","vo_minigame_1010","","0","9003","","","vo_minigame_1010_top_talk_1_009","21",""
"5","9","122511","0","1","9004","0","1","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","11","0"
"","9","0","","","9005","","","","91",""
"1","9","122511","0.2","","9006","","","sjr_talk_idle","3",""
"100","10","1","1.65","40","10001","-194","sjr_talk_idle","122511","1","1"
"1","10","122511","0.2","","10002","","","sjr_talk_thinking_blink","3",""
"0","10","vo_minigame_1010","","0","10003","","","vo_minigame_1010_top_talk_1_010","21",""
"4","10","122511","0","1","10004","0","1","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","11","0"
"","10","0","","","10005","","","","91",""
"1","10","122511","0.2","","10006","","","sjr_talk_idle","3",""
"100","11","1","1.65","40","11001","-194","sjr_talk_idle","122411","1","1"
"0","11","122411","0.2","sjr_talk_eieio_loop","11002","1","","sjr_talk_eieio","3","0"
"0","11","vo_minigame_1010","","0","11003","","","vo_minigame_1010_top_talk_1_011","21",""
"5","11","122411","0","1","11004","0","1","暖身運動也很完美！\n我會第一個\n搶到的──！","11","0"
"","11","0","","","11005","","","","91",""
"1","11","122411","0.2","","11006","","","sjr_talk_idle","3",""
"100","12","1","1.65","40","12001","-194","sjr_talk_idle","122411","1","1"
"1","12","122411","0.2","","12002","","","sjr_talk_arm_opened_wink","3",""
"0","12","vo_minigame_1010","","0","12003","","","vo_minigame_1010_top_talk_1_012","21",""
"6","12","122411","0","1","12004","0","1","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","11","0"
"","12","0","","","12005","","","","91",""
"1","12","122411","0.2","","12006","","","sjr_talk_idle","3",""
"100","13","1","1.65","40","13001","-194","sjr_talk_idle","122411","1","1"
"0","13","122411","0.2","sjr_talk_doya_loop","13002","1","","sjr_talk_doya","3","0"
"0","13","vo_minigame_1010","","0","13003","","","vo_minigame_1010_top_talk_1_013","21",""
"8","13","122411","0","1","13004","0","1","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","11","0"
"","13","0","","","13005","","","","91",""
"1","13","122411","0.2","","13006","","","sjr_talk_idle","3",""
"100","14","1","1.65","40","14001","-194","sjr_talk_idle","122411","1","1"
"0","14","122411","0.2","sjr_talk_swing_joy","14002","1","","sjr_talk_watch_arm_opened","3","0"
"0","14","vo_minigame_1010","","0","14003","","","vo_minigame_1010_top_talk_1_014","21",""
"6","14","122411","0","1","14004","0","1","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","11","0"
"","14","0","","","14005","","","","91",""
"1","14","122411","0.2","","14006","","","sjr_talk_idle","3",""
"100","15","1","1.65","40","15001","-194","sjr_talk_idle","122411","1","1"
"1","15","122411","0.2","","15002","","","sjr_talk_wish_doya","3",""
"0","15","vo_minigame_1010","","0","15003","","","vo_minigame_1010_top_talk_1_015","21",""
"5","15","122411","0","1","15004","0","1","好想和優衣與怜\n她們兩人一起\n競爭呢！","11","0"
"","15","0","","","15005","","","","91",""
"1","15","122411","0.2","","15006","","","sjr_talk_idle","3",""
"100","16","1","1.65","72","16001","-194","sjr_talk_idle","122611","1","1"
"100","16","1","1.65","-72","16002","-194","sjr_talk_idle","122511","1","0"
"1","16","122611","0.2","","16003","","","sjr_talk_wish_doya","3",""
"0","16","vo_minigame_1010","","0","16004","","","vo_minigame_1010_top_talk_2_001","21",""
"4","16","122611","0","1","16005","0","1","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","11","0"
"","16","0","","","16006","","","","91",""
"1","16","122611","0.2","","16007","","","sjr_talk_idle","3",""
"0","16","122511","0.2","sjr_talk_arm_crossed_joy_loop","16008","1","","sjr_talk_arm_crossed_normal_joy","3","0"
"0","16","vo_minigame_1010","","0","16009","","","vo_minigame_1010_top_talk_2_002","21",""
"5","16","122511","0","1","16010","0","0.5","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","11","0"
"","16","0","","","16011","","","","91",""
"1","16","122511","0.2","","16012","","","sjr_talk_idle","3",""
"100","17","1","1.65","72","17001","-194","sjr_talk_idle","122611","1","1"
"100","17","1","1.65","-72","17002","-194","sjr_talk_idle","122511","1","0"
"1","17","122511","0.2","","17003","","","sjr_talk_worry_shy","3",""
"0","17","vo_minigame_1010","","0","17004","","","vo_minigame_1010_top_talk_2_003","21",""
"7","17","122511","0","1","17005","0","0.5","我說優衣，\n要穿著泳裝跑步\n是不是有點……","11","0"
"","17","0","","","17006","","","","91",""
"1","17","122511","0.2","","17007","","","sjr_talk_idle","3",""
"1","17","122611","0.2","","17008","","","sjr_talk_wish_shy","3",""
"0","17","vo_minigame_1010","","0","17009","","","vo_minigame_1010_top_talk_2_004","21",""
"5","17","122611","0","1","17010","0","0.5","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","11","0"
"","17","0","","","17011","","","","91",""
"1","17","122611","0.2","","17012","","","sjr_talk_idle","3",""
"0","17","122511","0.2","sjr_talk_thinking_light","17013","1","","sjr_talk_thinking_blink_light","3","0"
"0","17","vo_minigame_1010","","0","17014","","","vo_minigame_1010_top_talk_2_005","21",""
"6","17","122511","0","1","17015","0","0.5","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","11","0"
"","17","0","","","17016","","","","91",""
"1","17","122511","0.2","","17017","","","sjr_talk_idle","3",""
"100","18","1","1.65","72","18001","-194","sjr_talk_idle","122611","1","1"
"100","18","1","1.65","-72","18002","-194","sjr_talk_idle","122511","1","0"
"1","18","122611","0.2","","18003","","","sjr_talk_wish_surprise","3",""
"0","18","vo_minigame_1010","","0","18004","","","vo_minigame_1010_top_talk_2_006","21",""
"6","18","122611","0","1","18005","0","0.5","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","11","0"
"","18","0","","","18006","","","","91",""
"1","18","122611","0.2","","18007","","","sjr_talk_idle","3",""
"0","18","122511","0.2","sjr_talk_arm_crossed_normal2_loop","18008","1","","sjr_talk_arm_crossed_normal2","3","0"
"0","18","vo_minigame_1010","","0","18009","","","vo_minigame_1010_top_talk_2_007","21",""
"6","18","122511","0","1","18010","0","0.5","不能在意喔！\n這種時候坦率地\n享受是最好的！","11","0"
"","18","0","","","18011","","","","91",""
"1","18","122511","0.2","","18012","","","sjr_talk_idle","3",""
"100","19","1","1.65","72","19001","-194","sjr_talk_idle","122611","1","1"
"100","19","1","1.65","-72","19002","-194","sjr_talk_idle","122411","1","0"
"0","19","122611","0.2","sjr_talk_idle_joy","19003","1","","sjr_talk_wave_hand","3","0"
"0","19","vo_minigame_1010","","0","19004","","","vo_minigame_1010_top_talk_2_008","21",""
"8","19","122611","0","1","19005","0","0.5","日和\n覺得享受嗎？","11","0"
"","19","0","","","19006","","","","91",""
"1","19","122611","0.2","","19007","","","sjr_talk_idle","3",""
"0","19","122411","0.2","sjr_talk_swing_joy2","19008","1","","sjr_talk_fun","3","0"
"0","19","vo_minigame_1010","","0","19009","","","vo_minigame_1010_top_talk_2_009","21",""
"7","19","122411","0","1","19010","0","0.5","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","11","0"
"","19","0","","","19011","","","","91",""
"1","19","122411","0.2","","19012","","","sjr_talk_idle","3",""
"1","19","122611","0.2","","19013","","","sjr_talk_laugh","3",""
"0","19","vo_minigame_1010","","0","19014","","","vo_minigame_1010_top_talk_2_010","21",""
"7","19","122611","0","1","19015","0","0.5","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","11","0"
"","19","0","","","19016","","","","91",""
"1","19","122611","0.2","","19017","","","sjr_talk_idle","3",""
"100","20","1","1.65","72","20001","-194","sjr_talk_idle","122611","1","1"
"100","20","1","1.65","-72","20002","-194","sjr_talk_idle","122411","1","0"
"0","20","122411","0.2","sjr_talk_guts2_loop","20003","1","","sjr_talk_guts2","3","0"
"0","20","vo_minigame_1010","","0","20004","","","vo_minigame_1010_top_talk_2_011","21",""
"6","20","122411","0","1","20005","0","0.5","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","11","0"
"","20","0","","","20006","","","","91",""
"1","20","122411","0.2","","20007","","","sjr_talk_idle","3",""
"0","20","122611","0.2","sjr_talk_mouth_hidden_guru","20008","1","","sjr_talk_mouth_hidden_dere_guru","3","0"
"0","20","vo_minigame_1010","","0","20009","","","vo_minigame_1010_top_talk_2_012","21",""
"5","20","122611","0","1","20010","0","0.5","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","11","0"
"","20","0","","","20011","","","","91",""
"0","20","122411","0.2","sjr_talk_shock_loop","20012","1","","sjr_talk_shock","3","0"
"0","20","vo_minigame_1010","","0","20013","","","vo_minigame_1010_top_talk_2_013","21",""
"15","20","122411","0","1","20014","0","0.5","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","11","0"
"","20","0","","","20015","","","","91",""
"1","20","122611","0.2","","20016","","","sjr_talk_idle","3",""
"1","20","122411","0.2","","20017","","","sjr_talk_idle","3",""
"100","21","1","1.65","72","21001","-194","sjr_talk_idle","122611","1","1"
"100","21","1","1.65","-72","21002","-194","sjr_talk_idle","122411","1","0"
"1","21","122611","0.2","","21003","","","sjr_talk_worry_sad","3",""
"0","21","vo_minigame_1010","","0","21004","","","vo_minigame_1010_top_talk_2_014","21",""
