57b7f0a651832614b46b7794b979720e5fa26eaa3e2793d87ec65c774ccbf6d2,2ce9196b01a9686d60943e04721c35849b551461bed276660ea8684d3d8439ea,e6d0d7aa3b0846d6eb38911bd469a691bf0734cb72cd1c0a7e4b393c6cdaf6b5,eb18cc3dfbfb89931d5f088875f88817d4708220fd444148c757b9695d3f4ddd,1e5bd13ac13a7350e9beaa3ff80157e71b292134e6384e89cbbd61ee05cf5819,537ca68b343fce5bbc8079a7a75d955e05bc29b37d63fb368a1a37621adb7d70,47bffaaaa67df6403fa6d4baa5928fcc4e597cfa751982042b9d65705d59b034,d99873239f8cd7552e141fa986695a541cd99767db12b04597d37ae960456276
"710000104","710000001","710000101","710000102","710000105","0","100","710100011"
"710000204","710000002","710000201","710000202","710000203","0","100","710100021"
"710000302","710000003","710000301","710000304","710000305","0","100","710100031"
"710000402","710000004","710000401","710000404","710000405","0","100","710100041"
"710000504","710000005","710000502","710000505","710000501","0","100","710100051"
"710000603","710000006","710000601","710000605","710000602","710000604","100","710100061"
"710000703","710000007","710000704","710000701","710000702","710000705","100","710100071"
"710000803","710000008","710000805","710000802","710000801","710000804","100","710100081"
"710000901","710000009","710000902","710000903","710000904","710000905","100","710100091"
"710001001","710000010","0","0","0","0","100","710100101"
"710001102","710000011","710001101","710001103","710001105","710001104","100","710100111"
"710001203","710000012","710001205","710001201","710001202","710001204","100","710100121"
"710001304","710000013","710001301","710001303","710001302","710001305","100","710100131"
"710001403","710000014","710001401","710001404","710001402","710001405","100","710100141"
"710001503","710000015","710001501","710001505","710001502","710001504","100","710100151"
"710001605","710000016","710001602","710001601","710001603","710001604","100","710100161"
"710001705","710000017","710001703","710001701","710001702","710001704","100","710100171"
"710001803","710000018","710001801","710001804","710001802","710001805","100","710100181"
"710001904","710000019","710001902","710001901","710001903","710001905","100","710100191"
"710002002","710000020","710002002","710002001","0","0","100","710100201"
"710002103","710000021","710002104","710002102","710002101","710002105","100","710100211"
"710002203","710000022","710002204","710002201","710002202","710002205","100","710100221"
"710002303","710000023","710002302","710002304","710002301","710002305","100","710100231"
"710002403","710000024","710002404","710002401","710002402","710002405","100","710100241"
"710002501","710000025","710002502","710002503","710002504","710002505","100","710100251"
"710002603","710000026","710002602","710002601","710002605","710002604","100","710100261"
"710002703","710000027","710002702","710002705","710002701","710002704","100","710100271"
"710002803","710000028","710002801","710002802","710002805","710002804","100","710100281"
"710002903","710000029","710002901","710002904","710002902","710002905","100","710100291"
"710003002","710000030","710003002","710003003","710003001","0","100","710100301"
"710003103","710000031","710003102","710003101","710003104","710003105","100","710100311"
"710003203","710000032","710003204","710003201","710003202","710003205","100","710100321"
"710003303","710000033","710003304","710003302","710003301","710003305","100","710100331"
"710003403","710000034","710003404","710003402","710003401","710003405","100","710100341"
"710003503","710000035","710003501","710003502","710003504","710003505","100","710100351"
"710003603","710000036","710003601","710003602","710003604","710003605","100","710100361"
"710003703","710000037","710003704","710003701","710003702","710003705","100","710100371"
"710003803","710000038","710003801","710003804","710003802","710003805","100","710100381"
"710003903","710000039","710003902","710003901","710003905","710003904","100","710100391"
"710004002","710000040","710004002","710004003","710004001","0","100","710100401"
"710004103","710000041","710004102","710004104","710004101","710004105","100","710100411"
"710004204","710000042","710004203","710004202","710004201","710004205","100","710100421"
"710004303","710000043","710004304","710004302","710004301","710004305","100","710100431"
"710004401","710000044","710004402","710004403","710004404","710004405","100","710100441"
"710004503","710000045","710004501","710004502","710004504","710004505","100","710100451"
"710004603","710000046","710004604","710004602","710004601","710004605","100","710100461"
"710004703","710000047","710004701","710004702","710004704","710004705","100","710100471"
"710004805","710000048","710004801","710004802","710004803","710004804","100","710100481"
"710004903","710000049","710004904","710004901","710004902","710004905","100","710100491"
"710005002","710000050","710005002","710005003","710005001","710005004","100","710100501"
"710005104","710000051","710005102","710005103","710005101","710005105","100","710100511"
"710005203","710000052","710005202","710005204","710005201","710005205","100","710100521"
"710005302","710000053","710005301","710005303","710005305","710005304","100","710100531"
"710005405","710000054","710005402","710005401","710005403","710005404","100","710100541"
"710005503","710000055","710005504","710005502","710005501","710005505","100","710100551"
"710005602","710000056","710005601","710005603","710005605","710005604","100","710100561"
"710005703","710000057","710005701","710005702","710005704","710005705","100","710100571"
"710005803","710000058","710005801","710005804","710005802","710005805","100","710100581"
"710005904","710000059","710005902","710005903","710005901","710005905","100","710100591"
"710006002","710000060","710006002","710006003","710006001","710006004","100","710100601"
"710006103","710000061","710006101","710006104","710006102","710006105","100","710100611"
"710006205","710000062","710006203","710006201","710006202","710006204","100","710100621"
"710006304","710000063","710006301","710006302","710006305","710006303","100","710100631"
"710006403","710000064","710006404","710006401","710006402","710006405","100","710100641"
"710006503","710000065","710006502","710006501","710006505","710006504","100","710100651"
"710006601","710000066","710006604","710006603","710006602","710006605","100","710100661"
"710006704","710000067","710006703","710006705","710006701","710006702","100","710100671"
"710006805","710000068","710006803","710006802","710006801","710006804","100","710100681"
"710006904","710000069","710006903","710006901","710006902","710006905","100","710100691"
"710007002","710000070","710007002","710007004","710007001","710007003","100","710100701"
"710007101","710000071","710007102","710007103","710007104","710007105","100","710200711"
