adff1922a423af7522eabf66ae6594d9b3d795a5a30fb810d0d4a19f90a453b8,a8a6a0f838187a42ace44369fe26fe62cbb483a10d7075fb06fcc52c9a397d0b,5b85e496121b9a820854dd18ed3f403ef429e504ecc4a574eb5e1991df3cdf77,7f6e9cb2b3ce7edf42a5b93097808e911928cc06b2467bc443c85727d2eb9151,d3252bd457231095bb73f594240dfd8dc447e61568a183789969a59c21460586,a63baef16d2424e8e538bd370e02b6064abeced97a48f70fe095d9942e9cbbff,5f96dc39b6ad5b22c3fc057e7bd20d633fd2aa68b5b810a2a42c5ac6a20dd9c4,188a199accd087c619c9edee3371a4b893835c8fb827151af6f7a309d71476a3,b6bd77cd6f891b2da6fc4d826540cca5cc4bde7eb749240b74e7ee8242f66fae,167230496a89018a7c244c1c1410567988651e399df4d8f6898791cf32726517
"狀態逐漸\n變好了呢。","2","2","2","vo_minigame_1013_icon_1_002_001","1000","1","vo_minigame_1013_icon_2_002_001","3000","訓練現在\n才要開始。"
"喂喂，\n還能繼續的吧？","2","2","2","vo_minigame_1013_icon_1_003_001","5000","2","vo_minigame_1013_icon_2_003_001","3000","嘻嘻，局勢\n發展得不錯。"
"嘿嘿，你們\n挺行的嘛！","2","3","2","vo_minigame_1013_icon_1_004_001","10000","3","vo_minigame_1013_icon_2_004_001","3000","這是出色的\n紀錄。"
"我們還不能\n止步於此！","3","3","2","vo_minigame_1013_icon_1_005_001","10000","4","vo_minigame_1013_icon_2_005_001","3000","現在狀態\n絕佳呢。"
"看著吧！\n真琴班過關斬將！","3","3","2","vo_minigame_1013_icon_1_005_002","10000","5","vo_minigame_1013_icon_2_005_002","3000","還能繼續前進。\n給我跟上。"
"唔哦哦哦！\n狀態絕佳！","3","3","2","vo_minigame_1013_icon_1_005_003","10000","6","vo_minigame_1013_icon_2_005_003","3000","惠理子班\n發揮真本事！"
"能前進到什麼地方\n真讓人期待！","4","3","2","vo_minigame_1013_icon_1_006_001","0","7","vo_minigame_1013_icon_2_006_001","3000","接下來是\n前無古人的領域！"
"還不能放棄。","5","4","3","vo_minigame_1013_icon_1_007_001","1","8","vo_minigame_1013_icon_2_007_001","1000","真是棘手……"
"捏了把冷汗啊……！","5","4","3","vo_minigame_1013_icon_1_007_002","1","9","vo_minigame_1013_icon_2_007_002","1000","不可輕敵。"
"不准說喪氣話。","5","4","3","vo_minigame_1013_icon_1_007_003","1","10","vo_minigame_1013_icon_2_007_003","1000","真是可恨……"
"真琴班集合！","6","3","4","vo_minigame_1013_icon_1_008_001","99","11","vo_minigame_1013_icon_2_008_001","1500","人多勢眾呢。"
"齊心協力上吧！","6","3","4","vo_minigame_1013_icon_1_008_002","99","12","vo_minigame_1013_icon_2_008_002","1500","歡迎來到惠理子班。"
"賦予大家力量！","8","6","1","vo_minigame_1013_icon_1_020_001","0","13","vo_minigame_1013_icon_2_020_001","3000","儘管包在\n小七七香身上。"
"包在我身上。","9","7","1","vo_minigame_1013_icon_1_022_001","0","14","vo_minigame_1013_icon_2_022_001","3000","哈哈哈！\n交給我吧！"
"好哪，繼續前進吧。","10","8","1","vo_minigame_1013_icon_1_023_001","0","15","vo_minigame_1013_icon_2_023_001","3000","繼續前進囉。"
