39407dd7b22581ed20ea1b4a15451d95bcac8e33cfaa3517f68a67d24916df49,7b0dc15dcefc5f9f18cc07d924a5510e40e9eb763f92f11c9b5c316c4b66e5b7,d41b3ea9ab45f41d92a2fab7a932a7ce129a8db88b8d314fa8e421e0419284a7,dabf0973c759baa57777bd81018f057b753e79ce7e34378681ea95bd028262ae,4c26d8cf2f103d421c5555e85e844464fe279ce8fb27ef814e3dad16eb669d9c,26618fbb7cdf0de739639c5616ded0ea46d3d6835286017437af4b9dab226998,f0bc36e2f04f54a46b697779591eb2d71396467829a77e079ea33a32154a1b87,ed8c6fd91be5126285f9f01376bf7205449dd8b4f6310165894deafdef02bef1,ee6817dcfbbcc9872d61bb07af0494140a7fd4f8ecbfef0fbef9a112d2c1425d,8b84315c32571fa60b690d47c56047df48c92ee58a8d34584e527557562aaee4,b103ea8d7800bac4b656f0ecf66685591f43ffecff2b7355b41c18ad88b84f09,91e5682678722974fe5d33904067b44b136f0c24052898da64f18a9be8541c97,51001934e60ac932144abd3d830449a8f44eebcbcd6d9930d91c44d2adb12da4,ee20bf39d9194c137cf4cae5a96830c8ffe06e23b1587476baecee9da0d8dcc2
"61001001","挑戰席茲1次（NORMAL、HARD共通）","0","101","0","61001001","6008","10001","2018/08/28 16:00:00","9012","1","601","0","2018/09/19 15:59:59"
"61001002","完成10次活動冒險","0","102","0","61001002","6004","10001","2018/08/28 16:00:00","9004","10","601","0","2018/09/19 15:59:59"
"61002001","挑戰阿爾瑪1次（NORMAL、HARD共通）","0","101","0","61002001","6008","10002","2018/10/03 16:00:00","9012","1","601","0","2018/10/28 15:59:59"
"61002002","完成10次活動冒險","0","102","0","61002002","6004","10002","2018/10/03 16:00:00","9004","10","601","0","2018/10/28 15:59:59"
"61003001","挑戰食屍巨狼1次（NORMAL、HARD共通） ","0","101","0","61003001","6008","10003","2018/11/01 15:59:59","9012","1","601","0","2018/11/25 15:59:59"
"61003002","完成10次活動冒險","0","102","0","61003002","6004","10003","2018/11/01 15:59:59","9004","10","601","0","2018/11/25 15:59:59"
"61004001","挑戰1次天塔帕斯（全難度共通）","0","101","0","61004001","6008","10004","2018/12/01 16:00:00","9012","1","601","0","2018/12/24 15:59:59"
"61004002","完成10次活動冒險","0","102","0","61004002","6004","10004","2018/12/01 16:00:00","9004","10","601","0","2018/12/24 15:59:59"
"61005001","挑戰1次島鯨（全難度共通）","0","101","0","61005001","6008","10005","2019/01/03 16:00:00","9012","1","601","0","2019/01/25 15:59:59"
"61005002","完成10次活動冒險","0","102","0","61005002","6004","10005","2019/01/03 16:00:00","9004","10","601","0","2019/01/25 15:59:59"
"61006001","挑戰1次亡靈鎧甲（全難度共通）","0","101","0","61006001","6008","10006","2019/02/01 12:00:00","9012","1","601","0","2019/02/22 15:59:59"
"61006002","完成10次活動冒險","0","102","0","61006002","6004","10006","2019/02/01 12:00:00","9004","10","601","0","2019/02/22 15:59:59"
