0cc6ab1f3a2a1564eed1d76b28751593874989d1e41f554012708bf7bffc1006,7c9268b02965dac2812b95d51dff2c80ea44bd9d159e456dabb9a5ef08fc8e59,d9569a1585d5c638ab6fc96750e90a1aa0e9fb0073dc438b8f92eef04ee16aae,f3d563ef59abb09ecd28048dc4f9b8989a3861b89424e396ee201354eaa3a214,3e26de47527f358e50ed5d9bffed12cb2121e8676a9c863ccbc7ff52cf58a113
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","0","2","0","0"
"5","0","2","0","0"
"6","0","2","0","0"
"7","0","3","0","0"
"8","0","3","0","0"
"9","0","3","0","0"
"10","0","4","0","0"
"11","0","4","0","0"
"12","0","4","0","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","0","0","2","0"
"17","0","0","2","0"
"18","0","0","2","0"
"19","0","0","3","0"
"20","0","0","3","0"
"21","0","0","3","0"
"22","0","3","0","0"
"23","0","3","0","0"
"24","0","2","0","0"
"25","0","2","0","0"
"26","0","0","2","0"
"27","0","0","2","0"
"28","0","2","0","3"
"29","0","2","0","3"
"30","0","3","2","0"
"31","0","3","2","0"
"32","0","3","3","0"
"33","0","0","3","0"
"34","0","3","0","4"
"35","0","0","0","0"
"36","0","2","2","0"
"37","0","2","2","0"
"38","0","4","3","0"
