c74ab0b5e8b62d6196c92a5d74a377048fcf6c4bb3ab4694001869c9520b9a83,ac0d85c237ec4d6c6bd1b02afbff331113acbef253d5e4aaed98ed3301dfa906,a3aca2b81cd0f00384b8b38345c8424e368a7b894d22dd8f7f105a488b973973,7571c83ba27513874aad207a0c00a488a96f1b178a33cde3a362db54917b53fd,b8c058f397c103dac20d63069599e3d88e3fae303fdf88424a58852d39f1a201,1bc79dbeb5a3f7379a298c2287a88f96f4650233324fafd62f035b90256bac65,99100491a6750a43f1cd3111eb7295e17f7a15fb467e25c7b621aecb721fb900,77a6bced99541f4493d72a0ce7feb54bb974716857565baac92b7b4d1a0c8053,795c8ef8495520fc4060f8e4d782e81366deb9579f2ad8f21217e90f61465b48,9a745dba6735d3b523a12dc8e172694e08feb02e6b213a232bf1f0c2faef9233,3bd5d62fe2ef858faeaacaa62cfabad6531b89250c9ac5004c9359d040f18bf3,a05067154ef20394a2413c066bbcdb70fd2155bc3da93695ff77e27043c503c3,6bb62895028cccc4e9a6ec2d265b7f44dfcfce2193cf700729160387ce861927,d218b27fdafcbd4669ded59078da53c6eff6a981ce80e0ca2c886f0b43146188,c624f8c35c2cfbe81e9b1d3cb0fa16dcff364afca3b7bae9a178f72792d1d294,9be5469fbdff3d9b02059524aa8367a943786530a450c53b47e9807fad748fa7,86559463a5a66977faa79cd0514de832f93071067655dabcca1148285883bb60,b2d2891853ee14f0a9b99f7c5143d71660fdf49de8fd4a2c01270ed21b675575,4edaa9db323dafccdf243c41147a13265e0d3666be92174e0ca413f4a9ca4143,1af9e794f37d862fe2fd56308db0ec0699d0b1cb94a56f7ef3a25d8f9f27aac7
"20","90006","5","0","0","2","0","1","1","3100104","0","1001201","0","0","2","0","1","0","0","20003"
"15","90006","4","0","0","2","0","2","2","3100103","0","1001201","0","0","2","0","3","0","0","20003"
"10","90006","3","0","0","2","0","4","3","3100102","0","1001201","0","0","2","0","10","0","0","20003"
"5","90006","1","0","0","2","0","11","4","3100101","0","1001201","0","0","2","0","30","0","0","20003"
"20","90006","5","0","0","2","0","1","5","3100104","0","1001202","0","0","2","0","1","0","0","20003"
"15","90006","4","0","0","2","0","2","6","3100103","0","1001202","0","0","2","0","3","0","0","20003"
"10","90006","3","0","0","2","0","4","7","3100102","0","1001202","0","0","2","0","10","0","0","20003"
"5","90006","1","0","0","2","0","11","8","3100101","0","1001202","0","0","2","0","30","0","0","20003"
"20","90006","5","0","0","2","0","1","9","3100104","0","1001203","0","0","2","0","1","0","0","20003"
"15","90006","4","0","0","2","0","2","10","3100103","0","1001203","0","0","2","0","3","0","0","20003"
"10","90006","3","0","0","2","0","4","11","3100102","0","1001203","0","0","2","0","10","0","0","20003"
"5","90006","1","0","0","2","0","11","12","3100101","0","1001203","0","0","2","0","30","0","0","20003"
"20","90006","5","0","0","2","0","1","13","3100104","0","1001204","0","0","2","0","1","0","0","20003"
"15","90006","4","0","0","2","0","2","14","3100103","0","1001204","0","0","2","0","3","0","0","20003"
"10","90006","3","0","0","2","0","4","15","3100102","0","1001204","0","0","2","0","10","0","0","20003"
"5","90006","1","0","0","2","0","11","16","3100101","0","1001204","0","0","2","0","30","0","0","20003"
"40","90006","10","0","0","2","0","1","17","3100104","0","1001205","0","0","2","0","1","0","0","20003"
"30","90006","8","0","0","2","0","2","18","3100103","0","1001205","0","0","2","0","3","0","0","20003"
"20","90006","6","0","0","2","0","4","19","3100102","0","1001205","0","0","2","0","10","0","0","20003"
"10","90006","2","0","0","2","0","11","20","3100101","0","1001205","0","0","2","0","30","0","0","20003"
"5","90006","4","0","0","2","0","1","21","3100104","0","1001206","0","0","2","0","1","0","0","20003"
"4","90006","3","0","0","2","0","2","22","3100103","0","1001206","0","0","2","0","3","0","0","20003"
"3","90006","2","0","0","2","0","4","23","3100102","0","1001206","0","0","2","0","10","0","0","20003"
"2","90006","1","0","0","2","0","11","24","3100101","0","1001206","0","0","2","0","30","0","0","20003"
"5","90006","4","0","0","2","0","1","25","3100104","0","1001207","0","0","2","0","1","0","0","20003"
"4","90006","3","0","0","2","0","2","26","3100103","0","1001207","0","0","2","0","3","0","0","20003"
"3","90006","2","0","0","2","0","4","27","3100102","0","1001207","0","0","2","0","10","0","0","20003"
"2","90006","1","0","0","2","0","11","28","3100101","0","1001207","0","0","2","0","30","0","0","20003"
"5","90006","4","0","0","2","0","1","29","3100104","0","1001208","0","0","2","0","1","0","0","20003"
"4","90006","3","0","0","2","0","2","30","3100103","0","1001208","0","0","2","0","3","0","0","20003"
"3","90006","2","0","0","2","0","4","31","3100102","0","1001208","0","0","2","0","10","0","0","20003"
"2","90006","1","0","0","2","0","11","32","3100101","0","1001208","0","0","2","0","30","0","0","20003"
"5","90006","4","0","0","2","0","1","33","3100104","0","1001209","0","0","2","0","1","0","0","20003"
"4","90006","3","0","0","2","0","2","34","3100103","0","1001209","0","0","2","0","3","0","0","20003"
"3","90006","2","0","0","2","0","4","35","3100102","0","1001209","0","0","2","0","10","0","0","20003"
"2","90006","1","0","0","2","0","11","36","3100101","0","1001209","0","0","2","0","30","0","0","20003"
"5","90006","4","0","0","2","0","1","37","3100104","0","1001210","0","0","2","0","1","0","0","20003"
"4","90006","3","0","0","2","0","2","38","3100103","0","1001210","0","0","2","0","3","0","0","20003"
