dc1d873387738aa7a1d705c175d7c8407b08f206bd0190459e522e1c30d8e92e,0e3dca0e68499d71fe335271cbebdef766f27835e974fad7089a6aca53e7c014,8db3cbb924c8ab664b771526454f54c3c6e759f5f3cd4c6465ee48ff7d3e38a9,49e4e21de7a40fe78b9f85d846267588aae43a596b91d101e5c045d8d203c9bc
"1004601","5046601","1","1004601"
"1004801","5048007","1","1004801"
"1004802","1004801","2","1004802"
"1005601","5056601","1","1005601"
"1006101","5061601","1","1006101"
"1006102","5061602","3","1006102"
"1006103","5061601","1","1006103"
"1006601","5027704","4","1006601"
"1007001","0","5","1007001"
"1007301","5046601","1","1007301"
"1007501","5048007","1","1007501"
"1007502","1004801","2","1007502"
"1008201","0","6","1008201"
"1008301","5056601","1","1008301"
"1008901","5061601","1","1008901"
"1008902","5061602","3","1008902"
"1008903","5061601","1","1008903"
"1009201","5092601","3","1009201"
"1010001","5100601","3","1010001"
"1010201","5100601","3","1010201"
"1010901","0","6","1010901"
"1011901","5092601","3","1011901"
"1012701","5100601","3","1012701"
"2003201","5056601","1","2003201"
