5d0913643bdedd67bf6b2b4b631745caa53456a8f4c7b23e3baf836efdb61721,4a230b1336ff2b40d2ea8a03b6e0d876152d1bd4c97e440efe1b447aeb8197df,197b9cfb2cd77b10ce022554d0fde141686b3f8d0118cade7af4aef049608bd0,aaa5b639a76ce249f7a42e877e5d2c4e4ca14dc3736a8d219b69c2677543023c,6c49e98d5c4dc801d8ee638992d3d3fa979d4e8cb9db8e7d5a96a6c9cf8d7240,8cc0e55732c0743a63ab6d0170d57afe99deb52ecd3db4cb5c6a9081ee7c3e32,fa686e45f6d4715c4c91f865dd510e8468e8a1c8ce87ba855d1b069ddd672273,ea4fa95ec04dc5eae522fe00b295f892e2213efb0687da553115fd1719b01964,544c8eb88bb5ae7189638e43ada2794d2603e7f656479abfb1da5fe5439eae0f,c5ecb66c029c5f72b47f88906280e30f469e76f94eef2ad1544e84d521c957d6,25f94e3dffb82212aeb087eae5823fa5e88191e26809929fef1575f9843ab1d6
"10005","0","10003","0","0","50079","0","10002","10001","0","10006"
"10005","10007","10003","0","0","50084","0","10002","10001","0","10006"
"10005","10007","10003","0","0","50094","0","10002","10001","10008","10006"
"10005","10007","10003","0","10009","50108","0","10002","10001","10008","10006"
"10005","10007","10003","0","10009","50116","0","10002","10001","10008","10006"
"10005","10007","10003","0","10009","50119","10010","10002","10001","10008","10006"
"10005","10007","10003","0","10009","50129","10010","10002","10001","10008","10006"
"10005","10007","10003","10011","10009","50140","10010","10002","10001","10008","10006"
"10006","10008","10005","10012","10010","50151","10011","10003","10002","10009","10007"
"10012","0","10011","0","0","50162","0","10010","10009","0","10013"
"10013","0","10012","0","0","50172","0","10011","10010","0","10014"
"10014","0","10013","0","0","50183","0","10012","10011","0","10015"
"10007","0","10015","0","0","50190","0","10014","10013","0","10005"
"10015","0","10014","0","0","50195","0","10013","10012","0","10016"
"10003","0","10016","0","0","50200","0","10015","10014","0","10002"
"10016","0","10015","0","0","50217","0","10014","10013","0","10017"
"10010","0","10017","0","0","50231","0","10016","10015","0","10009"
"10017","0","10016","0","0","50237","0","10015","10014","0","10018"
"0","0","0","0","0","50248","0","0","10019","0","0"
"0","0","0","0","0","50261","0","0","10011","0","0"
"0","0","0","0","0","50267","0","0","10020","0","0"
"0","0","0","0","0","50278","0","0","10021","0","0"
"0","0","0","0","0","50291","0","0","10006","0","0"
"0","0","0","0","0","50298","0","0","10022","0","0"
"0","0","0","0","0","50309","0","0","10023","0","0"
"0","0","0","0","0","50321","0","0","10024","0","0"
"0","0","0","0","0","50331","0","0","10025","0","0"
"0","0","0","0","0","50341","0","0","10026","0","0"
"0","0","0","0","0","50354","0","0","10027","0","0"
"0","0","0","0","0","50365","0","0","10028","0","0"
"0","0","0","0","0","50375","0","0","10029","0","0"
